kind,score,method,detail,state,employer,notice_date,related_employer,related_notice_date,dedupe_key,related_dedupe_key
possible_duplicate,0.706,amendment,"refiled 10d later, location score 0.43",AL,INTER-NATIONAL CHILDRENSWEAR,1999-06-14,"INTER-NATIONAL CHILDRENSWEAR, LLC",1999-06-04,fdd70cfe44bbe00c111f765cfd848a335b387616,9038499147bbdb213a3091cf7be706c099f6718b
possible_duplicate,0.727,amendment,"refiled 5d later, location score 0.52",AL,"INTERNATIONAL PAPER, INC.",2000-10-23,INTERNATIONAL PAPER COMPANY,2000-10-18,4983a9ecc873e57cc483726e17639e3743d91e15,922bd97e8f8ab111b48b0ab575ee18c669b7b4bd
possible_duplicate,0.694,amendment,"refiled 8d later, location score 0.49",AL,CINGULAR WIRELESS,2001-07-11,CINGULAR WIRELESS,2001-07-03,55d735a41b7cdbe5fe5f92cefeead6b2c76ca521,54c8f1380469406592357333d1dd49b462990989
possible_duplicate,0.703,amendment,"refiled 5d later, location score 0.42",AL,ACCENTURE LLP,2005-12-05,ACCENTURE LLP,2005-11-30,25f1372af2e2129152037373c061f299bd0cc84f,acfc282960e8f63cfc91d84500f26331437ac952
possible_duplicate,0.607,amendment,"refiled 9d later, location score 0.45",AL,SEARS HOLDINGS,2009-03-09,SEARS HOLDINGS,2009-02-28,3c534964f1eca65e220a7d66a7bb5434f7c6860a,90a103faae6d6f37574a3b1b7ba27a378df44318
amendment_of,1.0,amendment,"refiled 4d later, same location",AL,"CHUGACH WORLD SERVICES, INC.",2011-01-31,"CHUGACH WORLD SERVICES, INC.",2011-01-27,ccde80e85f504e5d1cfe12994fa996b608594738,a9bad03c42ab9c4f48ba2953f580981f9475ac57
possible_duplicate,0.686,amendment,"refiled 21d later, location score 0.46",AL,EARTHLINK,2015-02-04,EARTHLINK,2015-01-14,74dd3eafacb002a7b8dd8f7c9a76c2b1b72261cb,1a0e3d62d88c3c550b33860d2e19bfc2487345d8
possible_duplicate,0.676,amendment,"refiled 3d later, location score 0.42",AL,Packers Sanitation Services Inc,2023-05-22,Packers Sanitation Services Inc,2023-05-19,93df2ab5f6321b6fc3d9e277afc44703d402909d,1a50f036df76ec366382f1a01fcc70d868de0a68
possible_duplicate,0.842,fuzzy,"jw=0.990 'Hostess Brands, Inc.' ~ 'Hostess Brand, Inc.'",AZ,"Hostess Brand, Inc.",2012-05-04,"Hostess Brands, Inc.",2012-05-04,27444ac921dcbb5e489db09e138410f1ff035857,84cc43969061aa7ac5d6239301cd8b9addacc1f8
possible_duplicate,0.99,fuzzy,"jw=0.990 'Hostess Brands, Inc.' ~ 'Hostess Brand, Inc.'",AZ,"Hostess Brand, Inc.",2012-05-04,"Hostess Brands, Inc.",2012-05-04,528eab984ea985a27441877a255b6c29dbe85c2a,6b620cdd99875d0ecc7dbdf5ef25e2fec58f00c5
