state,employer_name,normalized_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,wikidata_qid,parent_company,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
AK,"Johnson's Tire Service, Inc.",johnson s tire service,,,,,,,,,,,"Anchorage, Eagle River, Wasilla & Soldotna",2006-02-25,2006-04-01,100,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,8e0b0c7914779c0597108f13609c7a5610a5eecfa158810c74ca24af,cee2a5ecbb34f7ed15c3a45164fb6e028a76fafb,2026-07-16,2026-07-19
AK,First Student,first student,,,,,,,,,,,Mat-Su,2006-04-10,2006-06-30,102,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,359bc72e41f9fcef8db32d1ea35fb1dbdb3d423245fe95cd9f2f242a,abd895f970a6e945cc21294b64faf98b0b6b1260,2026-07-16,2026-07-19
AK,Chugach Alutiiq Joint Venture,chugach alutiiq joint venture,,,,,,,,,,,Fort Greely,2006-05-30,2006-06-01,151,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,43558bf6deee1859d3d3caefee5026f76d7d7c593d68f28a85764165,068c7fc047c9fb297692ab99f8cd9935285b9f7f,2026-07-16,2026-07-19
AK,Arctec Services,arctec services,,,,,,,,,,,Clear,2006-06-20,2006-09-30,171,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,1254c74d307a180458c682368a47a6284b77eba2847b79de0bb4c032,df2def67fa9bac0f49f5b8cb37925b6689bb4e68,2026-07-16,2026-07-19
AK,Agrium U.S. Inc. Kenai Nitrogen Operations,agrium u s inc kenai nitrogen operations,,,,,,,,,,,Kenai,2007-09-26,,140,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,8f60c590d440925ff84b1ac2655ef23f265c621905aea5e60e0fffcc,397204c6c2bc84974713789f357795704b78bf2a,2026-07-16,2026-07-19
AK,NovaGold,novagold,,,,,,,,,,,Nome,2008-11-26,2008-11-28,130,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,034105e5318926a18d048e5f234e8d7ff834ca4f14ec98cf6cdc0e6e,34921e1b529df08275a893774c0bcaf215dd401e,2026-07-16,2026-07-19
AK,United Parcel Services,united parcel services,,,,1090727,UPS,fuzzy:0.99,,,Q155026,,Anchorage,2010-03-15,,109,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,83c0cf6ce8a283fd1155904ea241c8938207f84cb5089566925b29fa,6c3cf7ba79e5249143ecffb2e01375b692e18c83,2026-07-16,2026-07-19
AK,"Hostess Brands, Inc.",hostess brands,,,,,,,,,,,Statewide,2012-05-04,2012-11-19,90,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,93071416a42bd420476c9ea7c07389792a8ff9f5a878d26bce1c2e14,4c6591712c0e2865a6e7931165603e74303dcdb0,2026-07-16,2026-07-19
AK,Williams Inc.,williams,,,,,,,,,,,Juneau,2012-06-30,2012-09-02,90,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,a5fd612ac3783c280cabf2258e3dd0044eebea3497e2ac7122e17699,713e273ba81cb0ce67b1456e1112d4ca1d677da9,2026-07-16,2026-07-19
AK,TriWest Healthcare Alliance Corp,triwest healthcare alliance,,,,,,,,,,,Statewide,2012-12-10,,31,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,621eab25bde8faecd5fd39ba5de778c67502ce417ca13aa0aca52a6f,d5974502d7e151113f89f26b46399807cd0bdebf,2026-07-16,2026-07-19
