state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
CA,(MARFRED) AMCOR PACKAGING DISTRIBUTION,marfred amcor packaging distribution,(MARFRED) AMCOR PACKAGING DISTRIBUTION,filed,,,,,,,,,,,,,,,,,,n:marfred amcor packaging distribution,,,,,,,,LAKEVIEW TERRACE,,,2013-02-08,45,unknown,,0,0,1,https://web.archive.org/web/20180614054636id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn13.pdf,,a6a58a861ffb3a2ea4c30d6eef8116aebce06a3f,2026-07-26,2026-07-26
CA,123 LOAN,123 loan,123 LOAN,filed,,,,,,,,,,,,,,,,,,n:123 loan,Aliso Viejo city,0600947,Orange County,06059,33.57921,-117.728898,place,ALISO VIEJO,,,2006-09-29,149,unknown,,0,0,1,https://web.archive.org/web/20111220142507id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn06.pdf,,b77599d16ae32bdeb807cf226238cd100a17776c,2026-07-26,2026-07-26
CA,21ST CENTURY INSURANCE COMPANY,21st century insurance,21ST CENTURY INSURANCE COMPANY,filed,,52,sec-sic,enterprise,100331,,suffix,6331,"Fire, Marine & Casualty Insurance",,,,,,,,automatic,cik:100331,Brea city,0608100,Orange County,06059,33.925178,-117.865111,place,BREA,,,2006-09-01,51,unknown,,0,0,1,https://web.archive.org/web/20111220142507id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn06.pdf,,97b1b3b00258863ece176219bbb581cfa0a18918,2026-07-26,2026-07-26
CA,24 HOUR FITNESS,24 hour fitness,24 HOUR FITNESS,filed,,,,,,,,,,,,,,,,,,n:24 hour fitness,Carlsbad city,0611194,San Diego County,06073,33.129284,-117.284183,place,CARLSBAD,,,2006-10-03,61,unknown,,0,0,1,https://web.archive.org/web/20111220142507id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn06.pdf,,11260d9c2cdfb1d75de1984b0f99e5d57e86e5cd,2026-07-26,2026-07-26
CA,"2K GAMES, INC",2k games,"2K GAMES, INC",filed,,,,,,,,,,,,,,,,,,n:2k games,Los Angeles city,0644000,Los Angeles County,06037,34.019394,-118.410825,place,NORTHRIDGE,,,2013-12-16,48,unknown,,0,0,1,https://web.archive.org/web/20180614054636id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn13.pdf,,cb7df9b0e12e66feb53e749beb5f8d57c94e5aba,2026-07-26,2026-07-26
CA,3COM,3com,3COM,filed,,,,,738076,,exact,3576,Computer Communications Equipment,,,,,,,,automatic,cik:738076,Santa Clara city,0669084,Santa Clara County,06085,37.364621,-121.967973,place,SANTA CLARA,,,2006-04-28,52,unknown,,0,0,1,https://web.archive.org/web/20111220142507id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn06.pdf,,f9ea2eac21c8b9441f7b5bf374a4b442c6867eb9,2026-07-26,2026-07-26
CA,3Com Corporation,3com,3Com Corporation,filed,,,,,738076,,exact,3576,Computer Communications Equipment,,,,,,,,automatic,cik:738076,Santa Clara city,0669084,Santa Clara County,06085,37.364621,-121.967973,place,Santa Clara,,,2001-07-07,1000,unknown,,0,0,1,https://web.archive.org/web/20111220142720id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn01.pdf,,96b7ad6f927d356e09be1e428868c2a294bee927,2026-07-26,2026-07-26
CA,3D SYSTEMS,3d systems,3D SYSTEMS,filed,,,,,910638,DDD,exact,7372,Services-Prepackaged Software,,,,,,,,automatic,cik:910638,Santa Clarita city,0669088,Los Angeles County,06037,34.416504,-118.500693,place,VALENCIA,,,2006-01-06,103,unknown,,0,0,1,https://web.archive.org/web/20111220142507id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn06.pdf,,a54a03ffd769364c29e4da55c2c85af8bafd85ce,2026-07-26,2026-07-26
CA,3M COMPANY,3m,3M,wikidata,,33,sec-sic,enterprise,66740,MMM,exact,3841,Surgical & Medical Instruments & Apparatus,,,,Q159433,cik,,,automatic,qid:Q159433,Simi Valley city,0672016,Ventura County,06111,34.266887,-118.748458,place,SIMI VALLEY,,,2009-04-13,109,unknown,,0,0,1,https://web.archive.org/web/20140802081241id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn09.pdf,,aaa1e82e5ff1ca09df9d38dbd88c5bed395878a3,2026-07-26,2026-07-26
CA,3M COMPANY,3m,3M,wikidata,,33,sec-sic,enterprise,66740,MMM,exact,3841,Surgical & Medical Instruments & Apparatus,,,,Q159433,cik,,,automatic,qid:Q159433,Petaluma city,0656784,Sonoma County,06097,38.242251,-122.628769,place,PETALUMA,,,2009-02-01,105,unknown,,0,0,1,https://web.archive.org/web/20140802081241id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn09.pdf,,e38882c6aa092b0a0e3028ab7f13b357112182c6,2026-07-26,2026-07-26
CA,3M COMPANY (WESTERN DISTRIBUTION CENTER),3m company western distribution center,3M,wikidata,,33,sec-sic,enterprise,66740,MMM,exact:base,3841,Surgical & Medical Instruments & Apparatus,,,,Q159433,cik,,,automatic,qid:Q159433,Ontario city,0653896,San Bernardino County,06071,34.037648,-117.604433,place,ONTARIO,,,2011-04-08,132,unknown,,0,0,1,https://web.archive.org/web/20130407165251id_/http://www.edd.ca.gov/Jobs_and_Training/warn/eddwarncn11.pdf,,39f2b469c50d034145375b1097051268bc963b0a,2026-07-26,2026-07-26
