state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
CO,Battelle,battelle,Battelle,filed,,56,source,establishment,,,,,,,,,,,,,,n:battelle,Pueblo city,0862000,Pueblo County,08101,38.269228,-104.610816,place,Pueblo,,2026-08-10,1,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,3314ca39535bcea2015481179f1f1bb5f50246bf5b7d3b92291f5018,81538a2d133774cdb2290ad035f79682d10a50e8,2026-07-16,
CO,"Conagra Brands, Inc.",conagra brands,"Conagra Brands, Inc.",wikidata,,,,,23217,CAG,exact,2000,Food and Kindred Products,,,,Q1123399,cik,,,automatic,qid:Q1123399,Boulder city,0807850,Boulder County,08013,40.024431,-105.251251,place,Boulder,,,100,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,e04c95f5ff66fb8dc8aea9a229e212c5071a31aa4ea265b24033dafd,ea1463673254532135668be902867b35c11fc837,2026-07-16,
CO,HomeAdvisor,homeadvisor,HomeAdvisor,filed,,,,,1575210,,exact:post-era,,,,,,,,,,automatic,cik:1575210,,,,,,,,Pikes Peak,,2020-01-01,229,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2517a18b164dd883a8ba9d7080d41d586b55c97f26453caefc39bd6b,c64a70b88561521a50cf1a0e029d8e1726fb4a92,2026-07-16,
CO,Invesco (OppenheimerFunds OFI),invesco oppenheimerfunds ofi,Invesco,wikidata,,,,,914208,IVZ,exact:base,,,,,,Q522617,cik,,,automatic,qid:Q522617,,,,,,,,Arapahoe/Douglas (Centennial),,2019-05-25,850,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,c5dc00082ca54a2260952c2ccd13493e154ca94c1467ed0ca387ca6a,e92bc4854c8063c644ae1f342f51c5d646a27057,2026-07-16,
CO,NOTE: 313 employees notified by Ascent Classical Academies were hired by the new vendor.,note 313 employees notified by ascent classical academies were hired by the new vendor,NOTE: 313 employees notified by Ascent Classical Academies were hired by the new vendor.,filed,,,,,,,,,,,,,,,,,,n:note 313 employees notified by ascent classical academies were hired by the new vendor,,,,,,,,,,,,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,364f68fa7c5ba3062777645c7de245a78eec992b8d2d6d7b02202feb,0dca7a33182f9e55fba0ef7cc60d5503061503c4,2026-07-16,
CO,National Express Transit (NEXT),national express transit next,National Express Transit,cleaned,,,,,,,,,,,,,,,,,,n:national express transit,,,,,,,,Pikes Peak,,2019-06-30,60,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,deb988b64d7bb89d16b31a8489ed3dc00d5fcff4d63e3ee7f90279e1,7f9abc11bb1c3f889f590dd73260a5fcedd5b273,2026-07-16,
CO,Peak Reliability,peak reliability,Peak Reliability,filed,,,,,,,,,,,,,,,,,,n:peak reliability,,,Larimer County,08069,40.658093,-105.486764,county,Larimer,,,69,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2a3db0d6c96f0d3d03282eb3cc4402a6d1a587b91769acdb0c12afd0,747ec41ff131afed86b1e74eaf95ca91a4739799,2026-07-16,
CO,PrimeFlight Aviation Services Inc.,primeflight aviation services,"PRIMEFLIGHT AVIATION SERVICES, INC.",gleif,,488119,employer,establishment,,,,,,,,549300EKHBVLMKN1N602,,,,,automatic,lei:549300EKHBVLMKN1N602,Denver city,0820000,Denver County,08031,39.76185,-104.881105,place,Denver,,2019-09-18,439,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,9d7ddb8f51bd1e26605b8a981a91442dbfa48dbeed4d9f0663b0a17c,40fb9e5e1d202f125974e6c1720529f5f6cdd435,2026-07-16,
CO,Public Storage,public storage,Public Storage,wikidata,,52593,sec-sic,enterprise,1393311,PSA,exact:listed,6798,Real Estate Investment Trusts,,,,Q1156045,cik,,,automatic,qid:Q1156045,,,,,,,,,,,,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,e21190d06ad5f57340527a51c4ba31f390b1c8760950a295655500c4,7c466d0cb90939e8c01d9ba4c02d79aadace04ac,2026-07-23,2026-07-23
CO,"Sandoz Inc., A Novartis Division (Update)",sandoz inc a novartis division update,"Sandoz Inc., A Novartis Division",cleaned,,,,,,,,,,,,,,,,,,n:sandoz inc a novartis division,Broomfield city,0809280,Broomfield County,08014,39.953593,-105.050787,place,Broomfield,,,24,unknown,,0,1,2,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,a50f6afdc0a01427c8c4902b3eb95fa7053e4b4c0362f1c36fd3a9d2,d7343ae99b85f9416eaf2c7ad907fe7c1637a4c1,2026-07-16,
CO,Sandoz-Novartis,sandoz novartis,Sandoz-Novartis,filed,,,,,,,,,,,,,,,,,,n:sandoz novartis,Broomfield city,0809280,Broomfield County,08014,39.953593,-105.050787,place,Broomfield,,2019-07-06,24,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,bf65550d516b594e97e933c6bfcfcce65f3b2957c9c25ab602ad6a0c,65ea9d11e0535f357ec0c477c2ba944aac169cb9,2026-07-16,
CO,Travelport LP,travelport,Travelport LP,filed,,,,,,,,,,,,,,,Travelport Worldwide LTD,1424755,,n:travelport,,,,,,,,,,,,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,1eb76d46595eecd9c6cd33b394cb8e5533d8493cfcecf2253ab9778a,612fac7e510555998d991c51561b994360c93fe5,2026-07-23,2026-07-23
CO,Turnkey One Source,turnkey one source,Turnkey One Source,filed,,,,,,,,,,,,,,,,,,n:turnkey one source,Denver city,0820000,Denver County,08031,39.76185,-104.881105,place,Denver,2014-10-25,2024-12-21,59,unknown,,1,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,98895dc1bee10da93b21f38cb77f064f48a03a2f10eab3a7a8276986,96c5816d416535c4317a461a8f780fcde352d803,2026-07-16,2026-07-16
CO,Iqor Inc.,iqor,Iqor Inc.,filed,,,,,,,,,,,,,,,,,,n:iqor,Pueblo city,0862000,Pueblo County,08101,38.269228,-104.610816,place,Pueblo,2015-01-02,,251,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,121fb78f79be5a68972d9c4653522c3a4a77253c3c5a31c7acde6a07,536e38ad405ec002fab25ba3cfed653efd7f4a64,2026-07-16,
CO,K-Mart-Sears Distribution Center,k mart sears distribution center,K-Mart-Sears Distribution Center,filed,,,,,,,,,,,,,,,,,,n:k mart sears distribution center,,,Adams County,08001,39.874325,-104.331872,county,Adams County,2015-01-06,,103,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,4a786c74e71f84c7db8af9620def28a36837aa2824962374c767cce6,0f983a40930dd507be9bd4a7fbad1e6a6a9ff621,2026-07-16,
CO,Moneygram Payment Systems Inc. (MPSI),moneygram payment systems inc mpsi,Moneygram Payment Systems Inc.,cleaned,,,,,1005730,,exact:base,,,,,,,,,,automatic,cik:1005730,,,Jefferson County,08059,39.579511,-105.245462,county,Jefferson County,2015-01-06,,4,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,0ff62ec4e566b1f7083daa4932345ae352b20645e73293a973a79f06,c6c4933c57d1b3324909e40d7463b53c70c275c5,2026-07-16,
CO,Frontier Airlines Inc.,frontier airlines,Frontier Airlines Inc.,filed,,48111,sec-sic,enterprise,921929,,exact:post-era,4512,"Air Transportation, Scheduled",,,,,,,,automatic,cik:921929,Denver city,0820000,Denver County,08031,39.76185,-104.881105,place,Denver,2015-01-16,,1152,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,6a55a58681f737c1e971f1502b3339b80a68e808320a93444a976e1f,6d6fd76dc15b8d45befe000fb522c209fe5596e9,2026-07-16,
CO,Serco-NA,serco na,Serco-NA,filed,,,,,,,,,,,,,,,,,,n:serco na,,,Teller County,08119,38.869976,-105.187365,county,Pikes Peak/Teller,2015-01-21,,69,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,c625ed75aa3f613a682b538b1928305b23461938a02c264fa2d838f0,eff69d0a220a9d49f3255b2cb5a8d2698221bb30,2026-07-16,
CO,Moneygram Payment Systems Inc. (MPSI),moneygram payment systems inc mpsi,Moneygram Payment Systems Inc.,cleaned,,,,,1005730,,exact:base,,,,,,,,,,automatic,cik:1005730,,,Jefferson County,08059,39.579511,-105.245462,county,Jefferson County,2015-01-27,,7,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,54dbbb5bb048b15498ec37f55b825642e36ef74b5fe24731f00377b5,50b9956fc581c34c3f74bc9b0bd8bd720bfe0970,2026-07-16,
CO,Corinthian Colleges Inc./Everest College,corinthian colleges inc everest college,Corinthian Colleges Inc./Everest College,filed,,,,,,,,,,,,,,,,,,n:corinthian colleges inc everest college,,,Teller County,08119,38.869976,-105.187365,county,Pikes Peak/Teller,2015-01-30,,214,unknown,,0,0,1,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,ae6d96faae3ab296e9a65e3b8d3c766610a600ab2d3b566a14e46da7,0e5b3251a6e85767f55b7bf4c8d81c36e97bd8c3,2026-07-16,
