state,employer_name,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
CT,PosiGen Developer LLC,"Shelton, Danbury, Wethersfield",2025-08-25,2024-08-24,78,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,66479f036fa01245b945b9d3034c4569ecd219969c6c4560445901d4,8c295f365d1caa0e6375af76bc9acd8620c964a1,2026-07-16,2026-07-16
CT,PosiGen Developer LLC,"Shelton, Danbury, Wethersfield",2025-09-12,2025-09-21,,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,c870a5b0d6be3eea5b2da5b152b44c44aab281653aebd98bd2eef238,33947e912374cd98226b6a792814febd62e69b19,2026-07-16,2026-07-16
CT,PerkinElmer U.S. LLC,Shelton,2025-09-23,2025-11-24,68,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,85377e1f22f1ef9241f19cd33eee399d12fa52a300712a1c48347e49,35393c06ea223ffc1117e9871822abe43f1ad129,2026-07-16,2026-07-16
CT,PosiGen Developer LLC,"Shelton, Danbury, Wethersfield",2025-10-03,2025-10-12,,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,d9352e4f308c05ad0eeb8d750c85e20c081de5b1acb9ef71b8554300,2252463a5bb56403994a861807fb5a6d0a36cc0f,2026-07-16,2026-07-16
CT,"SimplyIOA, LLC",Remote,2025-10-03,2025-12-02,,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,ef1dab0226ddd7fe8a073bd158710658471b08e1ee4a638b5a416b55,f11bfe29c911adf52d6f895eaff002cb0ab84786,2026-07-16,2026-07-16
CT,"ImageFIRST Healthcare Laundry Specialists, LLC",12/08/2025,2025-10-09,2025-12-08,69,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,2248ed9057d1484b4a1d7ae2952eb667430281e841dce63501d108fa,e30e8cd7b07d0b1cb43012a0b9b75f041eaf5b1f,2026-07-16,2026-07-16
CT,CVS Health,Remote,2025-10-17,2025-12-31,72,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,edbf0bc7ffc943892ee951268f0bff451b79ca2ce3bac3994fecaaab,83c54e1fc8e47a5180489772513cc8e290dc030a,2026-07-16,2026-07-16
CT,Baduccis,Westport,2025-10-24,2026-02-28,59,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,40ded016a8dc43f48c9ffb44fdde6a1031c03263768cc9716192ce15,12c629a09ceeaf0e0ed9a169072cc48ae19695fb,2026-07-16,2026-07-16
CT,PosiGen Developer LLC,Shelton,2025-10-24,2025-11-02,,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,7684a28365661653af948a09117e467b3ace2287995dfffc44d1701f,7cf251f25989260dc6c4f463124c93a9b28e00cb,2026-07-16,2026-07-16
CT,Macys South Windsor Distribution Center,South Windsor,2025-10-28,2025-12-28,106,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,fa1226f9d9f8fa06606881b9837b619bac5c2b60e924f76ab298d77d,cdb7e311e4bf0e342710aa7fc852867e7914a28c,2026-07-16,2026-07-16
CT,"ELG Utica Alloys (Harford), Inc.",Hartford,2025-10-31,2025-12-31,51,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,d29e9b7bdc9d4350943dc0d7c60b0f48e7aab248190c9be94e5780d8,557148c03dd5ad02caf1962daf34dc2a4d7ae4ae,2026-07-16,2026-07-16
CT,"Metallics, Inc",Bristol,2025-11-07,2026-05-01,33,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,8113ad02db799db03e49fa6cb082c8c0eb4ff19a0791ce635753fc97,7470c627f3fee9221e359816b461a73e6008cbc2,2026-07-16,2026-07-16
CT,Edgewell Personal Care/Schick,Milford,2025-11-13,2026-03-02,293,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,763a762daa0dac4bcf5459843bb55db419b9b8dfd08c21fa9e09c45a,1a92794c90c4aeeb1ceca43c141e37a15de5dc7e,2026-07-16,2026-07-16
CT,PosiGen Developer LLC,Shelton,2025-11-14,2025-11-23,,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,c7f0b70c75bc11540951615663462acdc59c3863e5a4f2d9fd893de2,d6c977af6cabf7a759ebb51509e02e12c539f38d,2026-07-16,2026-07-16
CT,Connecticut Custom Car,Enfield,2025-11-26,2025-11-26,5,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,391667c146e8757148b7d497fe68203224f403157f85a2079572ed86,ec7458efb9cabe219c1d4e0a9002e1d94b3442e4,2026-07-16,2026-07-16
CT,"Tessera Therapeutics, Inc",Remote,2026-01-07,2026-03-08,1,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,170625830f4398df170d9cbc7dce927ef039e75eb0e039c5c2fb3861,3bc374357c5b839640c584f3ce78a65f6cf65b3c,2026-07-16,2026-07-16
CT,JeniusBank,Remote,2026-01-08,2026-03-10,161,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,6a5a91146e17b2f802ce92b1229845cd319c6316f8a470c6f11ab28e,a354e614f8a325ea355f1b716b0caa25858796f1,2026-07-16,2026-07-16
CT,Macys Store Delivery Center (SDS) and Customer Returns Center (CRD) Operations,South Windsor,2026-01-12,2026-03-14,57,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,18c35548f18d0e79f9e0f3e87eaa732599dcd25962b9cdf95af5c983,883c03583b2ab050b8952eccadd5512bacbab93a,2026-07-16,2026-07-16
CT,Macys Cheshire Fulfillment Center,Cheshire,2026-01-13,2026-03-14,993,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,24a4ea5c63469f62b006ad56722942a1be6d1351230208991015f57f,d21b1e189acc42af3b217252c8677d97f7941ef0,2026-07-16,2026-07-16
CT,CVS Heath - Aetna,Hartford - Remote,2026-02-04,2026-04-03,313,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,1f96f80059175ed1134ec5f9eb9b7cbe9f1e074011e215b6c7e87a6c,bd4517a974df151a75dbceccab93ccacc9f73cca,2026-07-16,2026-07-16
CT,"Main Street Sports Group, LLC",Southport,2026-02-13,2026-04-14,44,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,b7d18dbb94e9964db30997909bc5ec1b6c2bd48d7f1c9f337f9d6692,9cd45fb0ea04adee1b807a3ffc97c478582a53be,2026-07-16,2026-07-16
CT,"Talcott Resolution Life, Inc.",Hartford,2026-02-17,2026-04-24,101,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,33c468f28c8b038ce93ce9140a6e2d36eeb5a1dbc748053784445bda,563bbb70028931a72acd09dc29d68f6c042f2952,2026-07-16,2026-07-16
CT,Stanley Black and Decker,New Britain,2026-03-03,2026-05-04,300,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,da933d2a38dd5f644b0a7140f2677b0f3d78eeeb31ce241b9f0d919d,fb70b01fb49b7672892c7fd4eab1f0eea8cf5815,2026-07-16,2026-07-16
CT,CVS Health Aetnas Clinical  Solutions/Aetna Business Operations,Remote,2026-05-04,2026-07-03,6,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,29f51ada07f188e36781237531cedeb8b9401aa2bbe8ff9759f221b2,fee2a1c018d9f58cdc88d425aa48c3a82853bb66,2026-07-16,2026-07-16
CT,IDEX Health and Science LLC,Bristol,2026-05-05,2026-07-15,73,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,78db221138402abf9cba631885b982fea82cdaeb74d83ac246d91096,bfe2973341c6a878ea372cfb37f5ab337f5f4661,2026-07-16,2026-07-16
CT,Guida-Seibert Dairy Company,New Britain,2026-05-21,2026-07-20,205,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,29429b62d85a75da70ce8f823d873f8f0180e0f89fc4fc5ea2ecdc7d,3d7e47f45758d7f2c35022e20149014274a9fa0c,2026-07-16,2026-07-16
CT,"G2 Secure Staffing, LLC",Windsor Locks,2026-06-19,2026-08-19,100,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,44850e8495ae308240032b8f3cacffb18c85126963db2e151c7a7ebf,1678dbcfb3c4163617a4e23296f38a968f10c9df,2026-07-16,2026-07-16
CT,"Conduent Commercial Solutions, LLC",Remote,2026-06-26,2026-08-28,2,unknown,,0,0,1,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,fc3626b1937849b745829f1b23bdcca046aaee579585e40b55269b4d,1541a09aa023cadef83c252111d6b34273cd6652,2026-07-16,2026-07-16
