state,employer_name,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
DE,Avon Products,,2007-01-16,,400,unknown,,0,0,1,https://joblink.delaware.gov/search/warn_lookups,a145bca85bca0a3c87ed7e62161dd0a35667f934df5538eb8cc360b8,c6a57e2007ac767933948adc157ccaca5fe34a3d,2026-07-16,2026-07-16
DE,General Motors,,2008-10-21,,,unknown,,0,1,2,https://joblink.delaware.gov/search/warn_lookups,1806fb8471ef430dde48430be2810fc7df02e893a205b115f3078fc1,01c420d5faaff7fb21b9a6dcd3f33738bae03d3c,2026-07-16,2026-07-16
DE,Chrysler Corporation,,2008-10-28,,1125,unknown,,0,0,1,https://joblink.delaware.gov/search/warn_lookups,c582a85adfe202c479bd86142fd90522551b1d81c3fb775fd0c2c911,b112bfb99ee86b7cbef9efe57c419cbcb6bd50e6,2026-07-16,2026-07-16
DE,Mundy Services,,2008-11-06,,,unknown,,0,1,2,https://joblink.delaware.gov/search/warn_lookups,4bb55763a5714f69cc5fd24e1c121e1d5292203a8accf5aefaae08d8,714c9d5def2243c565edae7ac79df1903ebe0b79,2026-07-16,2026-07-16
DE,Invista,,2008-12-08,,,unknown,,0,1,2,https://joblink.delaware.gov/search/warn_lookups,f54b0be677035322dc0292216ab21f2b20081ff1c288432599235734,8e80c325712cd367bac1445badcace5f5b7a4431,2026-07-16,2026-07-16
DE,DHL Express,,2009-01-06,,63,unknown,,0,0,1,https://joblink.delaware.gov/search/warn_lookups,fc0c8b328684581cccd8d1e23fea13c5a06eca31250ced37d7977110,6c98f831f3e510e2dd0b880eb0a285135eb06f7f,2026-07-16,2026-07-16
DE,Circuit City,,2009-01-16,,,unknown,,0,1,2,https://joblink.delaware.gov/search/warn_lookups,45faf5d744934991398252ff1d9c59e669fd1df6f9d9a6a8c962f866,11f3a4c838ecd7c5299a090a3164ed9bb8cd31a3,2026-07-16,2026-07-16
DE,Teleplan International,,2009-01-29,,,unknown,,0,1,2,https://joblink.delaware.gov/search/warn_lookups,f262876787eadbc5897f19a312d6c9e4637509dbe3ffe998d9b65e89,4299794e301d11abad16ac94e776c1985a15039d,2026-07-16,2026-07-16
DE,American Heart Association,,2009-02-16,,4,unknown,,0,0,1,https://joblink.delaware.gov/search/warn_lookups,0fdc1f65067cc58342dcc0d0ccf993d3bc6785a1af7e86ea0d4b2be2,19913c1bdad0e640fe9660b96e89c9f46c5c1442,2026-07-16,2026-07-16
DE,"Avon Products, Inc.",,2009-03-11,,,unknown,,0,1,2,https://joblink.delaware.gov/search/warn_lookups,fcf0e4aaca5cfe3d68d0e85dd539c24d6e12d710c03356a21081d25b,5cac3e4813184937c9224082989c8720d051fcaf,2026-07-16,2026-07-16
DE,GE Energy,,2009-03-13,,86,unknown,,0,0,1,https://joblink.delaware.gov/search/warn_lookups,764d46e7897ed66e77125128682d9a683e1acb9acc4f770aeb8be4c2,2d82d10dcf6332cab26ff10efba4558c0c72eae2,2026-07-16,2026-07-16
DE,A.I. DuPont Childrens Hospital,,2009-03-20,,,unknown,,0,1,2,https://joblink.delaware.gov/search/warn_lookups,58838b609307fb7a1f739b8576ef5566a5c9ded8173a4f7d108beba8,f38037f715a967b2553297fcd2efd2879a3929d6,2026-07-16,2026-07-16
DE,WolfBlock LLP,,2009-03-26,,5,unknown,,0,0,1,https://joblink.delaware.gov/search/warn_lookups,4f6c2bedd4dc8591f4e1dfabc113e81a7d94a5af7f3ab2258a433055,e57557a252684abdfeabc058ef9b8075286e10a0,2026-07-16,2026-07-16
DE,Siemens Healthcare Diagnostics,,2009-03-31,,71,unknown,,0,0,1,https://joblink.delaware.gov/search/warn_lookups,320c401c74e68b8d790897e5dff71c2bc8bd5d2163b5cdbf14de9a51,7387f6479d9072023d319c38d4ff8b95861ec40b,2026-07-16,2026-07-16
DE,Standard Retirement Services,,2009-04-13,,8,unknown,,0,0,1,https://joblink.delaware.gov/search/warn_lookups,d08d38d4d7ee15c76ce30a7e171e9f8b179c99d60bb8320c878dd526,e4e6d962fe209b22de8ca3889024446fac7024be,2026-07-16,2026-07-16
DE,General Motors,,2009-06-01,,,unknown,,0,1,2,https://joblink.delaware.gov/search/warn_lookups,2fb87bb1592109b54ce16152e5456b13dad192f5b30c9f1bc679fa41,cf3e3811824328dd0e51b48c14b185a7cf48dd40,2026-07-16,2026-07-16
