state,employer_name,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
FL,Macy's Gulf View,Port Richey,2015-01-09,2015-03-16,70,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,6e1d3a5625cf2315dd6eca3aaf8d074bd3490ab7c19b69e35b5337ba,4959432c0eb3bdfa3bb62e0790c7d7a62e09e7d6,2026-07-16,2026-07-26
FL,Body Central,Jacksonville,2015-01-12,2015-01-09,132,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,1184122e9ce02f049f9fdb00ac3697669f902adedc632b449c284c44,d289a784459b07b3aca38062c7678edbcbd066ba,2026-07-16,2026-07-26
FL,Top of the Port,Miami,2015-01-12,2015-03-01,52,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,163263d635ceba9a5227f97e9c501fe4115f79f0fc7dffa807a48d55,9197882675f71ccbc29457a2fe4e419d73ec5f1c,2026-07-16,2026-07-26
FL,Crothall Healthcare,Miami,2015-01-13,2015-01-26,54,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,bdaaab7edb9221e5ce3e1769935f2f90714c23bde2e2b5e88dd27f3d,024afea1de9c1a47c25cad7724e365b3cacec71c,2026-07-16,2026-07-26
FL,Windstream,Maitland,2015-01-23,2015-03-23,62,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,530e09aa19b199be32529271e681f79cd5d9eace38796f8c2f88a07c,d7c375a02adb3c5cf4842f25956c20c305063fed,2026-07-16,2026-07-26
FL,American Express,Weston,2015-01-29,2015-04-03,27,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,24d0ae2a17a104703ba46c875105b06a08089d98654faaf2e8898f71,ee63bfd41e9642f20ece600b3972031ae8aec774,2026-07-16,2026-07-26
FL,Chase Mortgage,Jacksonville,2015-01-30,2015-03-30,163,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,99a3808b844ebb644aee545cdf2a4519c7d5c4f76f498e0a3b66844b,6e9acce3321da1082286da4ee8436e6861b0e9a7,2026-07-16,2026-07-26
FL,Walgreens,Orlando,2015-02-02,2015-04-02,252,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,5f55fdec45349532ada65fff34d9899ac011ee3dda77f3d6b05a23b5,5b9b3db7e20f9ee4b9051ac448629757c7767eee,2026-07-16,2026-07-26
FL,Tyonek Services,32212,2015-02-03,2015-03-31,311,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,5440ab47ee326c7f42204bd3d5c721142ede7767ae54117c93eabcdc,0eb4b6de085faf3b85e2fc978588e823bcee7b36,2026-07-16,2026-07-26
FL,Computer Sciences,FL 32925,2015-02-05,2015-04-08,420,unknown,,0,0,1,https://reactwarn.floridajobs.org/WarnList/,df35f3f1a8cd788bd646977ccca94aa76ee8df0088017a8ec25ec441,b7645a7aa8669cd9182cbae8330871484e7d154d,2026-07-16,2026-07-26
