state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,affected_site_address,affected_site_city,site_role,employer_mailing_address,employer_name_verbatim,letter_date,agency_received_date,agency_notification_date,agency_processed_date,source_record_urls,source_locators,source_status,timing_qc,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
GA,"1888 Mills, LLC",1888 mills,"1888 Mills, LLC",filed,,,,,,,,,,,,,,,,,,n:1888 mills,Griffin city,1335324,Spalding County,13255,33.243188,-84.271861,place,,,,,,,,,,,,,,"375 Airport Road, Griffin, Georgia",,,,,2024-03-29,,,,,,GA:GA202300032,"{""dates"": [{""date"": ""2024-03-29"", ""role"": ""separation"", ""source_field"": ""First Date of Separation"", ""source_text"": ""03/29/2024""}], ""sites"": [{""address"": ""375 Airport Road, Griffin, Georgia"", ""source_field"": ""First Location Address"", ""workers"": null}], ""total_workers"": 180, ""worker_allocation"": ""single_site""}",180,closure,0,0,0,1,https://www.tcsg.edu/warn-public-view/,d7a469087290a2a1ade7f345fc00b9e8e11c15ee4173239c103bc04e,a6c265cb47e9988baec0e7e0c891bfd75f9c4503,2026-09-24,
GA,255 peter;s street lounge,255 peter s street lounge,255 peter;s street lounge,filed,,,,,,,,,,,,,,,,,,n:255 peter s street lounge,Atlanta city,1304000,Fulton County,13121,33.762909,-84.422675,place+county,,,,,,,,,,,,,,"atlanta, Fulton",,,,,2019-09-08,day,reported,,,,GA:GA201900024,"{""county"":""Fulton"",""date_roles"":{""Date"":""reported_separation""},""lwda"":""3"",""origin"":""agency/ga/2019-ga-warn-filing-report.pdf"",""pdf_company_continuation"":[],""pdf_line"":44,""pdf_page"":3,""pdf_table_values"":[""GA201900024"",""255 peter;s street lounge"",""atlanta"",""30313"",""Fulton"",""50"",""3"",""09/08/2019""],""published_ga_id"":""GA201900024"",""source_artifact_sha256"":""6272ed7453c155191865e907eeb82c2149d4a12a65ebdc652ae4341e7105547e"",""source_row"":""agency/ga/2019-ga-warn-filing-report.pdf:sha256:6272ed7453c155191865e907eeb82c2149d4a12a65ebdc652ae4341e7105547e:page:3:id:GA201900024"",""zipcode"":""30313""}",50,unknown,,0,0,1,https://www.dropbox.com/scl/fo/oqeoy4wusx73tnewkkx7y/AB-hiQYJSo9noT58f-EJpFg/2019%20GA%20WARN%20Filing%20Report.pdf?rlkey=y60u5c79377rwf0voqc27nm0o&dl=0,GA201900024,fa5d4f338e670dd5d3906d8821316530a9be37b5,2026-09-24,
GA,2PM Property Investments,2pm property investments,2PM Property Investments,filed,,,,,,,,,,,,,,,,,,n:2pm property investments,Cumming city,1320932,Forsyth County,13117,34.206067,-84.133848,place+county,,,,,,,,,,,,,,"Cumming, Forsyth",,,,,2020-06-19,day,reported,,,,GA:GA202000064,"{""county"":""Forsyth"",""date_roles"":{""Date"":""reported_separation""},""lwda"":""2"",""origin"":""agency/ga/2020-ga-warn-filing-report.pdf"",""pdf_company_continuation"":[],""pdf_line"":47,""pdf_page"":19,""pdf_table_values"":[""GA202000064"",""2PM Property Investments"",""Cumming"",""30041"",""Forsyth"",""4"",""2"",""06/19/2020""],""published_ga_id"":""GA202000064"",""source_artifact_sha256"":""b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641"",""source_row"":""agency/ga/2020-ga-warn-filing-report.pdf:sha256:b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641:page:19:id:GA202000064"",""zipcode"":""30041""}",4,unknown,,0,0,1,https://www.dropbox.com/scl/fo/oqeoy4wusx73tnewkkx7y/AMGu8WDXxCYKdueivIKbjQI/2020%20GA%20WARN%20Filing%20Report.pdf?rlkey=y60u5c79377rwf0voqc27nm0o&dl=0,GA202000064,1ab9b3590a54ff16662da9753546f7167c0274dc,2026-09-24,
GA,"300 West Bay, LLC",300 west bay,"300 West Bay, LLC",filed,,,,,,,,,,,,,,,,,,n:300 west bay,Savannah city,1369000,Chatham County,13051,32.018043,-81.196492,place+county,,,,,,,,,,,,,,"Savannah, Chatham",,,,,2020-03-20,day,reported,,,,GA:GA201900540,"{""county"":""Chatham"",""date_roles"":{""Date"":""reported_separation""},""lwda"":""19"",""origin"":""agency/ga/2020-ga-warn-filing-report.pdf"",""pdf_company_continuation"":[],""pdf_line"":51,""pdf_page"":9,""pdf_table_values"":[""GA201900540"",""300 West Bay, LLC"",""Savannah"",""31401"",""Chatham"",""10"",""19"",""03/20/2020""],""published_ga_id"":""GA201900540"",""source_artifact_sha256"":""b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641"",""source_row"":""agency/ga/2020-ga-warn-filing-report.pdf:sha256:b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641:page:9:id:GA201900540"",""zipcode"":""31401""}",10,unknown,,0,0,1,https://www.dropbox.com/scl/fo/oqeoy4wusx73tnewkkx7y/AMGu8WDXxCYKdueivIKbjQI/2020%20GA%20WARN%20Filing%20Report.pdf?rlkey=y60u5c79377rwf0voqc27nm0o&dl=0,GA201900540,e0ef600b38b024cee6c01d505ebaba73ba8121c5,2026-09-24,
GA,37th St Cooking Inc,37th st cooking,37th St Cooking Inc,filed,,,,,,,,,,,,,,,,,,n:37th st cooking,Savannah city,1369000,Chatham County,13051,32.018043,-81.196492,place+county,,,,,,,,,,,,,,"Savannah, Chatham",,,,,2020-03-22,day,reported,,,,GA:GA201900114,"{""county"":""Chatham"",""date_roles"":{""Date"":""reported_separation""},""lwda"":""19"",""origin"":""agency/ga/2020-ga-warn-filing-report.pdf"",""pdf_company_continuation"":[],""pdf_line"":20,""pdf_page"":2,""pdf_table_values"":[""GA201900114"",""37th St Cooking Inc"",""Savannah"",""31401"",""Chatham"",""45"",""19"",""03/22/2020""],""published_ga_id"":""GA201900114"",""source_artifact_sha256"":""b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641"",""source_row"":""agency/ga/2020-ga-warn-filing-report.pdf:sha256:b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641:page:2:id:GA201900114"",""zipcode"":""31401""}",45,unknown,,0,0,1,https://www.dropbox.com/scl/fo/oqeoy4wusx73tnewkkx7y/AMGu8WDXxCYKdueivIKbjQI/2020%20GA%20WARN%20Filing%20Report.pdf?rlkey=y60u5c79377rwf0voqc27nm0o&dl=0,GA201900114,f3f8202d9226f8be6a5176c8f5a0bf56c835fc09,2026-09-24,
GA,A Book Nook Inc,a book nook,A Book Nook Inc,filed,,,,,,,,,,,,,,,,,,n:a book nook,Decatur city,1322052,DeKalb County,13089,33.771067,-84.295784,place,,,,,,,,,,,,,,"Decatur, Dekalb",,,,,2020-04-01,day,reported,,,,GA:GA201900317,"{""county"":""Dekalb"",""date_roles"":{""Date"":""reported_separation""},""lwda"":""5"",""origin"":""agency/ga/2020-ga-warn-filing-report.pdf"",""pdf_company_continuation"":[],""pdf_line"":54,""pdf_page"":4,""pdf_table_values"":[""GA201900317"",""A Book Nook Inc"",""Decatur"",""30033"",""Dekalb"",""17"",""5"",""04/01/2020""],""published_ga_id"":""GA201900317"",""source_artifact_sha256"":""b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641"",""source_row"":""agency/ga/2020-ga-warn-filing-report.pdf:sha256:b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641:page:4:id:GA201900317"",""zipcode"":""30033""}",17,unknown,,0,0,1,https://www.dropbox.com/scl/fo/oqeoy4wusx73tnewkkx7y/AMGu8WDXxCYKdueivIKbjQI/2020%20GA%20WARN%20Filing%20Report.pdf?rlkey=y60u5c79377rwf0voqc27nm0o&dl=0,GA201900317,1557abd15ca5d9b6a82732f3b7fde883d6f6b9be,2026-09-24,
GA,"A.L.P. Lighting Components, Inc.",a l p lighting components,"A.L.P. Lighting Components, Inc.",filed,,,,,,,,,,,,,,,,,,n:a l p lighting components,Lithia Springs CDP,1346832,Douglas County,13097,33.782487,-84.648488,place,,,,,,,,,,,,,,"1401 Blairs Bridge Rd, Lithia Springs, Georgia",,,,,2023-11-02,,,,,,GA:GA202300010,"{""dates"": [{""date"": ""2023-11-02"", ""role"": ""separation"", ""source_field"": ""First Date of Separation"", ""source_text"": ""11/02/2023""}, {""date"": ""2023-12-14"", ""role"": ""separation"", ""source_field"": ""Second Date of Separation"", ""source_text"": ""12/14/2023""}, {""date"": ""2024-03-07"", ""role"": ""separation"", ""source_field"": ""Third Date of Separation"", ""source_text"": ""03/07/2024""}, {""date"": ""2024-06-06"", ""role"": ""separation"", ""source_field"": ""Fourth Date of Separation"", ""source_text"": ""06/06/2024""}], ""sites"": [{""address"": ""1401 Blairs Bridge Rd, Lithia Springs, Georgia"", ""source_field"": ""First Location Address"", ""workers"": null}], ""total_workers"": 55, ""worker_allocation"": ""single_site""}",55,closure,0,0,0,1,https://www.tcsg.edu/warn-public-view/,48779166c21c67bdd0f9cc950d443ad0a94a995ccc59cca20106ae64,2ee393c2ebcbe971db4b21c2e99cd07afec93976,2026-09-24,
GA,"A.S.O,LLC",a s o llc,"A.S.O,LLC",filed,,,,,,,,,,,,,,,,,,n:a s o llc,Lawrenceville city,1345488,Gwinnett County,13135,33.952875,-83.992231,place+county,,,,,,,,,,,,,,"lawrenceville, Gwinnett",,,,,2020-07-11,day,reported,,,,GA:GA202000197,"{""county"":""Gwinnett"",""date_roles"":{""Date"":""reported_separation""},""lwda"":""7"",""origin"":""agency/ga/2020-ga-warn-filing-report.pdf"",""pdf_company_continuation"":[],""pdf_line"":30,""pdf_page"":23,""pdf_table_values"":[""GA202000197"",""A.S.O,LLC"",""lawrenceville"",""30044"",""Gwinnett"",""12"",""7"",""07/11/2020""],""published_ga_id"":""GA202000197"",""source_artifact_sha256"":""b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641"",""source_row"":""agency/ga/2020-ga-warn-filing-report.pdf:sha256:b594f9430d448504e0036db9f86acf932ecb12dee82d7911662bf33412b95641:page:23:id:GA202000197"",""zipcode"":""30044""}",12,unknown,,0,0,1,https://www.dropbox.com/scl/fo/oqeoy4wusx73tnewkkx7y/AMGu8WDXxCYKdueivIKbjQI/2020%20GA%20WARN%20Filing%20Report.pdf?rlkey=y60u5c79377rwf0voqc27nm0o&dl=0,GA202000197,7e06c857961cbc6735aa37ffdbc6dde026ca1a77,2026-09-24,
GA,ABM,abm,ABM,filed,,,,,,,,,,,,,,,,,,n:abm,Atlanta city,1304000,Fulton County,13121,33.762909,-84.422675,place+county,,,,,,,,,,,,,,"Atlanta, Fulton",,,,,2019-01-01,day,reported,,,,GA:GA201800060,"{""county"":""Fulton"",""date_roles"":{""Date"":""reported_separation""},""lwda"":""3"",""origin"":""agency/ga/2018-ga-warn-filing-report.pdf"",""pdf_company_continuation"":[],""pdf_line"":40,""pdf_page"":5,""pdf_table_values"":[""GA201800060"",""ABM"",""Atlanta"",""30313"",""Fulton"",""32"",""3"",""01/01/2019""],""published_ga_id"":""GA201800060"",""source_artifact_sha256"":""b6b6ad29e171e06c67dc5d4e25f6cbaaa5ff516c23a3b2369f600260e12e6449"",""source_row"":""agency/ga/2018-ga-warn-filing-report.pdf:sha256:b6b6ad29e171e06c67dc5d4e25f6cbaaa5ff516c23a3b2369f600260e12e6449:page:5:id:GA201800060"",""zipcode"":""30313""}",32,unknown,,0,0,1,https://www.dropbox.com/scl/fo/oqeoy4wusx73tnewkkx7y/AKCu_gTBupUpboCeW2dW1Go/2018%20GA%20WARN%20Filing%20Report.pdf?rlkey=y60u5c79377rwf0voqc27nm0o&dl=0,GA201800060,b7d7c3f478754fc9a69f9e5a2344fd49cbb27c7f,2026-09-24,
GA,ABM Aviation,abm aviation,ABM Aviation,filed,,,,,,,,,,,,,,,,,,n:abm aviation,Atlanta city,1304000,Clayton County,13063,33.762909,-84.422675,place+county,,,,,,,,,,,,,,"Atlanta, Clayton",,,,,2019-04-12,day,reported,,,,GA:GA201800085,"{""county"":""Clayton"",""date_roles"":{""Date"":""reported_separation""},""lwda"":""7"",""origin"":""agency/ga/2019-ga-warn-filing-report.pdf"",""pdf_company_continuation"":[],""pdf_line"":43,""pdf_page"":1,""pdf_table_values"":[""GA201800085"",""ABM Aviation"",""Atlanta"",""30320"",""Clayton"",""1121"",""7"",""04/12/2019""],""published_ga_id"":""GA201800085"",""source_artifact_sha256"":""6272ed7453c155191865e907eeb82c2149d4a12a65ebdc652ae4341e7105547e"",""source_row"":""agency/ga/2019-ga-warn-filing-report.pdf:sha256:6272ed7453c155191865e907eeb82c2149d4a12a65ebdc652ae4341e7105547e:page:1:id:GA201800085"",""zipcode"":""30320""}",1121,unknown,,0,0,1,https://www.dropbox.com/scl/fo/oqeoy4wusx73tnewkkx7y/AB-hiQYJSo9noT58f-EJpFg/2019%20GA%20WARN%20Filing%20Report.pdf?rlkey=y60u5c79377rwf0voqc27nm0o&dl=0,GA201800085,d03fe0e76962a86624e3707fda4d9ac03d431a43,2026-09-24,
