state,employer_name,normalized_name,canonical_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
HI,Maui Seaside Hotel,maui seaside hotel,,,,,,,,,,,,,,,,,,n:maui seaside hotel,,2019-01-16,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,b4deea39cc331bea8fe4b49fe18dbe8e49e513c01b81a5a0c13d6404,f32576c0253feca78d23a7da51b6177b8839aee6,2026-07-16,2026-07-19
HI,Kai Management Services,kai management services,,,,,1670956,,exact,,,,,,,,,,automatic,cik:1670956,,2019-01-23,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,90e7ea44a3c1a081542a64f84e5171430abdc73ea42e8fc3ab3c9869,40e90cd81c23898303508a6a4b629922abddb31d,2026-07-16,2026-07-19
HI,Payless Shoesource,payless shoesource,Payless ShoeSource,,44821,parent-sic,,,,,,,,,Q7156755,label,Airwalk,1060232,automatic,qid:Q7156755,,2019-02-25,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,3d88b4683225b65d197073b9e63e2cbe1b3d7c6ecfc6b293d0f34c2c,56002893f782269de2e17b3307d1448550e24086,2026-07-16,2026-07-19
HI,Tony Hawaii Automotive Group,tony hawaii automotive group,,,,,,,,,,,,,,,,,,n:tony hawaii automotive group,,2019-02-28,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,fee25fc9a0df1a6ec161c51035268745be966db30278d1f76207ba97,0483f2c5d214037e6d2e15c15e20655165fa58fc,2026-07-16,2026-07-19
HI,General Dynamics Information Technology,general dynamics information technology,General Dynamics Information Technology,,,,,,,,,,,,Q130724592,label,,40533,automatic,qid:Q130724592,,2019-03-01,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,f6816584c0d04fdc3a727718cd35e6cb96270364b67189246a57b799,3a9a3933fc8a1685c55e953007767d966d43a161,2026-07-16,2026-07-19
HI,St. Francis School,st francis school,,,,,,,,,,,,,,,,,,n:st francis school,,2019-03-06,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,dae135795656748b4b3122f4b547ca0c3567d4e7fa459f935bd56d29,72df241111ace69cb08af753878934592a19c73e,2026-07-16,2026-07-19
HI,Tesla,tesla,Tesla,,336,sic-crosswalk,1318605,TSLA,exact,3711,Motor Vehicles & Passenger Car Bodies,,,,Q478214,cik,,,automatic,qid:Q478214,,2019-03-06,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,e2bea8df9892887cf638587b35c7d92af98da4e6bfa257cd90c7fe7b,a2701bd1a646d97499500aef95330cdc43b66cd8,2026-07-16,2026-07-19
HI,Servco Delivery Services,servco delivery services,,,,,,,,,,,,,,,,,,n:servco delivery services,,2019-04-15,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,a1c536c2bf0c55a680dd9bc19305b73642e01e6630c7dc5c20ce30b6,08abe05955cb6d67f898f026398b250bf066d2ac,2026-07-16,2026-07-19
HI,Shenandoah Growers,shenandoah growers,,,,,1265590,,exact,,,,,,,,,,automatic,cik:1265590,,2019-04-22,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,6114db54cfbfbc268927b082dcf9d55307250ce6642965bebb955c75,5bbd9f78291d502d98cc0c2ee04318972468e5cf,2026-07-16,2026-07-19
HI,Homestreet Bank,homestreet bank,,,,,,,,,,,,,,,,,,n:homestreet bank,,2019-04-29,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,088396a715c9e88f6545f3c26c36f28f10b4207edc852163a28137c9,199403643926419b018f4fac4cbcfba8debbfdf9,2026-07-16,2026-07-19
HI,Na Kahu Malama Nurses,na kahu malama nurses,,,,,,,,,,,,,,,,,,n:na kahu malama nurses,,2019-05-20,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,a7790f71cd03cdfd7a46005b38cfb164f38ea62dc55cc9bb145a1f1a,1bed7df0d44b17e987b45154ea3ce676320b7dba,2026-07-16,2026-07-19
HI,Watanabe Bakery LLC,watanabe bakery,,,,,,,,,,,,,,,,,,n:watanabe bakery,,2019-06-19,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,f4b34217899311bc8f876fab1fee047b29b1b5965a0af5cbaca77780,b48fbb1a2b38b0d6150e1e75bc72f70ba773e6e2,2026-07-16,2026-07-19
HI,SW Hotels and Resorts,sw hotels and resorts,,,,,,,,,,,,,,,,,,n:sw hotels and resorts,,2019-07-31,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,8ea17b4b46bcd0aedc666cbbe87bee59d47305ed79c28bb20c91c28f,7e594095e9dbbe7179ee1f523818a3270e51963f,2026-07-16,2026-07-19
HI,Servco Pacific Inc.,servco pacific,,,,,,,,,,,,,,,,,,n:servco pacific,,2019-09-17,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,e7a3953af6c64b3af2957bf6d51eb71d2c1e2dab7c537cb713993b7a,32fa0e811783221852f6a21fd8f78074f5a67616,2026-07-16,2026-07-19
HI,Pyramid Insurance Centre Ltd.,pyramid insurance centre,,,,,,,,,,,,,,,,,,n:pyramid insurance centre,,2019-09-30,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,0c9ba7f1ebeea1ed1bae2877c338d12526eb5d33d897c0705035e35f,8aed22c0108d4d42f4cf7f2586683c38dd327dad,2026-07-16,2026-07-19
HI,Cerner Corporation,cerner,Cerner,,541512,sic-crosswalk,804753,,exact,7373,Services-Computer Integrated Systems Design,,,,Q1055390,cik,,,automatic,qid:Q1055390,,2019-10-01,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,26554eb501148cfd3086799f78ae88bcf395adf7ee2ee88fe5e53b78,0b86cdbe825dd929968cb354165f8c0eeea96fa9,2026-07-16,2026-07-19
HI,BAE Systems,bae systems,,,,,895564,BAESY,exact:listed,,,,,,,,,,automatic,cik:895564,,2019-10-16,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,845fd7f72ae1582cccd1034ac6be4750a009395801a70ae1b0bf42ff,42c6cc8ffdabfafe0aec8582f8e167ff4fa98fe1,2026-07-16,2026-07-19
HI,Honolulu Academy of Art,honolulu academy of art,,,,,,,,,,,,,,,,,,n:honolulu academy of art,,2019-10-17,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,f3fc0371c3805d773567cf09322ef09254e22b0e54480bf235bf3f5d,500195d96a3f61331a546b8eefb8fa8818f36943,2026-07-16,2026-07-19
HI,Blue River Mexican Grill,blue river mexican grill,,,,,,,,,,,,,,,,,,n:blue river mexican grill,,2019-10-22,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,136b9597b9637a7140953a8b971edf07f55c96b326af6774ed4d6713,beebc8d37230a33d2d4eb54ff13868cc2bc04e21,2026-07-16,2026-07-19
HI,Papa Johns,papa johns,Papa John's,,,,901491,PZZA,listed-extension,5812,Retail-Eating  Places,,,,Q2759586,cik,,,automatic,qid:Q2759586,,2019-10-22,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,eb7fe74f1ed2ffe4871c7bd2a65f79c85d698480322ab3b262637728,917f670265e19d7221602b2a797b3c7fa80fe5fe,2026-07-16,2026-07-19
HI,Pahio at Kauai Beach Villas Interval Owners Association dba Kauai Beach Villas,pahio at kauai beach villas interval owners association dba kauai beach villas,,,,,,,,,,,,,,,,,,n:pahio at kauai beach villas interval owners association,,2019-10-29,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,c2a9e13973734055c90e94521dd35a9bedc2781d0695db3e85d1d676,659bdf613c5f825e799306f60c1b2609de5b1b68,2026-07-16,2026-07-19
HI,Legacy Hilo Rehabilitation and Nursing Center,legacy hilo rehabilitation and nursing center,,,,,,,,,,,,,,,,,,n:legacy hilo rehabilitation and nursing center,,2019-10-31,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,fb06869a6d9f57fa0d32e3ce807256cfd47cc1a1a6b1d08ea5c2e9ef,7fefb95cb554e286913aead224da329e742e3c09,2026-07-16,2026-07-19
HI,"FastLube, Inc.",fastlube,,,,,,,,,,,,,,,,,,n:fastlube,,2019-11-21,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,f141aec569bcfcd0eb31a9590958aad4f1cae313b6607ff864ddb5e3,07e73bccf0be7929463380f0fbd5b09eeefb8d5d,2026-07-16,2026-07-19
HI,"Desert Island Restaurant, LLC",desert island restaurant,,,,,,,,,,,,,,,,,,n:desert island restaurant,,2019-12-11,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,33027e123b2ff0e6728413581f726a87c881d77a79eb918d0886ed5a,3e39f1717d60f4d3dbd4ea4acfc32b2c3b3c48d8,2026-07-16,2026-07-19
HI,Pier 1,pier 1,,,,,,,,,,,,,,,PIER 1 IMPORTS INC/DE,278130,,n:pier 1,,2019-12-18,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,e5dcb43d34c6138cbb79774ef50d56ac47bd0370684f8bdcb589a4d9,a70c4ca6316207be1bffe42bcc4b210a2c61e3bd,2026-07-16,2026-07-19
HI,Bubba Gump Shrimp Co. Restaurant & Mai Tai Bar,bubba gump shrimp co restaurant mai tai bar,,,,,,,,,,,,,,,,,,n:bubba gump shrimp co restaurant mai tai bar,,2019-12-30,,,unknown,,0,0,1,https://labor.hawaii.gov/wdc/real-time-warn-updates/,7bc2e998b68793cd9e756c8b475cdcbd6de878aedff0804db482e893,4c06795f5b137c44f6b4b1d9029d80b4aad9a642,2026-07-16,2026-07-19
