state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,affected_site_address,affected_site_city,site_role,employer_mailing_address,employer_name_verbatim,letter_date,agency_received_date,agency_notification_date,agency_processed_date,source_record_urls,source_locators,source_status,timing_qc,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
IA,"Salon Luce, LC",salon luce lc,Salon Luce,cleaned,,,,,,,,,,,,,,,,,,n:salon luce,,,,,,,,,,,,,,,,,,,,same_day,,,2018-06-18,day,reported,2018-06-18,day,reported,,,,IA:agency-observation:9222aa64c4a334c65830e8349cd6b51dd5988af12fdc915d93fb784026834876,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Davenport"", ""county_text"": ""Scott"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r1"", ""source_row_sha256"": ""e145ea787650b10806e9e595acc4852d76edf2c31a209e8aa5d1463e007490b0"", ""street_address_text"": ""400 N. Main Street""}",14,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r1,0cc635cce9905001a0226639a520a89e511e0958,2026-09-24,
IA,"French Way Cleaners and Furriers, Inc.",french way cleaners and furriers,"French Way Cleaners and Furriers, Inc.",filed,,,,,,,,,,,,,,,,,,n:french way cleaners and furriers,,,,,,,,,,,,,,,,,,,,,,,2018-06-20,day,reported,2018-06-22,day,reported,,,,IA:agency-observation:452e6557a08c1f5773f3daa6773ee09f5ae8e61259f29a52dc76c786d1217bb6,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Des Moines"", ""county_text"": ""Polk"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r2"", ""source_row_sha256"": ""f529729e35103774c25d45a0c5570f47d40b160bc141438df0c62a3ad153854f"", ""street_address_text"": ""413 Euclid""}",32,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r2,714312c31d959bfeddf0942dc27c88cb16d455e3,2026-09-24,
IA,"ACT, Inc.",act,"ACT, Inc.",filed,,,,,,,,,,,,,,,,,,n:act,,,,,,,,,,,,,,,,,,,,,,,2018-06-26,day,reported,2018-08-31,day,reported,,,,IA:agency-observation:4231859eaac0b6d9303b74fbd7698c55828fe8d613f49397bc185e4f45b70901,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Iowa City"", ""county_text"": ""Johnson"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Mass Layoff"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r3"", ""source_row_sha256"": ""542525449e26b6c8294dc36c1055b126ec27019818b0cb7a491bc82ee7a23241"", ""street_address_text"": ""2727 S. Scott Blvd""}",23,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r3,a2c2ade1a52e80220b0495e866eca28ebda36bf2,2026-09-24,
IA,"Citigroup, Inc.",citigroup,Citigroup,wikidata,,522,sec-sic,enterprise,831001,C,exact,6021,National Commercial Banks,,,,Q219508,cik,,,automatic,qid:Q219508,,,,,,,,,,,,,,,,,,,,,,,2018-06-29,day,reported,2018-09-28,day,reported,,,,IA:agency-observation:2c2fd1dbd3f5c997825368fffa9104f998c24f5498487a541069cdb703cb29bd,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Urbandale"", ""county_text"": ""Polk"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r5"", ""source_row_sha256"": ""4147363e73bf7c792900d3d39f253a29d363386b16f2851f5845f7e6a546776a"", ""street_address_text"": ""4740 121st Street""}",116,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r5,3e450eb1840fe944c08b5fce6ea3c7114e6b7800,2026-09-24,
IA,Iowa Wireless/T-Mobile,iowa wireless t mobile,Iowa Wireless/T-Mobile,filed,,,,,,,,,,,,,,,,,,n:iowa wireless t mobile,,,,,,,,,,,,,,,,,,,,,,,2018-07-02,day,reported,2018-11-02,day,reported,,,,IA:agency-observation:afb97aa1c2ae8b8bacb803a0b02bf6337dc4a9e3a26efe223237304f3849048e,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Cedar Rapids"", ""county_text"": ""Linn"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Mass Layoff"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r6"", ""source_row_sha256"": ""2dffe2ecaef5aa7183b265066643cb90eee07a2ece58a446d03dd4ec0d5f596e"", ""street_address_text"": ""369 Edgewood Drive""}",27,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r6,9762fb02ac6bb47dd51292165ece5229db4c812e,2026-09-24,
IA,Sears Auto Store,sears auto store,Sears Auto Store,filed,,44-45,employer,,,,,,,,,,,,,,,n:sears auto store,,,,,,,,,,,,,,,,,,,,,,,2018-07-12,day,reported,2018-10-14,day,reported,,,,IA:agency-observation:bc114281d2a6700f64a41a4056975750fbdd9abb133efd398b6419a2108528f1,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Des Moines"", ""county_text"": ""Polk"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r7"", ""source_row_sha256"": ""655915237c6f314940a410164fd5079a3f833887b4728c8a51b0d4e2d75bf454"", ""street_address_text"": ""4000 Merle Hay Road""}",3,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r7,c954250e6fe95ddac9883d55bbf4fe5c290cbbfc,2026-09-24,
IA,Sears Roebuck and Company,sears roebuck,Sears Roebuck and Company,filed,,45211,sec-sic,enterprise,319256,,exact,5311,Retail-Department Stores,,,,,,,,automatic,cik:319256,,,,,,,,,,,,,,,,,,,,,,,2018-07-12,day,reported,2018-10-14,day,reported,,,,IA:agency-observation:22abb9b2fca4e9d8b27d4cd2f252859b1bf11b59966a9cf41cfff24613aa801d,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Des Moines"", ""county_text"": ""Polk"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r8"", ""source_row_sha256"": ""170ca8a23c762eed38b66e0c30277bc57d9d85c4412e55f3cd555b8c7be66450"", ""street_address_text"": ""4000 Merle Hay Road""}",47,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r8,5aeb1f209484cf8cdcac2a73fac1b574eb8d5eee,2026-09-24,
IA,Winnebago Industries,winnebago industries,Winnebago Industries,wikidata,,336213,sec-sic,enterprise,107687,WGO,exact,3716,Motor Homes,,,,Q8025558,cik,,,automatic,qid:Q8025558,,,,,,,,,,,,,,,,,,,,,,,2018-07-27,day,reported,2018-08-27,day,reported,,,,IA:agency-observation:a663a91dd9be24b0448c08450328b9441980ff72c072b36e82f05ceb9a7377f2,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Forest City"", ""county_text"": ""Winnebago"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Mass Layoff"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r10"", ""source_row_sha256"": ""99199d3618d717f9b78d63152b6b8ae35879ec04d00a50d8e220ce1b8d8fb736"", ""street_address_text"": ""605 W. Crystal Lake Road""}",31,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r10,18ff9680a23b53abf95ce7b0f91cb5655a9f7a2e,2026-09-24,
IA,"Humach, LLC",humach,"Humach, LLC",filed,,,,,,,,,,,,,,,,,,n:humach,,,,,,,,,,,,,,,,,,,,,,,2018-08-01,day,reported,2018-09-07,day,reported,,,,IA:agency-observation:b9ee9de35da5d43c596d980c9063c9e93aa004509e708c16af346c65e95ded1f,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Oelwein"", ""county_text"": ""Fayette"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r11"", ""source_row_sha256"": ""63ae99118c0eecdfa549c40ee0d6c3c25d370146ff8ff861e2928e2e4b766336"", ""street_address_text"": ""30 N. Frederick Avenue""}",10,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r11,0dc10842acc08fd064e0204dc3fd371bbfebdc01,2026-09-24,
IA,Luther Manor - Grand Meadows,luther manor grand meadows,Luther Manor,cleaned,,,,,,,,,,,,,,,,,,n:luther manor,,,,,,,,,,,,,,,,,,,,,,,2018-08-02,day,reported,2018-09-01,day,reported,,,,IA:agency-observation:8cdfcfe3ddd8fd762da32aeb6d748258c9369eabbce0602e3d6ecfbcf5a87f1c,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Dubuque"", ""county_text"": ""Dubuque"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Mass Layoff"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r12"", ""source_row_sha256"": ""f8af51aa4eb173b026f8142591dbbc692360b17a0c87b1389a3ea30d733e315b"", ""street_address_text"": ""5300 Grand Meadows Drive""}",1,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r12,e479aa0f9274d6ed8e0422cba0f2c4cfb23c6c69,2026-09-24,
IA,US. Foods,us foods,US Foods,wikidata,,42,employer,,1561951,,exact,5140,Wholesale-Groceries & Related Products,,,,Q1668265,cik,US Foods Holding Corp.,,automatic,qid:Q1668265,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,day,reported,2018-09-07,day,reported,,,,IA:agency-observation:0041909e21b767e8abb497995d1068093a2173d40ce1734a1156223aac44797e,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Sioux City"", ""county_text"": ""Woodbury"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r13"", ""source_row_sha256"": ""f969e77350b747fcbc7cf51de5a686d77a34a61b1f3219ac9cd69e210655a56a"", ""street_address_text"": ""2101 Murray Street""}",30,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r13,8f5eebbfc0a0c94b5be5b5d3a3aba0649c2f6d5a,2026-09-24,
IA,Wells Fargo,wells fargo,Wells Fargo,wikidata,,522,sec-sic,enterprise,72971,WFC,exact,6021,National Commercial Banks,,,,Q744149,cik,,,automatic,qid:Q744149,,,,,,,,,,,,,,,,,,,,,,,2018-08-23,day,reported,2018-10-23,day,reported,,,,IA:agency-observation:e3b1be009f7dfa54ceef7c49ff40e4afa1a2efe3f760b3ff39f1a1a0a22487de,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""West Des Moines"", ""county_text"": ""Polk"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Mass Layoff"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r14"", ""source_row_sha256"": ""7fbf3a073f08304e219bc0b9e93cace2d7c5fcce803b92bdfd32eb4ee12e6ba3"", ""street_address_text"": ""800 S. Jordan Creek Parkway""}",25,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r14,13b73089b065e7c01b99236b107ce9b117f96357,2026-09-24,
IA,Eurest Services @ John Deere Davenport Works,eurest services john deere davenport works,Eurest Services @ John Deere Davenport Works,filed,,,,,,,,,,,,,,,,,,n:eurest services john deere davenport works,,,,,,,,,,,,,,,,,,,,,,,2018-09-05,day,reported,2018-10-31,day,reported,,,,IA:agency-observation:a0cc6af8239d0f6b436aa7b85bf43afe83ab699b50cc168aec83ff67187dc152,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Davenport"", ""county_text"": ""Scott"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r17"", ""source_row_sha256"": ""4121f48f426e6420c978c5c34e230d95e7203f3148f42f00999985026ce08d4d"", ""street_address_text"": ""1175 E. 90th Street""}",25,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r17,f6591ae210e5fc7675a7b95271146fc5a1ca365b,2026-09-24,
IA,Eurest Services @ John Deere Dubuque,eurest services john deere dubuque,Eurest Services @ John Deere Dubuque,filed,,,,,,,,,,,,,,,,,,n:eurest services john deere dubuque,,,,,,,,,,,,,,,,,,,,,,,2018-09-05,day,reported,2018-11-30,day,reported,,,,IA:agency-observation:2f02c72e9b4a0c6068326d891e2d157717ed0e554a2b280518c14362bcac0474,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Dubuque"", ""county_text"": ""Dubuque"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r16"", ""source_row_sha256"": ""35de98336f59c792be57e7ff1b8836efaeed1c50e42b3bccfe703182a7cf7ca2"", ""street_address_text"": ""18600 S. John Deere Road""}",25,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r16,af56d20b5a8f8b832007028b957e3539031bf35c,2026-09-24,
IA,Medplast/Viant,medplast viant,Medplast/Viant,filed,,,,,,,,,,,,,,,,,,n:medplast viant,,,,,,,,,,,,,,,,,,,,,,,2018-09-14,day,reported,2018-11-16,day,reported,,,,IA:agency-observation:59459ef38ae4e8ecacb81934699aa954e5c2ece726c2b4d932aaef6c63fb99e6,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""Monticello"", ""county_text"": ""Jones"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r18"", ""source_row_sha256"": ""d613863f08d49fba91d4081faa22ee8bb876bd2b262c2b61146e5aac31933bde"", ""street_address_text"": ""225 W. 11th Street""}",70,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r18,47b8254eef446c75ffb636b2adf31907c8b53e18,2026-09-24,
IA,Broker Dealer Financial Services,broker dealer financial services,Broker Dealer Financial Services,filed,,,,,313386,,exact,,,,,,,,,,automatic,cik:313386,,,,,,,,,,,,,,,,,,,,,,,2018-09-19,day,reported,2018-10-20,day,reported,,,,IA:agency-observation:c81019b5c5b1c1579d687f9689253940c7f79f5c5790e68e3fca57ab411c7423,"{""address_role"": ""unverified"", ""address_state_text"": ""IA"", ""city_text"": ""West Des Moines"", ""county_text"": ""Polk"", ""identity_basis"": ""unique_agency_event_observation_not_filing_id"", ""notice_type_text"": ""Closing"", ""source_artifact"": ""agency/ia/historical-2023.pdf"", ""source_row"": ""historical-2023.pdf:p1:r20"", ""source_row_sha256"": ""495cab88b0361b788b572acb4644c13498853d53bd0777ea8ee54f3b60f79bd7"", ""street_address_text"": ""140 S. 68th Street""}",35,unknown,,0,0,1,https://workforce.iowa.gov/media/257/download?inline=,historical-2023.pdf:p1:r20,0dffd4629aa02fd3a81d60b81835f8273610f6d3,2026-09-24,
