state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
ID,Nashua Homes of Idaho,nashua homes of idaho,Nashua Homes of Idaho,filed,,,,,,,,,,,,,,,,,,n:nashua homes of idaho,Boise City city,1608830,Ada County,16001,43.599335,-116.229817,place,Boise,2009-01-09,2009-01-09,171,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,bd1a97a0e8d7d7a23660acc23de8b4dcdff695e40f7944f552a0ba5a,40ca063879126ae752bf8c9570086d3e7d3877c7,2026-07-16,2026-08-02
ID,Freedom Plastics,freedom plastics,Freedom Plastics,filed,,,,,,,,,,,,,,,,,,n:freedom plastics,Preston city,1665260,Franklin County,16041,42.099414,-111.880738,place,Preston,2009-02-07,2009-04-08,26,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,98011513f41ca3a20fd7c65b436e0d7e0ace950b0dc5ee1a8113f8e4,1b1f729d3b37691c946e83475ec73cdc5670eb04,2026-07-16,2026-08-02
ID,Micron Technology Inc,micron technology,Micron Technology,wikidata,,334413,sec-sic,enterprise,723125,MU,exact,3674,Semiconductors & Related Devices,,,,Q1197548,cik,,,automatic,qid:Q1197548,Boise City city,1608830,Ada County,16001,43.599335,-116.229817,place,Boise,2009-02-23,2009-03-09,2000,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,6510fd95df0faec806d20e07c6125bd024c8b3b8b400c1cfe7f2546c,c6732a408db2993b84db08bcf347519b6499a0c0,2026-07-16,2026-08-02
ID,Tamarack Resort,tamarack resort,Tamarack Resort,filed,,,,,,,,,,,,,,,,,,n:tamarack resort,,,,,,,,Tamarack,2009-02-27,2009-03-04,217,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,f50cf63cac4f0652809dd5271474e1471e7d42594211ddf092eebd66,0e376c3aead30bf7eb87531f5927add97be624da,2026-07-16,2026-08-02
ID,"MPC Computers, LLC",mpc computers,"MPC Computers, LLC",filed,,,,,,,,,,,,,,,,,,n:mpc computers,Nampa city,1656260,Canyon County,16027,43.584972,-116.562935,place,Nampa,2009-03-06,2009-03-06,6,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,ff02ab805261e12ed75f334d3cfa630bf320646734b9829a790c0e2f,a9207dc8af8fb0916bcef95d03039c78ad852d4e,2026-07-16,2026-08-02
ID,Sportsman's Warehouse,sportsman s warehouse,Sportsman's Warehouse,wikidata,,,,,,,,,,,,,Q7579979,label,,1132105,automatic,qid:Q7579979,Nampa city,1656260,Canyon County,16027,43.584972,-116.562935,place,Nampa,2009-03-11,2009-05-11,56,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,2e4027d4dab92f34e4703d3e455a2f99eae937d6ac9d403fa8e809df,3fb89e7d56db750c5d46baf54ed3e0fe561a40ec,2026-07-16,2026-08-02
ID,Sportsman's Warehouse,sportsman s warehouse,Sportsman's Warehouse,wikidata,,,,,,,,,,,,,Q7579979,label,,1132105,automatic,qid:Q7579979,Pocatello city,1664090,Bannock County,16005,42.872748,-112.463836,place,Pocatello,2009-03-11,2009-05-11,46,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,e33fe1f82782982e61b0efc37b8c081c016c41f65d66deb93ae9310e,a1398f10d2a8524ccc95af65e6620eb57e4a494e,2026-07-16,2026-08-02
ID,Sun Microsystems,sun microsystems,Sun Microsystems,wikidata,,334111,sec-sic,enterprise,709519,,exact,3571,Electronic Computers,,,,Q14647,cik,Oracle Corporation,,automatic,qid:Q14647,Boise City city,1608830,Ada County,16001,43.599335,-116.229817,place,Boise,2009-03-30,2009-03-23,3,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,0e7a47c3110b6a30011d3ea649160fa9797af5a8928519d9f8afe1be,2fec8efae10d81506a1e378fb24c22ed8b10ac3b,2026-07-16,2026-08-02
ID,"CDG Management, LLC",cdg management,"CDG Management, LLC",filed,,,,,,,,,,,,,,,,,,n:cdg management,Boise City city,1608830,Ada County,16001,43.599335,-116.229817,place,Boise,2009-05-15,2009-05-29,15,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,9c41311c1618a17b96cf97652fb847efff1630f07eae4c371fa3d128,c62220622b1b263944e731f2c2bdf3352f20f464,2026-07-16,2026-08-02
ID,Idahoan Foods,idahoan foods,Idahoan Foods,filed,,,,,,,,,,,,,,,,,,n:idahoan foods,Dubois city,1622960,Clark County,16033,44.171161,-112.228278,place,Dubois,2009-06-08,2009-10-23,128,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,28e3691a432c4a91fb8f9135c6e556b8f7d22b45d3f64f68c149246e,59bcf0b55b85777829e29edc395bf3b18ea13688,2026-07-16,2026-08-02
ID,"Crossroad Services, Inc.",crossroad services,"Crossroad Services, Inc.",filed,,,,,,,,,,,,,,,,,,n:crossroad services,,,,,,,,San Leandro,2009-08-06,2009-10-18,8,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,3a4d8d0f4a829d731cae188ab36a27e1eb731a08b4ba3ef038d8886a,c06b4abcc88fd8d9019f34df4ad71745c6d971a0,2026-07-16,2026-08-02
ID,"Sturner & Klein, Inc.",sturner klein,"Sturner & Klein, Inc.",filed,,,,,,,,,,,,,,,,,,n:sturner klein,Boise City city,1608830,Ada County,16001,43.599335,-116.229817,place,Boise,2009-08-12,2009-10-15,180,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,74c128b246fb7d3f1792de84b0af76bc1ab53e24c03c96b02073a24c,deac95f3846b758f7f8617cb2996ed18c0deb4a7,2026-07-16,2026-08-02
ID,Crossmark,crossmark,Crossmark,filed,,,,,,,,,,,,,,,,,,n:crossmark,,,,,,,,Plano,2009-08-27,2009-10-31,17,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,cc8e21c4298f83fe0dad6c16da95a5100ed912b2c8e5eebcd97cb272,4ae5740a8b828587b9e081de946f32f782528bc5,2026-07-16,2026-08-02
ID,Welco,welco,Welco,filed,,,,,,,,,,,,,,,,,,n:welco,,,,,,,,Naples,2009-10-14,2009-12-14,93,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,ab969789a83f5d229bbc63d69f09ed34b4870ee27d0b52dc0b268ce3,d777434881e89fb7452a9666fe91a317ec86042f,2026-07-16,2026-08-02
ID,Sun Microsystems,sun microsystems,Sun Microsystems,wikidata,,334111,sec-sic,enterprise,709519,,exact,3571,Electronic Computers,,,,Q14647,cik,Oracle Corporation,,automatic,qid:Q14647,Boise City city,1608830,Ada County,16001,43.599335,-116.229817,place,Boise,2009-11-03,2010-01-17,1,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,cf59c4767c257691ccf7e1fa2175ace5c0268ea474e76cd55ef59d3b,ed07e9d4d0827e46309725ebd636c23084a8d239,2026-07-16,2026-08-02
ID,Macy's Downtown,macy s downtown,Macy's Downtown,filed,,44-45,employer,establishment,,,,,,,,,,,,,,n:macy s downtown,Boise City city,1608830,Ada County,16001,43.599335,-116.229817,place,Boise,2010-01-05,2010-03-07,72,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,4613c891d8874532ca4458d6d496526ce248e9f99763161d0824e802,92873b97e2dc2a5050482428c11b82e1c7dff771,2026-07-16,2026-08-02
ID,Sam's Club,sam s club,Sam's Club,wikidata,,,,,,,,,,,,,Q1972120,label,,,automatic,qid:Q1972120,Nampa city,1656260,Canyon County,16027,43.584972,-116.562935,place,Nampa,2010-01-10,2010-03-11,135,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,1e0b5165fe10b4e53a60ccb7442b7f230bce622d92236a34d1e07d59,34079e6fcef1dee4aa3a0cb1a60d48af985fadff,2026-07-16,2026-08-02
ID,URS/Dry Valley Mining,urs dry valley mining,URS/Dry Valley Mining,filed,,,,,,,,,,,,,,,,,,n:urs dry valley mining,Soda Springs city,1675195,Caribou County,16029,42.657874,-111.586081,place,Soda Springs,2010-01-25,2010-01-25,115,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,ed32762746efd1210e9935867149da824dd4666bc88c10f1bb6abfd1,30804588332e724b0a254ac011d8ff16a094678d,2026-07-16,2026-08-02
ID,XL Four Star Beef,xl four star beef,XL Four Star Beef,filed,,,,,,,,,,,,,,,,,,n:xl four star beef,Nampa city,1656260,Canyon County,16027,43.584972,-116.562935,place,Nampa,2011-04-08,2011-06-07,522,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,49137a97db002f84f756cbff19943ffaf6fefca35a7150df835f79f7,86aa59d7268e378f091cd5024ad543bc0680d7d8,2026-07-16,2026-08-02
ID,Clearwater Paper,clearwater paper,Clearwater Paper,wikidata,,32213,sec-sic,enterprise,1441236,CLW,exact,2631,Paperboard Mills,,,,Q5130952,cik,,,automatic,qid:Q5130952,Lewiston city,1646540,Nez Perce County,16069,46.39313,-116.993472,place,Lewiston,2011-10-26,2011-10-27,250,unknown,,0,0,1,https://www.labor.idaho.gov/businesss/layoff-assistance/,d26775d2f46154a3ad93e0217a4dd44a3dd9211792da404b5132bb8f,535086eb077bb30c4eb59580357c0791dede1bc9,2026-07-16,2026-08-02
