state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,affected_site_address,affected_site_city,site_role,employer_mailing_address,employer_name_verbatim,letter_date,agency_received_date,agency_notification_date,agency_processed_date,source_record_urls,source_locators,source_status,timing_qc,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
IL,*MAIN SITE (ILLINOIS STUDENT ASSISTANCE COMMISSION),main site illinois student assistance commission,*MAIN SITE,cleaned,Public Administration,921190,source,establishment,,,,,,,,,,,,,,n:main site,Deerfield village,1718992,Lake County,17097,42.166069,-87.852467,place,,,,,,,,2007-11-06,,,,,,"1755 Lake Cook Rd. Deerfield, IL 60015",,,,,2008-01-15,,,,,,IL:IEBS:20071119002,"{""agency_reported_date"": ""2007-11-06"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""2007-11-06"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""2007-11-06 00:00:00""}, {""basis"": ""reported"", ""date"": ""2007-11-06"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""2007-11-06 00:00:00""}, {""basis"": ""reported"", ""date"": ""2007-11-06"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""11/6/2007""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""11/6/2007"", ""source_record_id"": ""20071119002""}",67,closure,,0,1,2,https://apps.illinoisworknet.com/iebs/api/public/export,9657a45bc5d71089334b1bbbee13eb4173091438b96710149771da14,12db312c101421bd3a56dcfca47818939b292bf1,2026-09-24,
IL,"10 Roads Express, LLC",10 roads express,"10 Roads Express, LLC",filed,Transportation and Warehousing,484121,source,establishment,,,,,,,,,,,,,,n:10 roads express,Homewood village,1735879,Cook County,17031,41.559422,-87.662025,place,,,,,,,,2025-12-01,,,,,,"925 175th Street Homewood, IL 60430",,,,,2026-01-30,,,,,,IL:IEBS:20251202003,"{""agency_reported_date"": ""2025-12-01"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""2025-12-01"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""2025-12-01 00:00:00""}, {""basis"": ""reported"", ""date"": ""2025-12-01"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""2025-12-01 00:00:00""}, {""basis"": ""reported"", ""date"": ""2025-12-01"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""12/1/2025""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""12/1/2025"", ""source_record_id"": ""20251202003""}",55,closure,,0,1,2,https://apps.illinoisworknet.com/iebs/api/public/export,bd7585c96eb36078d40d11d3db2251f7aed6b5f9d4037c2c8a569847,4acaaaa9379907f03b069e8717952ca8f870b5bf,2026-09-24,
IL,"10 Roads Express, LLC",10 roads express,"10 Roads Express, LLC",filed,Transportation and Warehousing,484121,source,establishment,,,,,,,,,,,,,,n:10 roads express,Peoria city,1759000,Peoria County,17143,40.751641,-89.617198,place,,,,,,,,2025-01-22,,,,,,"1100 SW Monarch Street Peoria, IL 61602",,,,,2025-03-23,,,,,,IL:IEBS:20250127001,"{""agency_reported_date"": ""2025-01-23"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""2025-01-23"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""2025-01-23 00:00:00""}, {""basis"": ""reported"", ""date"": ""2025-01-22"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""2025-01-22 00:00:00""}, {""basis"": ""reported"", ""date"": ""2025-01-22"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""1/22/2025""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""1/22/2025"", ""source_record_id"": ""20250127001""}",61,closure,,0,1,2,https://apps.illinoisworknet.com/iebs/api/public/export,b6cd9a65c8cd53cb6a2f3aa2ca30b5e31a97fabdb89bdbcb5c1dce77,b1755128abe87f1eaa14edce21c13c5ce09d4bfe,2026-09-24,
IL,2024 Democratic National Convention Committee,2024 democratic national convention committee,2024 Democratic National Convention Committee,filed,Other Services (except Public Administration),813940,source,establishment,,,,,,,,,,,,,,n:2024 democratic national convention committee,Chicago city,1714000,Cook County,17031,41.837045,-87.684939,place,,,,,,,,2024-07-09,,,,,,"120 N Racine Ave., Suite 230 Chicago, IL 60607",,,,,2024-09-06,,,,,,IL:IEBS:20240712001,"{""agency_reported_date"": ""2024-07-09"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""2024-07-09"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""2024-07-09 00:00:00""}, {""basis"": ""reported"", ""date"": ""2024-07-09"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""2024-07-09 00:00:00""}, {""basis"": ""reported"", ""date"": ""2024-07-09"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""7/9/2024""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""7/9/2024"", ""source_record_id"": ""20240712001""}",75,unknown,,0,1,2,https://apps.illinoisworknet.com/iebs/api/public/export,879e7aad5b7c7d8a4b64c7ddf1ed1f91967042f0219c40405d45c26c,e13b1b5b3f2fa1503c38ab774478ea6675488dd9,2026-09-24,
IL,3 Day Blinds,3 day blinds,3 Day Blinds,wikidata,Retail Trade,442291,source,establishment,,,,,,,,,Q121114740,label,,,automatic,qid:Q121114740,Westmont village,1780645,DuPage County,17043,41.794371,-87.97286,place,,,,,,,,2020-04-03,,,,,,"550 Quail Ridge Drive Westmont, IL 60559",,,,,,,,,,,IL:IEBS:20200408009,"{""agency_reported_date"": ""2020-04-03"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""2020-04-03"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""2020-04-03 00:00:00""}, {""basis"": ""reported"", ""date"": ""2020-04-03"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""2020-04-03 00:00:00""}, {""basis"": ""reported"", ""date"": ""2020-04-03"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""4/3/2020""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""4/3/2020"", ""source_record_id"": ""20200408009""}",63,closure,,0,0,1,https://apps.illinoisworknet.com/iebs/api/public/export,f72391bf12568b0dee93fcd4606a38be9751943e8ef8435530404cee,8c2f0323f1bb8f3478d119f10c32cf542e636d99,2026-09-24,
IL,"48forty Solutions, LLC",48forty solutions,"48forty Solutions, LLC",filed,Manufacturing,333924,source,establishment,,,,,,,,,,,,,,n:48forty solutions,Schaumburg village,1768003,Cook County,17031,42.0289,-88.083773,place,,,,,,,,2022-07-26,,,,,,"1450 American Lane, Suite 700 Schaumburg, IL 60173",,,,,2022-09-19,,,,,,IL:IEBS:20220728001,"{""agency_reported_date"": ""2022-07-26"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""2022-07-26"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""2022-07-26 00:00:00""}, {""basis"": ""reported"", ""date"": ""2022-07-26"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""2022-07-26 00:00:00""}, {""basis"": ""reported"", ""date"": ""2022-07-26"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""7/26/2022""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""7/26/2022"", ""source_record_id"": ""20220728001""}",28,unknown,,0,1,2,https://apps.illinoisworknet.com/iebs/api/public/export,57082129d5a31f6a3987fe0bcaa1fbe528fd833e4ce8f3177ac0eb6f,3ab2813b1a29dc53ea3a90f75619916c3d577a09,2026-09-24,
IL,"7 C's Maintenance Co, Inc.",7 c s maintenance,"7 C's Maintenance Co, Inc.",filed,"Administrative, Support, Waste Management, and Remediation Services",561720,source,establishment,,,,,,,,,,,,,,n:7 c s maintenance,Chicago city,1714000,Cook County,17031,41.837045,-87.684939,place,,,,,,,,2024-03-06,,,,,,"401 N Wabash Ave. Chicago, IL 60611",,,,,2024-05-07,,,,,,IL:IEBS:20240308003,"{""agency_reported_date"": ""2024-03-06"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""2024-03-06"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""2024-03-06 00:00:00""}, {""basis"": ""reported"", ""date"": ""2024-03-06"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""2024-03-06 00:00:00""}, {""basis"": ""reported"", ""date"": ""2024-03-06"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""3/6/2024""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""3/6/2024"", ""source_record_id"": ""20240308003""}",61,unknown,,0,1,2,https://apps.illinoisworknet.com/iebs/api/public/export,baddcc656cf7c6573771217a34b3fb6574f65e8d9f5f5a3656733aca,153b4726bc1f098aef16f175e5c5b964b644b8d7,2026-09-24,
IL,8th Avenue Food & Provisions,8th avenue food provisions,8th Avenue Food & Provisions,filed,Manufacturing,311999,source,establishment,,,,,,,,,,,,,,n:8th avenue food provisions,Streator city,1773170,LaSalle County,17099,41.124979,-88.829592,place,,,,,,,,2021-02-16,,,,,,"118 Iowa Ave Streator, IL 61364-2421",,,,,2021-04-18,,,,,,IL:IEBS:20210217002,"{""agency_reported_date"": ""2021-02-16"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""2021-02-16"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""2021-02-16 00:00:00""}, {""basis"": ""reported"", ""date"": ""2021-02-16"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""2021-02-16 00:00:00""}, {""basis"": ""reported"", ""date"": ""2021-02-16"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""2/16/2021""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""2/16/2021"", ""source_record_id"": ""20210217002""}",54,closure,,0,1,2,https://apps.illinoisworknet.com/iebs/api/public/export,4e1202cda662dcc342d441a10df9e802130b23e286c92cfdb25a1e88,9488dafd7e337897473bcd9b12e713a3f4aafdfe,2026-09-24,
IL,A G Communication Systems Corporation,a g communication systems,A G Communication Systems Corporation,filed,Manufacturing,3342,source,establishment,,,,,,,,,,,,,,n:a g communication systems,Northlake city,1753871,Cook County,17031,41.914316,-87.905486,place,,,,,,,,1990-06-08,,,,,,"400 NORTH WOLF ROAD NORTHLAKE, IL 60164",,,,,,,,,,,IL:IEBS:19900615001,"{""agency_reported_date"": ""1990-06-08"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""1990-06-08"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""1990-06-08 00:00:00""}, {""basis"": ""reported"", ""date"": ""1990-06-08"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""1990-06-08 00:00:00""}, {""basis"": ""reported"", ""date"": ""1990-06-08"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""6/8/1990""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""6/8/1990"", ""source_record_id"": ""19900615001""}",480,unknown,,0,0,1,https://apps.illinoisworknet.com/iebs/api/public/export,ea38155f85b11e25354a6c65cc1af8a00c67de42473bff8cc1ea8cda,2c84e7fa7b7258a068918f137f52b96ee40da2b1,2026-09-24,
IL,A G Communication Systems Corporation,a g communication systems,A G Communication Systems Corporation,filed,Manufacturing,3342,source,establishment,,,,,,,,,,,,,,n:a g communication systems,Genoa city,1728898,DeKalb County,17037,42.091035,-88.694964,place,,,,,,,,1990-06-08,,,,,,"333 EAST FIRST STREET GENOA, IL 60135",,,,,,,,,,,IL:IEBS:19900613001,"{""agency_reported_date"": ""1990-06-08"", ""date_evidence_rule"": ""il_iebs_agency_dates_v1"", ""dates"": [{""basis"": ""reported"", ""date"": ""1990-06-08"", ""precision"": ""day"", ""role"": ""agency_reported"", ""source_field"": ""Initial Date Reported"", ""source_text"": ""1990-06-08 00:00:00""}, {""basis"": ""reported"", ""date"": ""1990-06-08"", ""precision"": ""day"", ""role"": ""agency_last_reported"", ""source_field"": ""Last Report Date"", ""source_text"": ""1990-06-08 00:00:00""}, {""basis"": ""reported"", ""date"": ""1990-06-08"", ""ordinal"": 1, ""precision"": ""day"", ""role"": ""agency_notification"", ""source_field"": ""Notification Date(s)"", ""source_text"": ""6/8/1990""}], ""identity_basis"": ""illinois_iebs_export_record"", ""notification_dates_text"": ""6/8/1990"", ""source_record_id"": ""19900613001""}",63,unknown,,0,0,1,https://apps.illinoisworknet.com/iebs/api/public/export,7a0f9f1e4c910663291d7e63287419d13ef99035e67fd5bb3a3afaf9,facbf748a9bebe3a58d2b538ba295292d5cddee7,2026-09-24,
