state,employer_name,normalized_name,canonical_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
IN,"Mitsubishi Heavy Equipment Climate Control, Inc",mitsubishi heavy equipment climate control,,Manufacturing,333999,source,,,,,,,,,,,,,,n:mitsubishi heavy equipment climate control,Franklin,2008-07-10,2008-09-12,60,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,a6d6f34edcece7fba0c92ab9ecdce6e3c40a4a23128883ce85cc61d0,55b02b9fdadc2d6dde3caa933bc5ecbdf5ac0423,2026-07-16,2026-07-19
IN,"American Airlines, Inc.",american airlines,American Airlines,Air Transportation,481111,source,4515,,exact,4512,"Air Transportation, Scheduled",,,,Q32396,cik,AMR Corporation,,automatic,qid:Q32396,Indianapolis,2008-07-14,2008-09-05,4,unknown,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,3c7d17b97b2fa3a237fe27deef80faeaff4b05bf3c07241957a076b3,2ba88bc40f28ae11da645989c03735548f1c3b72,2026-07-16,2026-07-19
IN,Republic Airways,republic airways,Republic Airways Holdings,Air Transportation,481111,source,1159154,,suffix,4512,"Air Transportation, Scheduled",,,,Q1536457,cik,,,automatic,qid:Q1536457,Indianapolis,2008-07-14,2008-09-10,,unknown,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,91d32c0b8f7cc4bac1926c2b44b90ed61dbaa474b9ad1c6b05dd244f,57bb929db318074136dad1b8a155d3fdbef21b9a,2026-07-16,2026-07-19
IN,Monaco Coach,monaco coach,Monaco Coach Corporation,Motor Home Manufacturing,336213,source,910619,,exact,3711,Motor Vehicles & Passenger Car Bodies,,,,Q6897773,label,,,automatic,qid:Q6897773,Elkhart & Nappanee,2008-07-17,2008-09-17,1430,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,eda0a371af6784b77a2e8cce4392569c7a51db68c4da40c6e87a5d47,198a9b64c7cedc0da262c11199335d26980b03e1,2026-07-16,2026-07-19
IN,GECOM Corp,gecom,,Engine Parts Manufacturing,336312,source,,,,,,,,,,,,,,n:gecom,North Vernon,2008-07-20,2008-09-28,136,unknown,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,0919158a502a60dbe0816765c690c6e21545b89aa9501fb1fb2b9c07,946323ee34705fc8c7ba2b2fa3397d44d5e6f016,2026-07-16,2026-07-19
IN,Sundowner Trailers,sundowner trailers,,Motor Home Manufacturing,336213,source,,,,,,,,,,,,,,n:sundowner trailers,Elkhart,2008-08-01,2008-10-03,80,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,f4012195084cd3ba518be6bb353f432352b5b848853d7356458258e6,1b917b7025de2408622036af72c64276173e5601,2026-07-16,2026-07-19
IN,Trellborg Automotive,trellborg automotive,,Engine Parts Manufacturing,336312,source,,,,,,,,,,,,,,n:trellborg automotive,Peru,2008-08-12,2008-10-08,180,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,30c27b6b9965eb5362a30b37af86dc991908208ab25d37b58a9674d5,5992536e52c89a3157b84b21ad159874bdb7d1e2,2026-07-16,2026-07-19
IN,Parsons,parsons,PARSONS INC,Radioactive Material Disposal,562211,source,,,,,,823822343,X20,549300ZXH0VRBSEPX752,,,PARSONS CORP,275880,automatic,ein:823822343,Newport,2008-08-15,2008-08-23,412,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,c37d8774cf1bc2df94ee53a802d9a6149d3621ec8e0359546167f7b4,0a06ef40604804144cb0a5380da05bcfdc9aff0d,2026-07-16,2026-07-19
IN,Atlantis Plastics (1121 Herman Street),atlantis plastics 1121 herman street,,Plastics Manufacturing,326199,source,811828,,exact:base,3081,Unsupported Plastics Film & Sheet,,,,,,,,automatic,cik:811828,Elkhart,2008-08-17,2008-10-31,20,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,544d30069d105313f40356b233ef699821f0b10720880d8b9b0a8a97,c281ef55353140a74a41056fd08e1e532b230e3a,2026-07-16,2026-07-19
IN,Atlantis Plastics (2965 La Vanture Place),atlantis plastics 2965 la vanture place,,Plastics Manufacturing,326199,source,811828,,exact:base,3081,Unsupported Plastics Film & Sheet,,,,,,,,automatic,cik:811828,Elkhart,2008-08-17,2008-10-27,78,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,6708012244eba65061d7f1c8d505236e264e991a29b0fd28e8376f8d,0b742021648b86a7cccd59a3dbd541b102a7cfa9,2026-07-16,2026-07-19
IN,Atlantis Plastics (54500 Country Road 3),atlantis plastics 54500 country road 3,,Plastics Manufacturing,326199,source,811828,,exact:base,3081,Unsupported Plastics Film & Sheet,,,,,,,,automatic,cik:811828,Elkhart,2008-08-17,2008-10-31,72,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,447a85b7182411bdb902c9340a489352c5ef74a7468ce1df1a725300,a44bacc577bd95e08f714e9d64db997c3f9b8c79,2026-07-16,2026-07-19
IN,"MasterBrand Cabinets, Inc",masterbrand cabinets,MASTERBRAND CABINETS LLC,Wood Product Manufacturing,32199,source,,,,,,,,5493007WQW6SY8P4PA49,,,,,automatic,lei:5493007WQW6SY8P4PA49,Richmond,2008-08-26,2008-10-26,275,unknown,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,a1b5391e42ad26387e80bf0a1e76251d8ca95b91d3404a2b521a18f4,29028d3c85406f651b2c3c7e699bc492fcea4170,2026-07-16,2026-07-19
IN,"Driggs Farms of Indiana, Inc.",driggs farms of indiana,,Ice Cream Manufacturing,31152,source,,,,,,,,,,,,,,n:driggs farms of indiana,Decatur,2008-08-27,2008-08-26,200,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,0497eca7610ca68c135450ded4c892a724b7a78ea85596e7a83cb899,2061a35794e635c76bc22daf20b98202c22091f3,2026-07-16,2026-07-19
IN,Eli Lilly and Company,eli lilly,Eli Lilly and Company,Pharmaceutical Preparation Manufacturing,325412,source,,,,,,,,FRDRIPF3EKNDJ2CQJL29,Q632240,label,,,automatic,qid:Q632240,"Indianapolis, 1400 West Raymond Street",2008-08-28,2008-10-30,98,unknown,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,5a5a8f42e03fe388372e9fcd2d72c3e4822818f7dd4bbbf78031b13d,018fbe1306ad7d4066eeda8e95201d6a3f7288ef,2026-07-16,2026-07-19
IN,Eli Lilly and Company,eli lilly,Eli Lilly and Company,Pharmaceutical Preparation Manufacturing,325412,source,,,,,,,,FRDRIPF3EKNDJ2CQJL29,Q632240,label,,,automatic,qid:Q632240,"Indianapolis, Corporate Center",2008-08-28,2008-10-30,84,unknown,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,cab4574bdedad832260611a48634e2c210cea3c0680ad08d38d109ac,459aa96d28f10ae967b621af3d90ea08f24f37bd,2026-07-16,2026-07-19
IN,PSC Metals Inc,psc metals,,Secondary Smelting/Alloying of Aluminum,331314,source,,,,,,,,,,,ICAHN ENTERPRISES HOLDINGS L.P.,1034563,,n:psc metals,Burns Harbor,2008-08-28,2008-10-14,108,closure,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,a2b6c101f89e014c091c851cede987172feef0a14f861abb72316197,1b66fe122d92a3f502f022de84b3c42a3eb2c0f9,2026-07-16,2026-07-19
IN,LEAR Corporation,lear,Lear Corporation,Automotive Interior Systems and Components,336399,source,842162,LEA,exact,3714,Motor Vehicle Parts & Accessories,,,,Q502344,cik,,,automatic,qid:Q502344,Hammond,2008-09-03,2008-11-03,121,unknown,,0,0,1,https://www.in.gov/dwd/warn-notices/current-warn-notices/,0272ec6803369fed330421724ae7805acdce9c3e80c7ec47d86fda77,64f24772e2fc922168ad766da3757d5eb02606f4,2026-07-16,2026-07-19
