state,employer_name,normalized_name,cik,ticker,cik_match,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
KS,Louisiana Pacific,louisiana pacific,60519,LPX,exact,1 - Workforce Investment Area I,1998-06-10,,15,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,fd0500459ff2f36008b364cd4c907f56c60628036bfb48a765962617,63325112a164b5ecc9ad1df260003349c630ba78,2026-07-16,2026-07-16
KS,Mercantile Stores West,mercantile stores west,64923,,fuzzy:0.95,3 - Workforce Investment Area III,1998-07-02,,170,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,e5dd0e0e9cac82b09fded8db51091beb618a038d4740183aadcdd85e,43abaa1aa04980cd48d85d40eacba2ec279937b1,2026-07-16,2026-07-16
KS,Mallinckrodt,mallinckrodt,,,,3 - Workforce Investment Area III,1998-07-03,,86,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,800b3e2304116bc681f5298809db667805bbb73c4c0f056dcaf4356d,34561238464672ed96d2299191211a06aaa6329a,2026-07-16,2026-07-16
KS,Standard Motor Products,standard motor products,93389,SMP,exact,3 - Workforce Investment Area III,1998-07-06,,60,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,dd07464fb3d9d7d396585bb35e3b9433a6f1589ec529632234a1258f,9bada93305597c8bc8d89fa2bbfb6c6a922b83fc,2026-07-16,2026-07-16
KS,Bottenfields Beauty Supply,bottenfields beauty supply,,,,5 - Workforce Investment Area V,1998-07-24,,5,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,298afb6403f18ef8dcf7091be1e27c762920840a3143a479bdddb03a,c583b23c32d2ca62b8be52892f00edf837893952,2026-07-16,2026-07-16
KS,KS Adjutant General's Office,ks adjutant general s office,,,,,1998-07-31,,5,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,e5e5aa73812ebfd80ca8915d1e00edfae325eb0312e479c8ec9c622e,74261db411e974b0c7f2302843555456b481a46c,2026-07-16,2026-07-16
KS,AMPI,ampi,,,,1 - Workforce Investment Area I,1998-08-04,,80,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,e870465c05c9d43753d664494255ea21212a9a5b6eeacb65faeb7ba1,312e249a9223cdb22cde87910c07e34bbbee6bb6,2026-07-16,2026-07-16
KS,AMPI,ampi,,,,1 - Kansas WorkforceONE,1998-08-04,,,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,1ca412546d3a496650a408cf863546effac393041995c773afb65106,d6fe835154707f8a9e57d780130a6c2a2b9d5e29,2026-07-16,2026-07-19
KS,American States Insurance,american states insurance,5861,,exact,5 - Workforce Investment Area V,1998-08-04,,300,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,e7dc74b607118bfa92ec678cc966476b8db06d870be658855ac7bb28,05e1981f0c6764564d46030b758a7bcfdd25be13,2026-07-16,2026-07-16
KS,Prarie Hills Health Care,prarie hills health care,,,,5 - Workforce Investment Area V,1998-08-04,,15,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,75f6cb7219c8ee346367a65108fbb147dceee62a64d7a063d6f4fa7c,b44013417543fea965ac53298d46a998593d2ff8,2026-07-16,2026-07-16
KS,Bottenfields Inc Beauty Supply (Warehouse),bottenfields inc beauty supply warehouse,,,,5 - Workforce Investment Area V,1998-09-16,,9,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,5e8601e79fb64be4e5276e37b6dcd729fe1eccb42f7eac18960a5ff5,8cdb97fd8f978d622da8451de5370eb3b00571b4,2026-07-16,2026-07-16
KS,Sunflower Roofing Ind. Inc.,sunflower roofing ind,,,,4 - Workforce Investment Area IV,1998-09-18,,10,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,a79a1c3680753126eb90883a4db1a1f61c6243cc490a0a1f42cf3f28,37538a093a25122719d77869bb278ab5cdbb9140,2026-07-16,2026-07-16
KS,Nash Finch (Wholesale Foods),nash finch wholesale foods,,,,1 - Workforce Investment Area I,1998-09-22,,,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,cf457fdca5034e73ec5e8fcb72b6c5c97ec8e72bfe37b05b6709178a,4daef8eb9c5ec4a41d297786651494fb952ffd08,2026-07-16,2026-07-16
KS,Nellcor Puritan Bennet,nellcor puritan bennet,799290,,fuzzy:0.99,3 - Workforce Investment Area III,1998-09-22,,21,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,cbb435b2d763b105f14bab47b15db60d85398f8dcae8b599ebced2f3,46c1c2335da80bc1bf3058d3533cca7eb842d443,2026-07-16,2026-07-16
KS,School Specialties,school specialties,1055454,,fuzzy:0.95,1 - Workforce Investment Area I,1998-09-22,,15,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,68d5524edc876f9d110b7bc4b4a063097a961a5d2e3cfe51865d5667,3f6152f0b59062372619c1befeea8217276e7780,2026-07-16,2026-07-16
KS,Thomas and Betts,thomas and betts,97854,,fuzzy:0.95,4 - Workforce Alliance,1998-10-06,,,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,4f80dcd386b9ea6aaf826b25782a3e5c53d6ee418063bcefd55c548c,4cd58398beb8ce8e66bd8051f23de31ffa1438b7,2026-07-16,2026-07-19
KS,Thomas and Betts,thomas and betts,97854,,fuzzy:0.95,4 - Workforce Investment Area IV,1998-10-06,,,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,46a2f255ddd1912c57255b9e310eb4f2d6ac6fb5fd6ef91f7146e9d4,eca490a626054d35fa685541f1554b1e4dfdf2b9,2026-07-16,2026-07-16
KS,Z - International,z international,,,,5 - Workforce Investment Area V,1998-10-14,,30,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,9f03e2cb08d4584bec4aadd57d0930287ee27e5be860b7595232f10b,6cc4abac6314991e081043ca82bccf84b26e7b8b,2026-07-16,2026-07-16
KS,Focus Development,focus development,,,,4 - Workforce Investment Area IV,1998-10-15,,65,unknown,,0,0,1,https://www.kansasworks.com/search/warn_lookups,5a3b801cfc15c48d8827e94e84d3963f802ce379caee0df36d0ad2e4,bc394be1dd255e654004f81480b8a5d7f79cf7a6,2026-07-16,2026-07-16
