state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
KY,80 Acres Farm,80 acres farm,80 Acres Farm,filed,,11141,source,establishment,,,,,,,,,,,,,,n:80 acres farm,,,Boone County,21015,38.9589,-84.736371,county,Boone,,,,,2026-08-03,day,reported,,,,KY:2831,"{""agency_received_date"":""2026-08-03"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-08-03"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""80 Acres Farm"",""County"":""Boone"",""Date Received"":""8/3/2026"",""NAICS"":""11141"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000UxY4Q/GF0gz3XikIqoUSgtEsWvpqt7e_5PwKLvyRqhww3LW.c"",""Notice: Notice Number"":""Notice 2831"",""Number of Employees Affected"":""127"",""Projected Date"":""8/3/2026"",""Trade"":"""",""Type of Employees Affected"":""Non-Union"",""Workforce Board"":""Northern Kentucky""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000UxY4Q/GF0gz3XikIqoUSgtEsWvpqt7e_5PwKLvyRqhww3LW.c"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:13:sha256:0779ae56d924409f2da193d21537f543097372c0c63c709b1fa197d8fe312444"",""source_row_sha256"":""0779ae56d924409f2da193d21537f543097372c0c63c709b1fa197d8fe312444""}",127,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2831,9554f7a57f075c2a1ee7a854870b68d0efcfa3f7,2026-09-24,
KY,"Aramark Campus, LLC (University of Kentucky)",aramark campus llc university of kentucky,"Aramark Campus, LLC",cleaned,,722310,source,establishment,1396751,,exact:post-era:base,,,,,,,,,,automatic,cik:1396751,,,Fayette County,21067,38.040678,-84.458272,county,Fayette,,,,,2026-06-30,day,reported,,,,KY:2799,"{""agency_received_date"":""2026-04-29"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-06-30"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""Aramark Campus, LLC (University of Kentucky)"",""County"":""Fayette"",""Date Received"":""4/29/2026"",""NAICS"":""722310"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000QbQKk/97HSOQBTsXu3P4fz4CdBvLx2l.wNmuRx4f4ngCfIIGc"",""Notice: Notice Number"":""Notice 2799"",""Number of Employees Affected"":""923"",""Projected Date"":""6/30/2026"",""Trade"":""No"",""Type of Employees Affected"":""Both"",""Workforce Board"":""Bluegrass""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000QbQKk/97HSOQBTsXu3P4fz4CdBvLx2l.wNmuRx4f4ngCfIIGc"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:16:sha256:ae01d97e82636f989336d04a021211d33c3b32cffadf075a312bda12f1bf8c20"",""source_row_sha256"":""ae01d97e82636f989336d04a021211d33c3b32cffadf075a312bda12f1bf8c20""}",923,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2799,65ffacca626c77c929119b24ed60be364dc4538e,2026-09-24,
KY,Battelle Memorial Institute E3,battelle memorial institute e3,Battelle Memorial Institute E3,filed,,541715,source,establishment,,,,,,,,,,,,,,n:battelle memorial institute e3,,,Madison County,21151,37.725511,-84.278362,county,Madison,,,,,2026-03-05,day,reported,,,,KY:2741,"{""agency_received_date"":""2026-01-05"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-03-05"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""Battelle Memorial Institute E3"",""County"":""Madison"",""Date Received"":""1/5/2026"",""NAICS"":""541715"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000L0m5N/dzNGJ0evF7p0eqe3gkJ1A2xmpiaHfNjC0uxTXzAc0aA"",""Notice: Notice Number"":""Notice 2741"",""Number of Employees Affected"":""60"",""Projected Date"":""3/5/2026"",""Trade"":"""",""Type of Employees Affected"":""Non-Union"",""Workforce Board"":""Bluegrass""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000L0m5N/dzNGJ0evF7p0eqe3gkJ1A2xmpiaHfNjC0uxTXzAc0aA"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:33:sha256:7c8fba15453b04255960887010298a175cf6cb562737eb73d2d417f0c53401ba"",""source_row_sha256"":""7c8fba15453b04255960887010298a175cf6cb562737eb73d2d417f0c53401ba""}",60,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2741,14c129f875d1fb7cdd897b2c779e9a39b28bd874,2026-09-24,
KY,Battelle Memorial Institute E3,battelle memorial institute e3,Battelle Memorial Institute E3,filed,,541715,source,establishment,,,,,,,,,,,,,,n:battelle memorial institute e3,,,Madison County,21151,37.725511,-84.278362,county,Madison,,,,,2026-07-06,day,reported,,,,KY:2804,"{""agency_received_date"":""2026-05-07"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-07-06"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""Battelle Memorial Institute E3"",""County"":""Madison"",""Date Received"":""5/7/2026"",""NAICS"":""541715"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000R7S85/ChUHYkuIxmZGber7XiEFcOqgFvRKvnc5c98o33VA13M"",""Notice: Notice Number"":""Notice 2804"",""Number of Employees Affected"":""3"",""Projected Date"":""7/6/2026"",""Trade"":"""",""Type of Employees Affected"":""Non-Union"",""Workforce Board"":""Bluegrass""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000R7S85/ChUHYkuIxmZGber7XiEFcOqgFvRKvnc5c98o33VA13M"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:14:sha256:a3bc90dc8a0334f57f06e7df80adb32871b268f00c03b77a3f2849948e6baae6"",""source_row_sha256"":""a3bc90dc8a0334f57f06e7df80adb32871b268f00c03b77a3f2849948e6baae6""}",3,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2804,349966518fbd588c4ac4da7b5b68a247b7fe09e0,2026-09-24,
KY,Battelle Memorial Institute E3,battelle memorial institute e3,Battelle Memorial Institute E3,filed,,541715,source,establishment,,,,,,,,,,,,,,n:battelle memorial institute e3,,,Madison County,21151,37.725511,-84.278362,county,Madison,,,,,2026-09-24,day,reported,,,,KY:2820,"{""agency_received_date"":""2026-07-23"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-09-24"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""Battelle Memorial Institute E3"",""County"":""Madison"",""Date Received"":""7/23/2026"",""NAICS"":""541715"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000CLJC1/DbyYp68sVwKoN.GQkRf5EyzUntPUC3BOkVG9L_FcJUc"",""Notice: Notice Number"":""Notice 2820"",""Number of Employees Affected"":""1"",""Projected Date"":""9/24/2026"",""Trade"":""No"",""Type of Employees Affected"":""Non-Union"",""Workforce Board"":""Bluegrass""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000CLJC1/DbyYp68sVwKoN.GQkRf5EyzUntPUC3BOkVG9L_FcJUc"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:5:sha256:98b4c6d9ce46bb18e594bc0189a095cf65ed03d16075a68cce4d19e25e7f0629"",""source_row_sha256"":""98b4c6d9ce46bb18e594bc0189a095cf65ed03d16075a68cce4d19e25e7f0629""}",1,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2820,77a67a056ab74b9ea8087df3cab801845a04b140,2026-09-24,
KY,Battelle Memorial Institute E3,battelle memorial institute e3,Battelle Memorial Institute E3,filed,,541715,source,establishment,,,,,,,,,,,,,,n:battelle memorial institute e3,,,Madison County,21151,37.725511,-84.278362,county,Madison,,,,,2026-05-06,day,reported,,,,KY:2777,"{""agency_received_date"":""2026-03-05"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-05-06"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""Battelle Memorial Institute E3"",""County"":""Madison"",""Date Received"":""3/5/2026"",""NAICS"":""541715"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000NkU99/oU8_gO4ZAXjo2Ew8cYx0YkQwqLrKuxfHbjNc4HWS0kg"",""Notice: Notice Number"":""Notice 2777"",""Number of Employees Affected"":""5"",""Projected Date"":""5/6/2026"",""Trade"":""No"",""Type of Employees Affected"":""Non-Union"",""Workforce Board"":""Bluegrass""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000NkU99/oU8_gO4ZAXjo2Ew8cYx0YkQwqLrKuxfHbjNc4HWS0kg"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:22:sha256:b23d4486fd461a77b39802f6542ae89363909e3c214cfc696671f8fc25490845"",""source_row_sha256"":""b23d4486fd461a77b39802f6542ae89363909e3c214cfc696671f8fc25490845""}",5,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2777,904a6f736fb280bf9e69922dca1a8eb40a942810,2026-09-24,
KY,Battelle Memorial Institute E3,battelle memorial institute e3,Battelle Memorial Institute E3,filed,,541715,source,establishment,,,,,,,,,,,,,,n:battelle memorial institute e3,,,Madison County,21151,37.725511,-84.278362,county,Madison,,,,,2026-04-02,day,reported,,,,KY:2749,"{""agency_received_date"":""2026-01-29"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-04-02"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""Battelle Memorial Institute E3"",""County"":""Madison"",""Date Received"":""1/29/2026"",""NAICS"":""541715"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000M4S4L/LQzXQpOvkAZMAIHIvymYA.svisC5GHMdGM_kT4c1.lE"",""Notice: Notice Number"":""Notice 2749"",""Number of Employees Affected"":""30"",""Projected Date"":""4/2/2026"",""Trade"":"""",""Type of Employees Affected"":""Non-Union"",""Workforce Board"":""Bluegrass""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000M4S4L/LQzXQpOvkAZMAIHIvymYA.svisC5GHMdGM_kT4c1.lE"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:25:sha256:ed2dbede66b9cde12c2ae1e8368cfad8119fe5b3bab486fe534c9f4683a5b3a9"",""source_row_sha256"":""ed2dbede66b9cde12c2ae1e8368cfad8119fe5b3bab486fe534c9f4683a5b3a9""}",30,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2749,91e682b3bbbcf97329db73b4651cbeab08e4c4c1,2026-09-24,
KY,Battelle Memorial Institute E3,battelle memorial institute e3,Battelle Memorial Institute E3,filed,,541715,source,establishment,,,,,,,,,,,,,,n:battelle memorial institute e3,,,Madison County,21151,37.725511,-84.278362,county,Madison,,,,,2026-02-18,day,reported,,,,KY:2735,"{""agency_received_date"":""2025-12-17"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-02-18"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""Battelle Memorial Institute E3"",""County"":""Madison"",""Date Received"":""12/17/2025"",""NAICS"":""541715"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000K4yZx/hjNHC46tUotP6fQSFooblwIQMdy9n7n9jwycpYtoK2A"",""Notice: Notice Number"":""Notice 2735"",""Number of Employees Affected"":""17"",""Projected Date"":""2/18/2026"",""Trade"":"""",""Type of Employees Affected"":""Non-Union"",""Workforce Board"":""Bluegrass""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000K4yZx/hjNHC46tUotP6fQSFooblwIQMdy9n7n9jwycpYtoK2A"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:34:sha256:2460fb4a558fa8c2b0f8de16ea4ab1ae02beebc674deb588337f438854f3551b"",""source_row_sha256"":""2460fb4a558fa8c2b0f8de16ea4ab1ae02beebc674deb588337f438854f3551b""}",17,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2735,b6730a595ec027d9bcc866a6e015a5b3db9defeb,2026-09-24,
KY,Bechtel Parsons Blue Grass,bechtel parsons blue grass,Bechtel Parsons Blue Grass,filed,,541330,source,establishment,,,,,,,,,,,,,,n:bechtel parsons blue grass,,,Madison County,21151,37.725511,-84.278362,county,Madison,,,,,2026-03-20,day,reported,,,,KY:2746,"{""agency_received_date"":""2026-01-19"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-03-20"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""Bechtel Parsons Blue Grass"",""County"":""Madison"",""Date Received"":""1/19/2026"",""NAICS"":""541330"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000LOTKv/q2vS9oQb.f2kr9RxJzzteN8ihZx.77HgJflmO2hsKsE"",""Notice: Notice Number"":""Notice 2746"",""Number of Employees Affected"":""33"",""Projected Date"":""3/20/2026"",""Trade"":"""",""Type of Employees Affected"":""Non-Union"",""Workforce Board"":""Bluegrass""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000LOTKv/q2vS9oQb.f2kr9RxJzzteN8ihZx.77HgJflmO2hsKsE"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:31:sha256:10ffeb48dbe71eaef4a2e7b6ac3f48e49a04cb08ca84aa098695fd18e5bf5994"",""source_row_sha256"":""10ffeb48dbe71eaef4a2e7b6ac3f48e49a04cb08ca84aa098695fd18e5bf5994""}",33,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2746,2b2350a94989117d5c677a9426506106a542721e,2026-09-24,
KY,Blue Oval SK Group/Battery Plant,blue oval sk group battery plant,Blue Oval SK Group/Battery Plant,filed,,335911,source,establishment,,,,,,,,,,,,,,n:blue oval sk group battery plant,Hardin city,2134534,Marshall County,21157,36.76506,-88.302175,place,Hardin,,,,,2026-03-31,day,reported,,,,KY:2737,"{""agency_received_date"":""2025-12-16"",""date_evidence_rule"":""ky_agency_report_labeled_fields_v1"",""date_roles"":{""Date Received"":""agency_receipt"",""Projected Date"":""projected_action""},""identity_basis"":""agency_notice_number"",""location_basis"":""agency_county_field"",""projected_action_date"":""2026-03-31"",""raw_fields"":{""Closure or Layoff?"":""Closure"",""Company: Company Name"":""Blue Oval SK Group/Battery Plant"",""County"":""Hardin"",""Date Received"":""12/16/2025"",""NAICS"":""335911"",""Notice Type"":""WARN Notice"",""Notice URL"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000Mgcyf/R0rOEwqaqbq2_BLO_3h_bVZSr5L.ydfELzP9lSJBHds"",""Notice: Notice Number"":""Notice 2737"",""Number of Employees Affected"":""1514"",""Projected Date"":""3/31/2026"",""Trade"":"""",""Type of Employees Affected"":""Non-Union"",""Workforce Board"":""Lincoln Trail""},""source_artifact"":""agency/ky/WARN-Report-2026-09-16.csv"",""source_artifact_sha256"":""a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5"",""source_document_url"":""https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000Mgcyf/R0rOEwqaqbq2_BLO_3h_bVZSr5L.ydfELzP9lSJBHds"",""source_row"":""agency/ky/WARN-Report-2026-09-16.csv:sha256:a40a050d1b10a2ea4d1ec54302d548c4499534d1e16411840b9c383d5d2b2da5:row:27:sha256:c5ec7ee4d1676327ac2c342d3ad0489e4f6807b5b8f6ce6004fe9aab1e445242"",""source_row_sha256"":""c5ec7ee4d1676327ac2c342d3ad0489e4f6807b5b8f6ce6004fe9aab1e445242""}",1514,closure,,0,0,1,https://kcc.ky.gov/WARN%20notices/WARN%20Notices%202026/WARN%20Report-2026-09-16-09-00-01.csv,2737,76334092023b381a6a7d318f0d927f278c0d85b2,2026-09-24,
