state,employer_name,normalized_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
LA,General Dynamics Information,general dynamics information,,,,,,,,,Technology (GDIT),,2025-11-14,103,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,0b260cd9a345ae67f00464cf842271ac39c049b3a0dee2648779593d,d0d88ac3b1bb0d8be9ad6dd4edc22bc65c9e7998,2026-07-26,2026-07-26
LA,International Shipholding,international shipholding,,,,278041,,exact,,,"650 Poydras Street New Orleans, LA 70113",2007-01-03,2007-03-31,28,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,04150a463caee11a1fa8f4165c95d5442dd454eb36a92a7119829c1a,61061cd6d0adbcd25795b4b9efd84f095ce5c82f,2026-07-16,2026-07-16
LA,Sewell Cadillac Incorporated,sewell cadillac,,,,,,,,,"701 Baronne Street New Orleans, LA 70113",2007-01-08,2007-03-06,98,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,42b2520fb175327ba68dfdaf732592bca79c964ff43b48c010d80faa,9ed4f768ae44a07037722a059127f95449a474f9,2026-07-16,2026-07-16
LA,Morton International,morton international,,,,,,,,,"Hwy 83 S. Weeks Island New Iberia, LA 70560",2007-01-12,2007-04-06,55,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,7b2e45c0c6012c7f74939b216ebd07a3e0231ccafed98a2a8b46664f,b2941fc2ae4229daae8135cff328eac0a39bb8cb,2026-07-16,2026-07-16
LA,Bellsouth Telecommunications,bellsouth telecommunications,,,,92088,,exact,,,"1719 West Thomas St, Hammond, LA 70401",2007-01-18,2007-03-10,65,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,a6315bcefc94cc07b9fb430f8a9985fb1b34c99175487336654d1101,671c5257551387d684b67df853186729c77c975b,2026-07-16,2026-07-16
LA,McKesson Specialty Pharmacy,mckesson specialty pharmacy,,,,,,,,,"5712 Jarvis Street Harahan, LA 70123",2007-01-25,2007-03-29,88,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,e7f9bd38141e60a61be9c5d83e5c0762c6063b0be625a0415aa502ed,d9dab44cc42d41bd15333bf471afbbcd6d936c2f,2026-07-16,2026-07-16
LA,Martco Limited Partnership,martco limited partnership,,,,,,,,,"116 Roy Baker Road LeMoyen, LA 71356",2007-01-30,2007-01-30,195,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,72fb9179b65ad41b20fa4d6c35bfd27b218fb2e87b273407aa08516b,5ef70c2f7030b115f3d030570720cf34695993be,2026-07-16,2026-07-16
LA,Marsulex Refinery Environmental Services,marsulex refinery environmental services,,,,,,,,,"3545 Scenic Highway Baton Rouge, LA 70805",2007-02-07,2007-03-31,78,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,a1c44608d38011f7b497d28037f2e695d7bb7fc6c96c07663a4c1369,c504b179531fd4047cd82f6e3344f6a4851f4266,2026-07-16,2026-07-16
LA,Murphy Exploration & Production Company,murphy exploration production,,,,,,,,,"131 South Robertson St. New Orleans, LA 70112",2007-03-14,2007-06-01,120,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,2042f7674d4736e599577ec88ce20fd01f6a66e59f6b98bfc5d8f84a,054dd1d35b7aeb8b2055dd16eb215656ee884132,2026-07-16,2026-07-16
LA,McKesson Specialty Pharmacy,mckesson specialty pharmacy,,,,,,,,,"5712 Jarvis Street Harahan, LA 70123",2007-03-30,2007-03-30,10,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,5ebad04ec5bb80435fc1de6fd5cae2e46a27b22a1af7c42fb03b960f,f550b27c4c548346ba9a466c03311361bbc0578c,2026-07-16,2026-07-16
LA,Lockheed Martin Government Services Inc.,lockheed martin government services,,,,,,,,,"13800 Old Gentilly Road New Orleans, LA 70130",2007-05-25,2007-07-31,28,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,90c9203c6791450f18810324e10be38b8682f1b0a5ae194cd7ff5b15,f3f80157cc76f67238fbc9c9c2526ed960d3728f,2026-07-16,2026-07-16
LA,"Tembec USA, LLC",tembec usa,,,,,,,,,"2105 HWY 964 St. Francisville, LA 70775",2007-06-01,2007-07-31,539,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,4dd143bf8bf8f327c2b8ce570389a3e1235535c75ff77df8ad90a4c9,3f41643bd5b49d008aca93824dd127fb11420846,2026-07-16,2026-07-16
LA,Capital One-Indirect Collections,capital one indirect collections,,,,,,,,,"116 N. Range Avenue Denham Springs, LA 70726",2007-06-12,2007-08-15,65,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,669d28a234f9330ebe29996cbc435e16e9f3a741f4bd0dfbbc02c11d,4eabc39bced71304175d055010ddc4f3dbcbe76c,2026-07-16,2026-07-16
LA,Abita Springs Water Company,abita springs water,,,,,,,,,"101 Airline Highway Metairie, LA 70001",2007-06-14,2007-08-29,155,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,74dc267e30e3ac438404df43b2ed721f1f56fc4b7e2581a20ff995cd,a9c8989e9abfd222712de041dc049ccb74891698,2026-07-16,2026-07-16
LA,Albertson's LLC,albertson s,,,,,,,,,"2801 Sterlington Road Monroe, LA 71203",2007-06-28,2007-08-05,100,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,b0612ab1ebeb5e164f1859525fe77700c41a7badbce2dce7cb0abc87,a5f96cfd149338b0d3aaf63fa798376fe7da6bc2,2026-07-16,2026-07-16
LA,Capital One Mortgage,capital one mortgage,,,,,,,,,"11130 Industriplex Boulevard Baton Rouge, LA 70809",2007-07-09,2007-09-14,118,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,0ea5cdb489985f9b8679787baae566e8b4605b8e65aac522b93ce0e7,075626ade8a893bfbc8dca43cd8d8de377e55fec,2026-07-16,2026-07-16
LA,Wells Fargo Home Mortgage,wells fargo home mortgage,,,,,,,,,"4041 Essen Lane Baton Rouge, LA 70809",2007-07-26,2007-09-25,59,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,3d3f65a9b502700a9d8845cd2138279b33ba928bfaa8ef54eca8db91,537ce723b1295a618007bc1bee74234df4f955f3,2026-07-16,2026-07-16
LA,Aegis Mortgage Corporation,aegis mortgage,,,,,,,,,"3250 Briarpark, Suite 400 Houston, TX 77042",2007-08-07,2007-10-31,45,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,c04e6d204f9bbfdbc340969d0a3e77245fcc38d9576a7b54567170fa,9ea737fbc2977439d92d2640a4e47bba8826065c,2026-07-16,2026-07-16
LA,East Jordan Iron Works,east jordan iron works,,,,,,,,,"301 Spring Street East Jordan, MI 49727",2007-08-25,2007-12-28,50,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,4954079bbb4abc0c09cdfbf8415badbcd92cb3ae1878c27e1b5b33ef,45e8d7ca92f23f42347f70a57b0037b7df800c4e,2026-07-16,2026-07-16
LA,AT & T,at t,,,,,,,,,"3300 Esplanade Avenue Metairie, LA 70002",2007-10-17,2007-12-29,55,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,b67c90c1cccedd2657b9b9997551d8643097bc4d24d5105639520986,0a292b99b6be1eb96a0da0488d404f5e12ba2f57,2026-07-16,2026-07-16
LA,United States Gypsum,united states gypsum,,,,,,,,,"Company 5701 Lewis Road New Orleans, LA 70126",2007-10-23,2007-12-31,45,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,d6a518e38269664d559e43f027326efbd3898865431aa77b81849a31,4614e82b13035d3ac2cc57d05e63d5d59757b805,2026-07-16,2026-07-16
LA,Valentine Paper,valentine paper,,,,,,,,,"139 Joe Brown Lockport, LA 70374",2007-10-29,2007-12-28,83,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,bac658f21882b8956970192117d8b12975b2683d70d2335b53830ebf,9bde80f6a7b03b1a49cacc938dbbf1509bd785f6,2026-07-16,2026-07-16
LA,Georgia Pacific Corporation,georgia pacific,,,,41077,,exact,,,"Highway 5 North Logansport, LA 71059",2007-10-30,2007-10-30,294,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,f0ed38487000f28fe6f8c4ede098b4fbb90dc2bf3bb892199545b458,635fd3cbfbe2c99cc64707e17505568ece71eeb8,2026-07-16,2026-07-16
LA,"Pinnacle Business Solutions, Inc.",pinnacle business solutions,,,,,,,,,"7501 East Trammel Drive Shreveport, LA 71108",2007-12-03,2008-02-29,23,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,4674641c13111d124c0bd153b436ed46cddee89b1c1dc3fd8d52a5d7,aaf43de77e3a6e07f85c50123e700d677f141a20,2026-07-16,2026-07-16
LA,"FloorServe, Inc.",floorserve,,,,,,,,,"309 North Hamilton Street Dalton, GA 30720",2007-12-11,2008-01-31,159,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,d49423a901bfc8b67033b19ab0df0fbc4037908adcd62e28d9aa945c,11522ec0aa5c0d615fab1f568c0222f85f16f5b3,2026-07-16,2026-07-16
LA,Ideal Merchandising,ideal merchandising,,,,,,,,,"441 Apollo Beach Blvd Apollo beach, FL 33572",2007-12-13,2008-01-30,751,unknown,,0,0,1,https://www.laworks.net/Downloads/Downloads_WFD.asp,86ca770ef64d664010db2336934e9522b5785350bc058b3a8e1bed5b,218347a34f4789b7a2fe98515632079efa000877,2026-07-16,2026-07-16
