state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
MA,"*Updated* Community Healthlink, Inc. (aka CHL)",updated community healthlink inc aka chl,"Community Healthlink, Inc.",cleaned,,,,,,,,,,,,,,,,,,n:community healthlink,,,,,,,,"Leominster, Webster & Worcester, MA, Central",,,2026-08-31,131,unknown,,0,0,1,https://www.mass.gov/info-details/worker-adjustment-and-retraining-notification-act-warn-layoff-and-closure-updates,5a4cde34c205bf7b7e68f09fd7c4f4074be2793da464fe686ca9ec85,73d0bd55c421db781b1558da7e26dd3ce539adee,2026-07-16,
MA,"Thayer Detoxification (""Detox"")",thayer detoxification detox,Thayer Detoxification,cleaned,,,,,,,,,,,,,,,,,,n:thayer detoxification,,,Worcester County,25027,42.311693,-71.940282,county,"Worcester, Central",,,2023-04-21,39,unknown,,0,0,1,https://www.mass.gov/info-details/worker-adjustment-and-retraining-notification-act-warn-layoff-and-closure-updates,10f42ae7152111553f1aad4ba767e944a2f5df61833446a9edd9db6f,ce8ab2817484d8234ae51057e18d434bb0052032,2026-07-16,
MA,"Thayer PASSages (""PASSages"")",thayer passages passages,Thayer PASSages,cleaned,,,,,,,,,,,,,,,,,,n:thayer passages,,,Worcester County,25027,42.311693,-71.940282,county,"Worcester, Central",,,2023-05-05,21,unknown,,0,0,1,https://www.mass.gov/info-details/worker-adjustment-and-retraining-notification-act-warn-layoff-and-closure-updates,3bcc1f5fb57cd715eb38a0e34983feac0e38ff133b59b6db4c433a4d,ffc85fd52483477ac6d173da7f8074cdb7741a7e,2026-07-16,
MA,"Transitional Support Systems (""TSS"")",transitional support systems tss,Transitional Support Systems,cleaned,,,,,,,,,,,,,,,,,,n:transitional support systems,,,Worcester County,25027,42.311693,-71.940282,county,"Worcester, Central",,,2023-05-05,18,unknown,,0,0,1,https://www.mass.gov/info-details/worker-adjustment-and-retraining-notification-act-warn-layoff-and-closure-updates,ee001df2158657f67b51bea5b7d3a6dc92810a7e0edadd07d27e462f,78584b1fecddc0c337d7a7c21e1fccb670a5f8d2,2026-07-16,
MA,ImmunoGen,immunogen,ImmunoGen Inc.,wikidata,,325412,sec-sic,enterprise,855654,,exact,2834,Pharmaceutical Preparations,,,,Q15964806,cik,,,automatic,qid:Q15964806,Waltham city,2572600,Middlesex County,25017,42.388921,-71.242268,place,Waltham,,2019-07-01,2019-08-26,222,unknown,,0,0,1,https://web.archive.org/web/20200828043125id_/https://www.mass.gov/doc/warn-report-for-fy-2020/download,,80f0e913ef4a033bf91f402aa4d48f941665134c,2026-07-26,2026-07-26
MA,"A. Schulman, Inc.",a schulman,"A. Schulman, Inc.",filed,,,,,,,,,,,,,,,,,,n:a schulman,Worcester city,2582000,Worcester County,25027,42.269478,-71.807783,place,Worcester,,2019-07-15,2019-12-31,68,unknown,,0,0,1,https://web.archive.org/web/20200828043125id_/https://www.mass.gov/doc/warn-report-for-fy-2020/download,,197dca83300cb72153c080562d14bf7c2ecbcc7d,2026-07-26,2026-07-26
MA,"Babbo Enoteca FP LLC e Enoteca (""Babbo Boston"")",babbo enoteca fp llc e enoteca babbo boston,Babbo Enoteca FP LLC e Enoteca,cleaned,,,,,,,,,,,,,,,,,,n:babbo enoteca fp llc e enoteca,Boston city,2507000,Suffolk County,25025,42.338551,-71.018253,place,Boston,,2019-07-23,2019-09-15,62,unknown,,0,0,1,https://web.archive.org/web/20200828043125id_/https://www.mass.gov/doc/warn-report-for-fy-2020/download,,1fa77ac2a16d6312edc5f6c5bd53422ba427a6d7,2026-07-26,2026-07-26
MA,"Nestle USA, Inc./Nestle Dreyer's Ice Cream Company",nestle usa inc nestle dreyer s ice cream,"Nestle USA, Inc./Nestle Dreyer's Ice Cream Company",filed,,,,,,,,,,,,,,,,,,n:nestle usa inc nestle dreyer s ice cream,Taunton city,2569170,Bristol County,25005,41.903324,-71.094987,place,Taunton,,2019-08-19,2019-10-18,49,unknown,,0,0,1,https://web.archive.org/web/20200828043125id_/https://www.mass.gov/doc/warn-report-for-fy-2020/download,,59107dbb017d62582411e0d71463180afeb6f975,2026-07-26,2026-07-26
MA,"Urban Mobility Now, LLC",urban mobility now,"Urban Mobility Now, LLC",filed,,,,,,,,,,,,,,,,,,n:urban mobility now,,,,,,,,"Chelsea, Dedham (Amazon Fulfillment Station)",,2019-09-12,2019-10-09,201,unknown,,0,0,1,https://web.archive.org/web/20200828043125id_/https://www.mass.gov/doc/warn-report-for-fy-2020/download,,c053e00e2f5b73025e8b1c8b12d42a0fe172d1a2,2026-07-26,2026-07-26
MA,"Urban Mobility Now, LLC (Amazon Fulfillment Station)",urban mobility now llc amazon fulfillment station,"Urban Mobility Now, LLC",cleaned,,,,,,,,,,,,,,,,,,n:urban mobility now,Milford CDP,2541200,Worcester County,25027,42.150664,-71.517783,place,Milford,,2019-09-12,2019-10-09,201,unknown,,0,0,1,https://web.archive.org/web/20200828043125id_/https://www.mass.gov/doc/warn-report-for-fy-2020/download,,8cdf7b18ccd89d46e033d52d8df2877cb41aeebe,2026-07-26,2026-07-26
