state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
MI,A123 Systems,a123 systems,A123 Systems,wikidata,,,,,1167178,,exact:post-era,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",,,,Q279389,cik,,,automatic,qid:Q279389,Livonia city,2649000,Wayne County,26163,42.397183,-83.372319,place,"Livonia, Michigan",,2019-09-27,42,closure,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,a64efe7ea6c3838d75d59a47f2a3930b715cc2160f612a54e58304ab,0a2c2daf220ad9796e626397cf8ae44dec83480b,2026-07-26,2026-07-26
MI,"A2MAC1, LLC",a2mac1,"A2MAC1, LLC",filed,,,,,,,,,,,,,,,,,,n:a2mac1,Belleville city,2607020,Wayne County,26163,42.201917,-83.482812,place,"Belleville, Michigan",,2024-06-03,70,closure,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,71ffd3d19184eb40793c10d065fafcc0faa0e3712f7ee458e363e846,cc1c4c138b5279b1e7bec69df15a22dda6a6dfb4,2026-07-26,2026-07-26
MI,ABC Group Sales & Engineering Inc.,abc group sales engineering,ABC Group Sales & Engineering Inc.,filed,,,,,,,,,,,,,,,,,,n:abc group sales engineering,Saline city,2671140,Washtenaw County,26161,42.173829,-83.776924,place,"Saline, Michigan",,2024-12-31,156,closure,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,23b83a088531b7917e7dde32f2e8153e6519e8ecc7154d5d04ac7023,5e5d9e937f33bc3311aecb33d86cc8f748834353,2026-07-26,2026-07-26
MI,ADESA Flint,adesa flint,ADESA Flint,filed,,,,,,,,,,,,,,,,,,n:adesa flint,Flint city,2629000,Genesee County,26049,43.02442,-83.691971,place,"Flint, Michigan",,2020-08-03,40,unknown,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,a701d7dd2141da392881393e4ae551d38c25ac7f2569886c588b1ebd,7a200111319b0351b381914f3446b5bfa2832804,2026-07-26,2026-07-26
MI,AK Steel,ak steel,AK Steel,filed,,31-33,sec-sic,enterprise,918192,,exact,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",,,,,,,,automatic,cik:918192,Dearborn city,2621000,Wayne County,26163,42.313057,-83.211488,place,"Dearborn, Michigan",,2020-07-05,343,closure,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,f86e5bd1ccfad169ac99432b0f7a7b3d8943026582acb7b83f5d52f6,b4bddda570d10ae59a41720ff2c0a45a6c17e335,2026-07-26,2026-07-26
MI,AKWEL Automotive,akwel automotive,AKWEL Automotive,filed,,,,,,,,,,,,,,,,,,n:akwel automotive,,,,,,,,"Cadillac, Michigan and Novi, Michigan",,2020-05-15,121,unknown,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,5b4d1f30d7165041865e43946cb97f4efdabe5174b1bb5908ac5de10,a3dca9fe781f4da56e1fcfcec102c667a6a70636,2026-07-26,2026-07-26
MI,AMI Livonia,ami livonia,AMI Livonia,filed,,,,,,,,,,,,,,,,,,n:ami livonia,Livonia city,2649000,Wayne County,26163,42.397183,-83.372319,place,"Livonia, Michigan",,2019-03-04,96,closure,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,b46349da617efcf919e82bb26086dadf9d272d3882c074a94067e0d2,93b2ad65a0db26b34ea5248e88f58f1d0316ea19,2026-07-26,2026-07-26
MI,"ASC, Industries",asc industries,"ASC, Industries",filed,,,,,1517733,,exact:post-era,,,,,,,,,,automatic,cik:1517733,Rochester Hills city,2669035,Oakland County,26125,42.663484,-83.159196,place,"Rochester Hills, Michigan",,2020-04-01,5,unknown,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,add29aa0f1fcdfdd1fee9226eb35d5a287d3c3d623a90c86541d472a,6df00fce9cbc980ef5b20f541da983b7c11a089b,2026-07-26,2026-07-26
MI,AT&T Detroit,at t detroit,AT&T Detroit,filed,,,,,,,,,,,,,,,,,,n:at t detroit,Detroit city,2622000,Wayne County,26163,42.383037,-83.102237,place,"Detroit, Michigan",,2018-03-28,114,unknown,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,cd3f3a9f536b6c139faf1307117a9b60fdc9a03b7cef5c1038ab06cd,4c155950dbab88b77e88b62d51118ff30c4cf815,2026-07-26,2026-07-26
MI,"Accelerate360 Distribution, LLC",accelerate360 distribution,"Accelerate360 Distribution, LLC",filed,,,,,,,,,,,,,,,,,,n:accelerate360 distribution,,,,,,,,Statewide,,2025-06-28,2,unknown,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,4324c5ee6f8124a14a1037d6cf05fe486071b5499b8f33c57ec17059,b5334403c8b1564a7bf2e661e93a2b3034fca895,2026-07-16,2026-08-02
MI,Accenture Technology,accenture technology,Accenture Technology,filed,,,,,,,,,,,,,,,,,,n:accenture technology,Detroit city,2622000,Wayne County,26163,42.383037,-83.102237,place,"Detroit, Michigan",,2023-12-04,83,unknown,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,3048d6f6ec78ebbee1dd833314af4a0003fb970cad074bfecbfcd491,ed01b94715f72c3e3006e64363452321f76feb41,2026-07-26,2026-07-26
MI,Adient USA LLC,adient usa,Adient USA LLC,filed,,336,parent-sic,enterprise,,,,,,,,,,,Adient plc,1670541,,n:adient usa,Charlotte city,2614820,Eaton County,26045,42.566202,-84.831839,place,"Charlotte, Michigan",,2019-03-01,212,closure,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,abc90b1347839d779820b96032da7b131ee30b354b69c493a15659cb,a36afa644d7cab5e17004b3cdc6a7fa12fa95a50,2026-07-26,2026-07-26
MI,Advanced Vehicle Assemblies LLC/Tubular Metal Systems,advanced vehicle assemblies llc tubular metal systems,Advanced Vehicle Assemblies LLC/Tubular Metal Systems,filed,,,,,,,,,,,,,,,,,,n:advanced vehicle assemblies llc tubular metal systems,Pinconning city,2664160,Bay County,26017,43.857225,-83.964629,place,"Pinconning, Michigan",,2023-07-31,65,closure,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,8ff429099d8063f22c5b53e7f8cbe4f6040173f1384cc89c78ba02a8,026fb3a57fa41f9921347a35167be5ba3d3555a3,2026-07-26,2026-07-26
MI,Aimbridge Hospitality,aimbridge hospitality,"Aimbridge Hospitality, LLC",wikidata,,72,employer,establishment,,,,,,,,,Q137573199,label,,,automatic,qid:Q137573199,Ypsilanti city,2689140,Washtenaw County,26161,42.244354,-83.62116,place,"Ypsilanti, Michigan",,2020-08-15,6,unknown,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,8ccb8a9f04e4b3f6bb7b2b7900dee52619702a0d7a5077f0aa1f98d7,db4da87b85f807bfcd6229859045971fd4f7728b,2026-07-26,2026-07-26
MI,Aimbridge Hospitality - Marriott Ypsilanti At Eagle Crest,aimbridge hospitality marriott ypsilanti at eagle crest,"Aimbridge Hospitality, LLC",wikidata,,72,employer,establishment,,,,,,,,,Q137573199,label,,,automatic,qid:Q137573199,Ypsilanti city,2689140,Washtenaw County,26161,42.244354,-83.62116,place,"Ypsilanti, Michigan",,2020-06-30,119,unknown,,0,0,1,https://www.michigan.gov/leo/bureaus-agencies/wd/data-public-notices/warn-notices,6af17db08df0882e081b57b726ec5f5a1d9b5bc3fff4dcef76d14c8e,a67096bf1e99d902fe5420eda27d04dece9fe4bb,2026-07-26,2026-07-26
