state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
MO,21c Museum Hotel,21c museum hotel,21c Museum Hotel,wikidata,,,,,,,,,,,,,Q4631016,label,,,automatic,qid:Q4631016,Kansas City city,2938000,Jackson County,29095,39.125155,-94.550313,place+county,"Kansas City, Jackson",,,,,2020-05-29,day,reported,,,,,"{""agency_received_dates"":[""2020-05-22""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2020.webtext.txt"",""raw_fields"":{""action_dates"":""05/29/2020"",""affected"":""18"",""county"":""Jackson"",""industry"":"""",""locations"":""Kansas City"",""notes"":"""",""received"":""05/22/2020"",""region"":""Kansas City & Vicinity"",""title"":""21c Museum Hotel"",""type"":""Layoff""},""source_artifact_sha256"":""9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4"",""source_row"":""agency/mo_annual/2020.webtext.txt:sha256:9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4:lines:142-142:row:94"",""source_row_sha256"":""3052f4ade2bfc7aced124b56a817238960fe37a3655a01837692ba6ccd2fee48""}",18,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2020,,54cc76243b5eea19ac39f7d0c51f4e5008fff6ba,2026-09-24,
MO,ABM Aviation,abm aviation,ABM Aviation,filed,,,,,,,,,,,,,,,,,,n:abm aviation,St. Louis city,2965000,St. Louis city,29510,38.635699,-90.244582,place,St. Louis (city),,,,,2021-02-28,day,reported,,,,,"{""agency_received_dates"":[""2021-01-21""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2021.webtext.txt"",""raw_fields"":{""action_dates"":""02/28/2021"",""affected"":""85"",""county"":"""",""industry"":"""",""locations"":""St. Louis (city)"",""notes"":"""",""received"":""01/21/2021"",""region"":""St. Louis & vicinity"",""title"":""ABM Aviation"",""type"":""Layoff""},""source_artifact_sha256"":""ea9c686a7f920af5f8221d47234a0f0413fe433a856bf2a905ec848202dd210b"",""source_row"":""agency/mo_annual/2021.webtext.txt:sha256:ea9c686a7f920af5f8221d47234a0f0413fe433a856bf2a905ec848202dd210b:lines:23-23:row:2"",""source_row_sha256"":""88ff9d9033b5f5f77dc16ab3381950bd03ed86e75f0425379f17fa14ab803edd""}",85,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2021,,b13df82146c731b599050e4742b22c608a1f3bc1,2026-09-24,
MO,"ABM Industry Groups, LLC WARN notice 04/2021",abm industry groups llc warn notice 04 2021,"ABM Industry Groups, LLC WARN notice 04/2021",filed,Facilities Services/Janitorial,,,,,,,,,,,,,,,,,n:abm industry groups llc warn notice 04 2021,St. Louis city,2965000,St. Louis city,29510,38.635699,-90.244582,place,"St. Louis (city), St. Louis (county)",,,,,2021-05-31,day,reported,,,,,"{""agency_received_dates"":[""2021-04-16""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2021.webtext.txt"",""raw_fields"":{""action_dates"":""05/31/2021"",""affected"":""100"",""county"":""St. Louis (county)"",""industry"":""Facilities Services/Janitorial"",""locations"":""St. Louis (city)"",""notes"":"""",""received"":""04/16/2021"",""region"":"""",""title"":""ABM Industry Groups, LLC WARN notice 04/2021"",""type"":""Layoff""},""source_artifact_sha256"":""ea9c686a7f920af5f8221d47234a0f0413fe433a856bf2a905ec848202dd210b"",""source_row"":""agency/mo_annual/2021.webtext.txt:sha256:ea9c686a7f920af5f8221d47234a0f0413fe433a856bf2a905ec848202dd210b:lines:32-32:row:9"",""source_row_sha256"":""f4c26ec86aff1b7ed84596ec2741248b23a0143f0c2a55f98b1edfa603677d99""}",100,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2021,,5b33ee1a2fc1b2918b8be4b006a7cac150d5cefa,2026-09-24,
MO,Adams Mark Hotel & Conference Center - Kansas City,adams mark hotel conference center kansas city,Adams Mark Hotel & Conference Center,cleaned,,,,,,,,,,,,,,,,,,n:adams mark hotel conference center,Kansas City city,2938000,Jackson County,29095,39.125155,-94.550313,place+county,"Kansas City, Jackson",,,,,2020-03-17,day,reported,,,,,"{""agency_received_dates"":[""2020-03-26""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2020.webtext.txt"",""raw_fields"":{""action_dates"":""03/17/2020"",""affected"":""138"",""county"":""Jackson"",""industry"":"""",""locations"":""Kansas City"",""notes"":"""",""received"":""03/26/2020"",""region"":""Kansas City & Vicinity"",""title"":""Adams Mark Hotel & Conference Center - Kansas City"",""type"":""Layoff""},""source_artifact_sha256"":""9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4"",""source_row"":""agency/mo_annual/2020.webtext.txt:sha256:9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4:lines:47-47:row:16"",""source_row_sha256"":""30b663dc607518e4c20af16fcc9a1331c53650c1f41d1035ec9185e199f4f1e3""}",138,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2020,,cb72437769f6e729ad2a0854a7ed2e929c0d54f3,2026-09-24,
MO,Adient,adient,Adient,wikidata,Automotive Manufacturing,336,sec-sic,enterprise,1670541,ADNT,exact,3714,Motor Vehicle Parts & Accessories,,,,Q26832896,cik,,,automatic,qid:Q26832896,Riverside city,2962156,Platte County,29165,39.172175,-94.632499,place+county,"Riverside, Platte",,,,,2021-02-05,day,reported,,,,,"{""agency_received_dates"":[""2021-06-22"",""2021-09-14""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2021.webtext.txt"",""raw_fields"":{""action_dates"":""02/05/2021"",""affected"":""213"",""county"":""Platte"",""industry"":""Automotive Manufacturing"",""locations"":""Riverside"",""notes"":"""",""received"":""06/22/2021\n09/14/2021 rev"",""region"":"""",""title"":""Adient"",""type"":""Layoff""},""source_artifact_sha256"":""ea9c686a7f920af5f8221d47234a0f0413fe433a856bf2a905ec848202dd210b"",""source_row"":""agency/mo_annual/2021.webtext.txt:sha256:ea9c686a7f920af5f8221d47234a0f0413fe433a856bf2a905ec848202dd210b:lines:37-38:row:14"",""source_row_sha256"":""1b9b086e09c7855862c8275c906ed012aa1d3ad0cb9ada5351a64f84b029c198""}",213,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2021,,7025779a2744c4e58d0a187bb0e6d361508321f1,2026-09-24,
MO,Adient,adient,Adient,wikidata,Automotive Manufacturing,336,sec-sic,enterprise,1670541,ADNT,exact,3714,Motor Vehicle Parts & Accessories,,,,Q26832896,cik,,,automatic,qid:Q26832896,Riverside city,2962156,Platte County,29165,39.172175,-94.632499,place+county,"Riverside, Platte",,,,,,,,,,,,"{""agency_received_dates"":[""2024-09-13""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2024.webtext.txt"",""raw_fields"":{""action_dates"":""11/11/2024\n01/06/2025"",""affected"":""172"",""county"":""Platte"",""industry"":""Automotive Manufacturing"",""locations"":""Riverside"",""notes"":"""",""received"":""09/13/2024"",""region"":""Kansas City & Vicinity"",""title"":""Adient"",""type"":""Layoff""},""source_artifact_sha256"":""69e32cd69ace2f0ff882ded9a445f4146117020bd4927d6072985763bf5bdb29"",""source_row"":""agency/mo_annual/2024.webtext.txt:sha256:69e32cd69ace2f0ff882ded9a445f4146117020bd4927d6072985763bf5bdb29:lines:53-54:row:23"",""source_row_sha256"":""42910453e9d400b8d398f48e2bdc9ef30682c0b72891042bdadfe186a04fff45""}",172,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2024,,c8a46bdc8cf6bc8d33965297881ab95da61eeeaa,2026-09-24,
MO,Aimbridge Hospitality (Hilton Branson Convention Center Hotel),aimbridge hospitality hilton branson convention center hotel,"Aimbridge Hospitality, LLC",wikidata,,72,employer,,,,,,,,,,Q137573199,label,,,automatic,qid:Q137573199,Branson city,2907966,Taney County,29213,36.612287,-93.291812,place+county,"Branson, Taney",,,,,2020-12-30,day,reported,,,,,"{""agency_received_dates"":[""2020-11-04""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2020.webtext.txt"",""raw_fields"":{""action_dates"":""12/30/2020"",""affected"":""102"",""county"":""Taney"",""industry"":"""",""locations"":""Branson"",""notes"":"""",""received"":""11/04/2020"",""region"":""Ozark"",""title"":""Aimbridge Hospitality (Hilton Branson Convention Center Hotel)"",""type"":""Layoff""},""source_artifact_sha256"":""9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4"",""source_row"":""agency/mo_annual/2020.webtext.txt:sha256:9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4:lines:212-212:row:153"",""source_row_sha256"":""716c7550e6081df865d7a49901926bbb5f95daca86373cd67d13e62dfb816839""}",102,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2020,,f805918d67bbd5e76dac1b9cd5427032ef7d3403,2026-09-24,
MO,Aimbridge Hospitality - Hilton Branson Convention Center,aimbridge hospitality hilton branson convention center,"Aimbridge Hospitality, LLC",wikidata,,72,employer,,,,,,,,,,Q137573199,label,,,automatic,qid:Q137573199,Branson city,2907966,Taney County,29213,36.612287,-93.291812,place+county,"Branson, Taney",,,,,2020-03-20,day,reported,,,,,"{""agency_received_dates"":[""2020-03-22"",""2020-05-22""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2020.webtext.txt"",""raw_fields"":{""action_dates"":""03/20/2020"",""affected"":""127"",""county"":""Taney"",""industry"":"""",""locations"":""Branson"",""notes"":"""",""received"":""03/22/2020\n05/22/2020 rev"",""region"":""Ozark"",""title"":""Aimbridge Hospitality - Hilton Branson Convention Center"",""type"":""Layoff""},""source_artifact_sha256"":""9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4"",""source_row"":""agency/mo_annual/2020.webtext.txt:sha256:9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4:lines:37-38:row:10"",""source_row_sha256"":""5d0e7d6892c61c5cba3db44efd06dd6bfd122d048923cf958fb69fbc74cdda76""}",127,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2020,,ee1ee1330a82ace1efcc5bc965c0e844470dd68f,2026-09-24,
MO,Airport Management Services/Hudson Group,airport management services hudson group,Airport Management Services/Hudson Group,filed,,48,employer,,,,,,,,,,,,,,,n:airport management services hudson group,St. Louis city,2965000,St. Louis city,29510,38.635699,-90.244582,place,"St. Louis (city), St. Louis (county)",,,,,2020-07-31,day,reported,,,,,"{""agency_received_dates"":[""2020-09-08""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2020.webtext.txt"",""raw_fields"":{""action_dates"":""07/31/2020"",""affected"":""84"",""county"":""St. Louis (county)"",""industry"":"""",""locations"":""St. Louis (city)"",""notes"":"""",""received"":""09/08/2020"",""region"":""St. Louis County"",""title"":""Airport Management Services/Hudson Group"",""type"":""Layoff""},""source_artifact_sha256"":""9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4"",""source_row"":""agency/mo_annual/2020.webtext.txt:sha256:9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4:lines:201-201:row:143"",""source_row_sha256"":""80f7db44324453972b019680b0cbcde9c2278abd8aed4b115966041672e453df""}",84,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2020,,7ca8346948e7f3cfc8b547db802dc8421e7de2a4,2026-09-24,
MO,Alamo Drafthouse Cinema - Kansas City,alamo drafthouse cinema kansas city,Alamo Drafthouse Cinema,wikidata,,,,,,,,,,,,,Q4705954,label,,,automatic,qid:Q4705954,Kansas City city,2938000,Jackson County,29095,39.125155,-94.550313,place+county,"Kansas City, Jackson",,,,,2020-03-17,day,reported,,,,,"{""agency_received_dates"":[""2020-08-26""],""date_roles"":{""Layoff date(s)"":""reported_action"",""Received"":""agency_receipt""},""identity_basis"":""agency_annual_table_row_no_filing_id"",""origin"":""agency/mo_annual/2020.webtext.txt"",""raw_fields"":{""action_dates"":""03/17/2020"",""affected"":""75"",""county"":""Jackson"",""industry"":"""",""locations"":""Kansas City"",""notes"":"""",""received"":""08/26/2020"",""region"":""Kansas City & Vicinity"",""title"":""Alamo Drafthouse Cinema - Kansas City"",""type"":""Layoff""},""source_artifact_sha256"":""9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4"",""source_row"":""agency/mo_annual/2020.webtext.txt:sha256:9f7fa355c09c898ca7317ae5b933f601ac9ebd27b963d854f834a8efc4be5ed4:lines:198-198:row:140"",""source_row_sha256"":""19ec92bc89bfbf1b33c2a4b267d7c60437a00152733636c3ff694d7d7012c344""}",75,mass_layoff,,0,0,1,https://jobs.mo.gov/warn/2020,,85eee9d0122b1ba053c97daa944ab151b00f82b8,2026-09-24,
