state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
MT,Grand Pacific Resorts,grand pacific resorts,Grand Pacific Resorts,filed,Hospitality,,,,,,,,,,,,,,,,,n:grand pacific resorts,,,Flathead County,30029,48.295422,-114.052059,county,Flathead,2015-01-29,2015-03-31,65,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,4e81bef01ccf085509e3f4ec769f2d5de4c479dd821e99211fe5f322,9cd1e03acc746a10aed0bbf57c3b1d70ce23002b,2026-07-16,2026-08-02
MT,Asurion (NEW),asurion new,Asurion,cleaned,Call center,,,,1351844,,exact:post-era:base,,,,,,,,,,automatic,cik:1351844,Cascade town,3012775,Cascade County,30013,47.277102,-111.703006,place,Cascade,2015-05-07,2015-12-31,341,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,aaec91e93dcf1982560e4b207b7d37c4145fe143593421736e5489b5,6cc6ba0f6760845ae1a9b0cf417fc8959bee1f8b,2026-07-16,2026-08-02
MT,Golden Sunlight Mine,golden sunlight mine,Golden Sunlight Mine,filed,Mining,21,sector-name,establishment,,,,,,,,,,,,,,n:golden sunlight mine,Jefferson City CDP,3039400,Jefferson County,30043,46.377945,-112.030484,place,Jefferson,2015-09-23,2015-11-30,140,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,0bf04beb64823cd3abaf65622d33591113fa4bd82732fa6317ae02b9,6ae727d4662f71ff511a5d1817fd9696948cdddd,2026-07-16,2026-08-02
MT,Fidelity Exploration & Prod.,fidelity exploration prod,Fidelity Exploration & Prod.,filed,Oil exploration,,,,,,,,,,,,,,,,,n:fidelity exploration prod,,,,,,,,Multiple - Eastern MT,2015-11-04,2015-12-17,,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,1a69b8f825a24c0051d6d4689c14cb6f58fd3b8cb1b6059c37526150,b9c7ed479ede186221be728579460d1b683a09ef,2026-07-16,2026-08-02
MT,Tricon Lumber,tricon lumber,Tricon Lumber,filed,Timber,,,,,,,,,,,,,,,,,n:tricon lumber,,,Mineral County,30061,47.129687,-115.085385,county,Mineral,2016-01-04,2015-09-28,50,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,6ffdda054ede33e79baaaea95806f4d91f3bf0fd9eb4f9c379e6d251,de1cc59c3cd2d97a6206ebcaed33a035fcddc37b,2026-07-16,2026-08-02
MT,BNSF Railroad,bnsf railroad,BNSF Railroad,filed,Transportation,,,,,,,,,,,,,,,,,n:bnsf railroad,,,Valley County,30105,48.34985,-106.670424,county,Valley,2016-01-20,2016-03-31,50,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,c093eda12a69620efab3439d2251253811b193bcb23580c08298ca69,6855391c73b538b2b39d98743cf5e4e5e9873adb,2026-07-16,2026-08-02
MT,Sanjel,sanjel,Sanjel,filed,Oil & Gas,,,,,,,,,,,,,,,,,n:sanjel,Custer CDP,3018700,Yellowstone County,30111,46.129227,-107.555549,place,Custer,2016-03-30,2016-05-01,,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,61ff8bdf8175e8b288a7d0d59180bd0db822411204bc4d4bbc5a4f96,5d0c261541cde2bc338e04197e7927d012f8d17a,2026-07-16,2026-08-02
MT,Weyerhaueser,weyerhaueser,Weyerhaueser,filed,Timber,,,,,,,,,,,,,,,,,n:weyerhaueser,,,Flathead County,30029,48.295422,-114.052059,county,Flathead,2016-06-22,2016-09-04,100,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,7805996c5f20064ce972be4541c5fb5ce4d98f89ae3971ca671a7a34,7d1c275a2c16ab87cd80734e23babf797ed716aa,2026-07-16,2026-08-02
MT,B/E Aerospace,b e aerospace,BE Aerospace,wikidata,Manufacturing,31-33,sector-name,establishment,861361,,exact,3728,"Aircraft Parts & Auxiliary Equipment, NEC",,,,Q4835506,cik,,,automatic,qid:Q4835506,Great Falls city,3032800,Cascade County,30013,47.502518,-111.29997,place,Great Falls,2017-03-21,2017-06-30,80,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,3c1486782536417ce66b50e5f7b2ab4cc8d20fd4d5d441f52db8d224,31ad55750294c27c1fad39a3fc595c377bc1aad5,2026-07-16,2026-08-02
MT,Boyd Coffee Company,boyd coffee,Boyd Coffee Company,filed,Manufacturing,31-33,sector-name,establishment,,,,,,,,,,,,,,n:boyd coffee,Lolo CDP,3044650,Missoula County,30063,46.771857,-114.108453,place,Lolo,2018-04-18,2018-10-01,1,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,c5052a38bb2f5e23599c39347d800aad502d28c7592267e1321beae1,efbd9e7af08040d31cc86900ab62045f97acdddd,2026-07-16,2026-08-02
MT,RY Timber,ry timber,RY Timber,filed,Timber,,,,,,,,,,,,,,,,,n:ry timber,,,Broadwater County,30007,46.329849,-111.497873,county,Broadwater,2020-01-13,2020-04-01,70,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,9377e85f021d88262ffbdae6d6d816ec29e962025ee0a5af42c00f1f,10eac76413635cb4cca607cc54b78779ce0be909,2026-07-16,2026-08-02
MT,JC Penney,jc penney,JC Penney,filed,Retail,44-45,sector-name,establishment,,,,,,,,,,,,,,n:jc penney,Missoula city,3050200,Missoula County,30063,46.874359,-114.026136,place,Missoula,2020-02-10,2020-04-25,67,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,cd49985046125be9f068c1bba53b4c40d86037c42c229a70f1b86eff,d1aca57795d7ab7ad29ccb2aecf14a1f913123b9,2026-07-16,2026-08-02
MT,Hilton Garden Inn - Kalispell,hilton garden inn kalispell,Hilton Garden Inn,wikidata,Hospitality,72,employer,establishment,,,,,,,,,Q1162859,label,Hilton Worldwide,,automatic,qid:Q1162859,,,Flathead County,30029,48.295422,-114.052059,county,Flathead,2020-03-24,2020-03-25,48,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,ee831ba0727483412cbd0ba5cc0ff0b3f770874498d2cc7042ceb5a3,20596ebd7ca970f091fab2622e7e18c047fbcc93,2026-07-16,2026-08-02
MT,ALSCO,alsco,Alsco Inc.,wikidata,Hospitality,,,,,,,,,,,5493002QZKTXPMZE9V93,Q60752605,label,,,automatic,qid:Q60752605,,,Yellowstone County,30111,45.936987,-108.276656,county,Yellowstone,2020-03-25,2020-03-25,5,unknown,,0,0,1,https://wsd.dli.mt.gov/wioa/related-links/warn-notice-page,1644d977d53b70967a662a8623512f73454d7db1b37e104ec011a4e5,e736a5ac2b586b1ce5cfff2ed92d5f853158a765,2026-07-16,2026-08-02
