state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,affected_site_address,affected_site_city,site_role,employer_mailing_address,employer_name_verbatim,letter_date,agency_received_date,agency_notification_date,agency_processed_date,source_record_urls,source_locators,source_status,timing_qc,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
NC,0,0,0,filed,,,,,,,,,,,,,,,,,,n:0,,,Buncombe County,37021,35.609371,-82.530423,county:filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,2535d7a7b7fdff19bb6646aed07fb26e49c551a4941543dc0d76318e,19818c07559ba10db855cd5da63532eb84a1b79a,2026-09-24,
NC,1,1,1,filed,,,,,,,,,,,,,,,,,,n:1,,,Brunswick County,37019,34.038754,-78.227765,county:filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,08a3f229bbc20d680270cf2c4a0a4ae3a2bf8504084b2bf651d36cac,16ebcca508dd0f1f80409e206e8afebb032b1b75,2026-09-24,
NC,2,2,2,filed,,,,,,,,,,,,,,,,,,n:2,,,Guilford County,37081,36.079065,-79.788665,county:filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,521ae522d8920bc1c81e8b122ea9f8e761b9d06326358fdf30fb6899,123d216445149d06e30971703f10ebfadbddf646,2026-09-24,
NC,3,3,3,filed,,,,,,,,,,,,,,,,,,n:3,,,Alamance County,37001,36.043954,-79.400573,county:filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,5788f3e7d47ad8384cea35640fdcf1ff07888d364c380edeaae95c0c,4d2f5c5d61c9e6ce8c258a39dc9ae7eaed7ff698,2026-09-24,
NC,4,4,4,filed,,,,,,,,,,,,,,,,,,n:4,,,Lee County,37105,35.476336,-79.172117,county:filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,30d801cec3fc39961104e1c5d22add14f0045b8cdd634f7ccd3f5c5f,ebe86bbc55215ee0c6e236dba2e74d3f25029995,2026-09-24,
NC,6,6,6,filed,,,,,,,,,,,,,,,,,,n:6,,,Durham County,37063,36.033828,-78.878125,county:filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,af09469d49001ea9d096210499028e11c75a3ee0142285137058c80b,88949115d9468fbca357a1c3754d552f7ad85fc0,2026-09-24,
NC,"Champion Home Builders, Inc.",champion home builders,"Champion Home Builders, Inc.",filed,,321991,sec-sic,enterprise,19144,,exact:post-era,2451,Mobile Homes,,,,,,,,automatic,cik:19144,Salisbury city,3758860,Rowan County,37159,35.666161,-80.492629,place,,,,,,,,,,,,,,Salisbury,,2014-01-13,day,reported,2014-03-13,day,reported,,,,,"{""date_evidence_rule"": ""labeled_source_day_match_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2014-03-13"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Effective Date""}, ""notice_date"": {""matched_day"": ""2014-01-13"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Date of Notice""}}}",93,closure,0,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,c2d428fce571723e7d3ba77ad79303301a007ccc25c339b8de0eccc6,11ec3e7f071ad03ea5910bd9309e0d8f3b0ef7ab,2026-09-24,
NC,"Flambeau, Inc.",flambeau,"Flambeau, Inc.",filed,,551114,employer,,,,,,,,,,,,,,,n:flambeau,Weldon town,3771780,Halifax County,37083,36.423998,-77.612986,place,,,,,,,,,,,,,,Weldon,,2014-01-20,day,reported,2014-06-30,day,reported,,,,,"{""date_evidence_rule"": ""labeled_source_day_match_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2014-06-30"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Effective Date""}, ""notice_date"": {""matched_day"": ""2014-01-20"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Date of Notice""}}}",120,closure,0,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,52feba6d2f2758b7eb0f4abbfad228f5e3ea62e39a485af06e134a98,43a92aa33e307f6e199fc17291f1b4924e8de93a,2026-09-24,
NC,Heritage Home Group,heritage home group,Heritage Home Group,filed,,,,,,,,,,,,,,,,,,n:heritage home group,Thomasville city,3767420,Davidson County,37057,35.881308,-80.081549,place,,,,,,,,,,,,,,Thomasville,,2014-01-21,day,reported,2014-03-21,day,reported,,,,,"{""date_evidence_rule"": ""labeled_source_day_match_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2014-03-21"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Effective Date""}, ""notice_date"": {""matched_day"": ""2014-01-21"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Date of Notice""}}}",84,closure,0,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,caf5bd04f42929b347759a68a42b3aacf791789a25e5aceb84adba08,0208e1b69aed189a27143c0b31227eeb9f9e2d53,2026-09-24,
NC,Vidant Pungo Hospital,vidant pungo hospital,Vidant Pungo Hospital,filed,,,,,,,,,,,,,,,,,,n:vidant pungo hospital,Belhaven town,3704640,Beaufort County,37013,35.542961,-76.623111,place,,,,,,,,,,,,,,Belhaven,,2014-01-27,day,reported,2014-04-01,day,reported,,,,,"{""date_evidence_rule"": ""labeled_source_day_match_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2014-04-01"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Effective Date""}, ""notice_date"": {""matched_day"": ""2014-01-27"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Date of Notice""}}}",76,closure,0,0,0,1,https://www.commerce.nc.gov/data-tools-reports/labor-market-data-tools/workforce-warn-reports,f50872084f2eb8497cb823ac3b5394efa2568c0b55468c49ef545f68,1b81d674b52647a97a27b1a46623f569d4ceeb06,2026-09-24,
