state,employer_name,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
ND,EGS Customer Care Inc,"Fargo, ND",2015-07-31,2015-12-31,95,unknown,,0,0,1,https://www.jobsnd.com/documents,f590484c8a4186264ccf1cc15d4924e763d4be8c9c96dd42e6d80636,040ac9d8944f0c57bf65582ba3da7978c2648027,2026-07-16,2026-07-26
ND,EGS Customer Care Inc,"Fargo, ND",2015-08-02,2015-12-31,40,unknown,,0,0,1,https://www.jobsnd.com/documents,e0b98f59656bf702a0d3f3bcb718240fecaeeab6b69598e0b884a866,47ba331ac701522efa29869d525162ee7dc0c76a,2026-07-16,2026-07-26
ND,Benchmark Electronics Inc,"Dunseith, ND",2015-08-31,2015-11-01,72,unknown,,0,0,1,https://www.jobsnd.com/documents,41bdd45b5db153d5c9bcecd1a8dd5318fb77d55c0d10ee06d24ec9f1,fd751bbff64812f3fb6939e6b000c8c93f6f56d0,2026-07-16,2026-07-26
ND,Pumpco,"Minot, ND",2015-09-02,2015-09-05,69,unknown,,0,0,1,https://www.jobsnd.com/documents,a8bcdec8a1dfb17d97464cd82927cb9c27a35f66f8eae64539fd23e7,ee46a72dd01a749ae4da2714bc172a59c0c0fb86,2026-07-16,2026-07-26
ND,EGS Customer Care Inc,"Fargo, ND",2015-09-22,2015-12-31,20,unknown,,0,0,1,https://www.jobsnd.com/documents,29420c2bcb2c6a72a2e2e5a0c24abad5c38da6a5295c8827bcd6970c,fafcd139b9cf1a7d44536bcd3bfacaaf090330dc,2026-07-16,2026-07-26
ND,Baker Hughes,"Dickinson, ND",2015-10-05,2015-09-23,117,unknown,,0,0,1,https://www.jobsnd.com/documents,64cac7020eaefc2d060e173246bff49b8e38b2cb964ee28557d33cb0,64be84b59d6cd923ff31b9e1d05f77a2fd79df38,2026-07-16,2026-07-26
ND,Fidelity Exploration & Production Co,"Stanley, ND",2015-11-09,2015-12-17,3,unknown,,0,0,1,https://www.jobsnd.com/documents,91a13511233aa5ef3529d2cbf0c2e4ea825f37d62d8426a43ac7b1ff,6137c049fce975afeebdb7921e99e74c6fa9115f,2026-07-16,2026-07-26
ND,Dakota Westmoreland,"Beulah, ND",2016-01-08,2016-03-08,95,unknown,,0,0,1,https://www.jobsnd.com/documents,26cddd3dce138bd24097ce5a5b8cb2c3d6204f5d4f71ecd91d89e944,65e9f39e62cbc5b170c252f135d4e480d9c4a58b,2026-07-16,2026-07-26
ND,MAC Inc,"Bismarck, ND",2016-02-17,2016-07-29,73,unknown,,0,0,1,https://www.jobsnd.com/documents,ef08c8a9eac41910453137f8d0785bef28f75432f6ee47dc9db3f94f,c7dc091e0733762d62b013430dcc826294b41a70,2026-07-16,2026-07-26
ND,Pizza Corner Inc,"Valley City, ND",2016-03-18,2016-03-20,130,unknown,,0,0,1,https://www.jobsnd.com/documents,86f44473a460c568f5ec92d9e78c2b96d6e1d9d0b9c6da06f73d6aa3,6204dd1da32e54cd15398892212628fdc2576b70,2026-07-16,2026-07-26
ND,Calfrac Well Services Corp,"Williston, ND",2016-04-27,2016-06-26,11,unknown,,0,0,1,https://www.jobsnd.com/documents,0349a03013e1c508f0468fb31916f3341a16893a5956413f6e8afea8,7d19b05e8d108833b484c35fd0e9901920c99daa,2026-07-16,2026-07-26
ND,Calfrac Well Services Corp,"Williston, ND",2016-05-04,2016-07-03,3,unknown,,0,0,1,https://www.jobsnd.com/documents,7c8c05662b25fa97e4adea683a46735a57d95175dae9806dd21ba349,b6933fb21590d0cdd997fb6055e112a5d642a29c,2026-07-16,2026-07-26
ND,Sanjel,"Williston, ND",2016-05-05,2016-05-31,148,unknown,,0,0,1,https://www.jobsnd.com/documents,314695663fdd5f7a630b8d0030e63b6817a068be88e47f35c332ccab,1be4d33361ab1193573996a41c152d57b34ed400,2026-07-16,2026-07-26
ND,Calfrac Well Services Corp,"Williston, ND",2016-05-18,2016-07-17,55,unknown,,0,0,1,https://www.jobsnd.com/documents,205fc8755c9c4980e09dc8a6f9122a5608b30c74166fc300682d6c13,5b0e450a40e794e2c4450891e3333df20516935b,2026-07-16,2026-07-26
ND,Proactive Technologies Inc,"Minot, ND",2016-09-07,2016-10-31,10,unknown,,0,0,1,https://www.jobsnd.com/documents,a69c8e7a184463fabcf2666377e568f39a3b669ede92fcd1800f2943,141794f7bb4441b8d678f41dd6223e2f37286e5a,2026-07-16,2026-07-26
ND,XPO Logistics,"Bismarck, ND",2016-10-27,2016-12-31,345,unknown,,0,0,1,https://www.jobsnd.com/documents,0940e9dbadb58d52d6f59d01773047dba70ddda8ff2430b25c2d8640,21a3212ebb9d39afec38b2032e5c1346e8324da1,2026-07-16,2026-07-26
ND,Experience Works,Multiple sites,2016-11-07,2006-11-15,5,unknown,,0,0,1,https://www.jobsnd.com/documents,6a231d5e97f600f25fd39426e0b0e3b156506e4465ee337b6201192f,b11e0bdb965eb5e59a8cf4fb45e6a05eca69e487,2026-07-16,2026-07-26
ND,Rust Contractors Inc,"Beulah, ND",2017-02-10,2017-01-10,387,unknown,,0,0,1,https://www.jobsnd.com/documents,54eb34106b9ab0ae5c933021a6ff105d2e555dcd9bbc735e8f84276d,20cfc4fba4a49baa1d60c94d8099a70e053d61a5,2026-07-16,2026-07-26
ND,Vanity Inc,Multiple sites,2017-02-28,2017-04-28,104,unknown,,0,0,1,https://www.jobsnd.com/documents,8837b253c2a5704b8b4d7be7930c85a9ec3afb85dfea227c37daf72e,3cfe970e461723ca7e7300d5ba23a63e36b470f9,2026-07-16,2026-07-26
ND,HERE North America LLC,"Fargo, ND",2017-08-29,2017-10-29,173,unknown,,0,0,1,https://www.jobsnd.com/documents,d9fc144928d6fcfc91e11fa15b881a5fb3debab03427b2705a3ac887,012ec9e36faf1a5313acabeb1e4f395e5de90418,2026-07-16,2026-07-26
ND,Atos IT Solutions & Svcs Inc,"Fargo, ND",2017-10-11,2017-10-11,223,unknown,,0,0,1,https://www.jobsnd.com/documents,2a3b7c1a16e4f46cf157844cbc225af53dc30b8ae0e5f0a64d609e1b,2f2e110173deeef7de32b4a5c3c40ea2d8cc0007,2026-07-16,2026-07-26
ND,Keywords Studios PLC,"Fargo, ND",2018-10-29,2018-12-31,67,unknown,,0,0,1,https://www.jobsnd.com/documents,c0bf1b0abd38bb16f179485b76b726b8ecb5d7c3eab5c5f3d823b41a,e50c72f47615b9dd1d419a76d06bb41f15c057c2,2026-07-16,2026-07-26
ND,Hornbachers,"Grand Forks, ND",2018-12-03,2019-02-04,98,unknown,,0,0,1,https://www.jobsnd.com/documents,3d396490830a1790a8f94cf6962c4a6265b5edb5581e5acca7f32aee,2c9bf47739649013b13c053eda1b156a476d6a24,2026-07-16,2026-07-26
ND,Wells Concrete,"Grand Forks, ND",2019-11-18,2019-12-31,95,unknown,,0,0,1,https://www.jobsnd.com/documents,9373458a69d444c6a2a82ffd84181c93bd686544445b65eee1faba38,698423e1595f4299fdd966d91dfe682c67fdb06b,2026-07-16,2026-07-26
ND,Wells Fargo,"Fargo, ND",2020-01-23,2020-03-22,57,unknown,,0,0,1,https://www.jobsnd.com/documents,79e669b0b7a4e91ac4044aeab3834f1b02ce439cc17fed88ab19963b,04118a6d20eeb92454407d0f6f40ec4f2391b396,2026-07-16,2026-07-26
ND,MBI Energy Services,"Belfield, ND",2020-03-16,,146,unknown,,0,0,1,https://www.jobsnd.com/documents,d8a36e2541e9b7da4b1a650d5f2a63fd4b07979ca445631e4dbac864,12f0250a21dabde6a9fb5a2a0096b2ab9d612343,2026-07-16,2026-07-26
ND,MBI Energy Services,"Ross & Watford City, ND",2020-03-16,,96,unknown,,0,0,1,https://www.jobsnd.com/documents,cad971a5eff23e48f9ff28c01c42fac2dad43146dd56e9536fbfb038,5c2922a3fe20d5236a564e22737b799f3c0d37fa,2026-07-16,2026-07-26
ND,Steffes,"Grand Forks & Dickinson, ND",2020-03-24,2020-03-25,198,unknown,,0,0,1,https://www.jobsnd.com/documents,85ee033fd661355bb6f835701e2bafe28e71376b0787009e462068fa,cb66e0a8cc1fd870ab600892c426c074e2cf71ed,2026-07-16,2026-07-26
ND,Calfrac Well Services Corp,"Williston, ND",2020-03-25,2020-03-25,212,unknown,,0,0,1,https://www.jobsnd.com/documents,9ab810fa173fbca0fa15088680aa7d7f509b2eb1c19661e409b5b8a9,287bcb276e6bb09eb24f7ffc4c9f75289319214a,2026-07-16,2026-07-26
ND,Novum Pharmaceutical,"Fargo, ND",2020-03-27,,77,unknown,,0,0,1,https://www.jobsnd.com/documents,46456679ad39911615c030ef9d6b47604538bf44eeab4fbe32c7ca83,dc571d5bddb43a15510cadd09a2307f7f32a7564,2026-07-16,2026-07-26
ND,Liberty Oilfield Svcs LLC,"Williston, ND",2020-04-02,2020-04-02,204,unknown,,0,0,1,https://www.jobsnd.com/documents,c85b43a3180f3d74c9dcdb2cdd1848ddb1d6bae5b10971c302a1d6e8,4314e526eaef76f908ee8fab1bb8cc71efc5a2f7,2026-07-16,2026-07-26
ND,Holister Company,"Fargo, ND",2020-04-08,2020-04-12,22,unknown,,0,0,1,https://www.jobsnd.com/documents,0e3b494d5b3c898901eeb4476d4e723e5937709aa5832c6288fe87e1,f8ee3657beafbde4fde693b96eaf884d522f2c5b,2026-07-16,2026-07-26
ND,Calfrac Well Services Corp,"Williston, ND",2020-04-20,2020-05-01,83,unknown,,0,0,1,https://www.jobsnd.com/documents,658d9f9b5a9a79737a1218d5f0d294bd1e54d28c8a6e39b763f3cca5,79301282ae1807c91834384515a1f0067054ff1d,2026-07-16,2026-07-26
ND,Vision Works,"Fargo, ND",2020-04-23,2020-04-04,5,unknown,,0,0,1,https://www.jobsnd.com/documents,16c86fcf6f69778ad0888c08dd7284cc07cdec4554831da55aebcf7c,9726658866e6d950003f3afb028a83b6eed2005b,2026-07-16,2026-07-26
ND,PerfX Wire Services LLC,"Williston, ND",2020-05-19,2020-03-21,130,unknown,,0,0,1,https://www.jobsnd.com/documents,044b1ce6366b81fa90091671a26f12f74779feaee23fc203bcad0b8f,1edd0808599bd57f7f057247d6394bbec72bb0f6,2026-07-16,2026-07-26
ND,PerfX Wire Services LLC,"Minot, ND",2020-05-19,2020-03-21,130,unknown,,0,0,1,https://www.jobsnd.com/documents,563be7d004911c0768639b1cb3bed0e743de91245f797bf2bafa1d8e,cc5cc6d8d66b3e454da88422f0c0c643b9d3460a,2026-07-16,2026-07-26
ND,Hilton Garden Inn Hotel,"Fargo, ND",2020-07-02,2020-06-30,68,unknown,,0,0,1,https://www.jobsnd.com/documents,6142e0b09fb28ea1bbc03e8b58aa9b361395650eb2dbff6553127208,ed7aca85da14c3f77f8abdfef69a8d7ada22a0c9,2026-07-16,2026-07-26
ND,Home2Suites Hotel,"Fargo, ND",2020-07-02,2020-06-30,10,unknown,,0,0,1,https://www.jobsnd.com/documents,ff4fd3a177322c4a385b1519c7f9d2610523154f6e5c595cc207eab5,a78294860bee434d472b33acf945507a81e397b6,2026-07-16,2026-07-26
ND,BJ Services LLC,"Dickinson, ND",2020-07-19,2020-08-02,122,unknown,,0,0,1,https://www.jobsnd.com/documents,64f7e5b424cdce5523e4eed7deb49e7109c827aa8ce73f94f7f50666,f69adb7c73d5d9d8f41607a813bbe65f8629651f,2026-07-16,2026-07-26
ND,Watsonville Community Hospital,"Watsonville, CA",2022-08-15,2022-08-30,670,unknown,,0,0,1,https://www.jobsnd.com/documents,f89ccb9cc5834cde3000a5f02b2f1e140ce2747785d71598762dea93,cae2d402c9c649398943bc345d4ab77a87b0f3b1,2026-07-16,2026-07-26
ND,Archway Marketing Services,"Fargo, ND",2022-09-19,2022-11-23,304,unknown,,0,0,1,https://www.jobsnd.com/documents,6bc6a1bea8baf16d8ba91e6a3eba1d79aad10855c87c3e8c1dce5ade,a2e5a27dd6392752c58e02f23e2220a6bfb76ab8,2026-07-16,2026-07-26
ND,"Summit Technical Solutions, LLC","Cavalier, ND",2023-02-15,2023-03-01,53,unknown,,0,0,1,https://www.jobsnd.com/documents,b200b927aa43a1a807bb0ad0e6bb17dd57f2db4caf0a3031bc6da4c1,0e20ac51e6e0681af35c7c67830fc051d670d200,2026-07-16,2026-07-26
ND,Yellow Corporation,"Nationwide (ND locations: Fargo, Bismarck, & Minot)",2023-07-30,2023-07-30,14,unknown,,0,0,1,https://www.jobsnd.com/documents,32fd56d88c255ecb401505bdfdcefefb779ff5da0290cb1d17ac1ece,c5dd0cd46a20413cc2d65c38a7cb82230c288b66,2026-07-16,2026-07-26
ND,"Hershey Salty Snack Company (Dot's Pretzels, LLC)","Velva, ND",2023-08-22,2023-10-27,27,unknown,,0,0,1,https://www.jobsnd.com/documents,2b708b5cccb4e0c7534a0f272af0fbd72285a8c5b23e7d1302362956,1264e35a455e3705743b9272b2b9cda69713316f,2026-07-16,2026-07-26
ND,Sheyenne Dakota Inc.,"West Fargo, ND",2023-10-02,,25,unknown,,0,0,1,https://www.jobsnd.com/documents,1f0d4d2c0f0be43fd79ef163259d55839e771424fc941f7f00bbdf56,e1228d74f4080f85c42deb386a661194d8e6e709,2026-07-16,2026-07-26
ND,"Cygnus Home Service, LLC (dba Yelloh)","Bismarck, ND",2023-10-25,2023-12-15,11,unknown,,0,0,1,https://www.jobsnd.com/documents,d0d2581dc27a576783bbe15e74083ccf295c630af2130a1c46a9e439,eb2788888a1ac903cdcb690047e5eb48177f3efa,2026-07-16,2026-07-26
ND,"Cygnus Home Service, LLC (dba Yelloh)",Minnesota,2024-05-28,,5,unknown,,0,0,1,https://www.jobsnd.com/documents,601c976d76385a339886615be5675298fc11921755931c3621ff55a8,e152343d0a41c92f24a4771fd5d6f5d1663be9ed,2026-07-16,2026-07-26
ND,"Cygnus Home Service, LLC (dba Yelloh)",Nationwide,2024-09-23,,1,unknown,,0,0,1,https://www.jobsnd.com/documents,895385ffe4b1ce2c9c58b2b22e0b9e16f0bdb85f6764732ac718f49f,d839f86d7c2584171bb9debf876a91ac7973a2b7,2026-07-16,2026-07-26
ND,"Vimo, dba GetInsured",Nationwide - Remote,2024-12-20,,430,unknown,,0,0,1,https://www.jobsnd.com/documents,778656074815b674522d9806dd4b436929d4461f1aad5449971062ae,c0dcf15c4a5223e2c8c45101abcc3e36467efc52,2026-07-16,2026-07-26
ND,ProFrac,"Dickinson, ND",2025-03-03,,5,unknown,,0,0,1,https://www.jobsnd.com/documents,2a763acea6493219bc21c9683220139ea11db16ac8f3bd23f1213c73,d3a3562e70b94e6527c44569febc972a0a30c442,2026-07-16,2026-07-26
ND,Accelerate360 Distribution,Nationwide - Remote,2025-04-25,,324,unknown,,0,0,1,https://www.jobsnd.com/documents,02360f5d495359ffda1e9ee73a89e5620181adfeeace5fecec4ebacb,b92f6982a909a80f2b34763db614e524b1e617f0,2026-07-16,2026-07-26
ND,Hess Corporation,"Minot, ND",2025-07-21,,111,unknown,,0,0,1,https://www.jobsnd.com/documents,cde83f6cd93c4116e7c211458201d629db33535abfcf36c2d998d603,3332d5bd99cfce1b06a27711a2e8cc0db3378a71,2026-07-16,2026-07-26
