state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
NJ,* Most employees of companies marked with asterisk will be rehired by buyer,most employees of companies marked with asterisk will be rehired by buyer,* Most employees of companies marked with asterisk will be rehired by buyer,filed,,,,,,,,,,,,,,,,,,n:most employees of companies marked with asterisk will be rehired by buyer,,,,,,,,,,,,,,,,,,,NJ:raw-row:d04c18c4025a4c9c92b0486cbaabd42e5b80d1f603f1fd16d374eb104245d5df,"{""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": null, ""precision"": ""unknown"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": """", ""year"": null}], ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""d04c18c4025a4c9c92b0486cbaabd42e5b80d1f603f1fd16d374eb104245d5df""}",,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,9de50b0733dfc39b52b8c27d618fc5a7aab0033401bd1f87c70eaadc,80ada32d0cd239f7ee1ef7657f6e7fcec0cbe807,2026-09-24,
NJ,118 Churchill Avenue Corporation,118 churchill avenue,118 Churchill Avenue Corporation,filed,,,,,,,,,,,,,,,,,,n:118 churchill avenue,New Brunswick city,3451210,Middlesex County,34023,40.486677,-74.444414,place,New Brunswick,,,,,2013-12-12,day,reported,,,,NJ:raw-row:2cdc9c947dede3978e435b648876984ecb6a983177c07043abca62736f2e4fa5,"{""date_evidence_rule"": ""nj_effective_field_v1"", ""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": 10, ""precision"": ""month"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": ""October"", ""year"": null}], ""effective_date_source_field"": ""Effective Date"", ""effective_date_source_text"": ""2013-12-12 00:00:00"", ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""2cdc9c947dede3978e435b648876984ecb6a983177c07043abca62736f2e4fa5""}",138,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,92bc00f893dfde5cb8380b7d3d3c4caff4894fca6e10f5a46bd39fcd,08ed67e68676b0d5942f756bd6345dbe70ce6af6,2026-09-24,
NJ,1230 Rt 22 Restaurant LLC,1230 rt 22 restaurant,1230 Rt 22 Restaurant LLC,filed,,,,,,,,,,,,,,,,,,n:1230 rt 22 restaurant,Mountainside borough,3448510,Union County,34039,40.680722,-74.360292,place,Mountainside,,,,,2020-03-20,day,reported,,,,NJ:raw-row:27fffc273ea6da288ca00e94763060a85954a2f4cf4b0b93b8746b2498b83805,"{""date_evidence_rule"": ""nj_effective_field_v1"", ""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": 3, ""precision"": ""month"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": ""March"", ""year"": null}], ""effective_date_source_field"": ""Effective Date"", ""effective_date_source_text"": ""2020-03-20 00:00:00"", ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""27fffc273ea6da288ca00e94763060a85954a2f4cf4b0b93b8746b2498b83805""}",51,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,096eec5f52daaff318a04dfe62cd68fb7774c0a477462255770af167,cb959e5c8f466cd553c4d6462a0eb507aadf361b,2026-09-24,
NJ,1266 Apartment Corp.,1266 apartment,1266 Apartment Corp.,filed,,,,,,,,,,,,,,,,,,n:1266 apartment,Fort Lee borough,3424420,Bergen County,34003,40.85064,-73.971007,place,Fort Lee,,,,,2023-04-07,day,reported,,,,NJ:raw-row:94c9b87ef82f99f13823bb5aea3affdbb21ce1e85a4263b2214fb0a7fdbce26d,"{""date_evidence_rule"": ""nj_effective_field_v1"", ""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": 2, ""precision"": ""month"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": ""February"", ""year"": null}], ""effective_date_source_field"": ""Effective Date"", ""effective_date_source_text"": ""2023-04-07 00:00:00"", ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""94c9b87ef82f99f13823bb5aea3affdbb21ce1e85a4263b2214fb0a7fdbce26d""}",81,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,271178575025e423711469a3e1544f346a583e1a8ceee0cde9c4c293,5ee335b7588ec997411c6b8a095fcfb9ce7e0be8,2026-09-24,
NJ,1266 Apartment Corporation (Horizon House),1266 apartment corporation horizon house,1266 Apartment Corporation,cleaned,,,,,,,,,,,,,,,,,,n:1266 apartment,Fort Lee borough,3424420,Bergen County,34003,40.85064,-73.971007,place,Fort Lee,,,,,2019-04-18,day,reported,,,,NJ:raw-row:48e6e0751a7113322e6f3bb73723ee63fec4cd31334ae7d25bbc5f7a6870cbb8,"{""date_evidence_rule"": ""nj_effective_field_v1"", ""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": 1, ""precision"": ""month"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": ""January"", ""year"": null}], ""effective_date_source_field"": ""Effective Date"", ""effective_date_source_text"": ""2019-04-18 00:00:00"", ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""48e6e0751a7113322e6f3bb73723ee63fec4cd31334ae7d25bbc5f7a6870cbb8""}",78,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,6006aae746ecc74e10a92a2522fdf928a1133ff6866e6c390b07c791,472234a8550c2804167f4ee4dcb3936c0fd69cd9,2026-09-24,
NJ,1961,1961,1961,filed,,,,,,,,,,,,,,,,,,n:1961,Princeton Junction CDP,3460960,Mercer County,34021,40.323172,-74.621871,place,Princeton junction,,,,,2020-03-20,day,reported,,,,NJ:raw-row:ad89608bb54c148479058c0bd8528febda7872376717959832654b2609185a0b,"{""date_evidence_rule"": ""nj_effective_field_v1"", ""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": 6, ""precision"": ""month"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": ""June"", ""year"": null}], ""effective_date_source_field"": ""Effective Date"", ""effective_date_source_text"": ""2020-03-20 00:00:00"", ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""ad89608bb54c148479058c0bd8528febda7872376717959832654b2609185a0b""}",,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,72b88da30144be126f7be2d34e59066eee9b6a5f28205bcd7aedb820,ddedb68bda5ee636e06effd4e8dff419f7135985,2026-09-24,
NJ,3M,3m,3M,wikidata,,33,sec-sic,enterprise,66740,MMM,exact,3841,Surgical & Medical Instruments & Apparatus,,,,Q159433,cik,,,automatic,qid:Q159433,Belle Mead CDP,3404630,Somerset County,34035,40.468584,-74.657017,place,BELLE MEAD,,,,,2007-11-05,day,reported,,,,NJ:raw-row:a01957cc02f7baf599f99bd1de19d2078aca76828d4775b1398e754070a011bb,"{""date_evidence_rule"": ""nj_effective_field_v1"", ""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": 10, ""precision"": ""month"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": ""October"", ""year"": null}], ""effective_date_source_field"": ""Effective Date"", ""effective_date_source_text"": ""2007-11-05 00:00:00"", ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""a01957cc02f7baf599f99bd1de19d2078aca76828d4775b1398e754070a011bb""}",87,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,043ffff309d3dfe2ed99d40a141df0c59c7a1b83881955e7d91d5a4f,3d90ac49c7ab51405a13c8c162007bf129bab067,2026-09-24,
NJ,986 Restaurant Corp,986 restaurant,986 Restaurant Corp,filed,,,,,,,,,,,,,,,,,,n:986 restaurant,,,,,,,,Parlin,,,,,2020-03-20,day,reported,,,,NJ:raw-row:67d68b83e8a79d74d47c72918734ab976e177eb6a0fb7ce0e53dfd268bd6b515,"{""date_evidence_rule"": ""nj_effective_field_v1"", ""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": 3, ""precision"": ""month"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": ""March"", ""year"": null}], ""effective_date_source_field"": ""Effective Date"", ""effective_date_source_text"": ""2020-03-20 00:00:00"", ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""67d68b83e8a79d74d47c72918734ab976e177eb6a0fb7ce0e53dfd268bd6b515""}",35,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,9ba3c5a443a2879ca57a8cb5690d1c020f350da8fea9684d8aaa38c9,0e3e215328c7e79a600c6e8fe09d85c4b60b8ad6,2026-09-24,
NJ,A & P,a p,A & P,filed,,,,,,,,,,,,,,,,,,n:a p,Bayonne city,3403580,Hudson County,34017,40.662495,-74.110201,place,Bayonne,,,,,2012-03-10,day,reported,,,,NJ:raw-row:ad2382e91280bbb0662d2adddd2663bd20d6cc303041012327823f546dc04b1f,"{""date_evidence_rule"": ""nj_effective_field_v1"", ""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": 1, ""precision"": ""month"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": ""January"", ""year"": null}], ""effective_date_source_field"": ""Effective Date"", ""effective_date_source_text"": ""2012-03-10 00:00:00"", ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""ad2382e91280bbb0662d2adddd2663bd20d6cc303041012327823f546dc04b1f""}",89,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,651a3b3ee9de032bfa873a4c0ca4cd206a5428be4069fb5bdee71c6c,10cd229169ad5323f43fcfc632ab2f2d6e3139ed,2026-09-24,
NJ,A & P,a p,A & P,filed,,,,,,,,,,,,,,,,,,n:a p,Kearny town,3436510,Hudson County,34017,40.752332,-74.123093,place,Kearny,,,,,2012-03-10,day,reported,,,,NJ:raw-row:1023a11837bf27be0da3dddfae0d70b32fc75ffc9cc5242ac7bd1cbe1dcb680e,"{""date_evidence_rule"": ""nj_effective_field_v1"", ""dates"": [{""basis"": ""reported"", ""date"": null, ""month"": 1, ""precision"": ""month"", ""role"": ""posting_month"", ""source_field"": ""Month Posted"", ""source_text"": ""January"", ""year"": null}], ""effective_date_source_field"": ""Effective Date"", ""effective_date_source_text"": ""2012-03-10 00:00:00"", ""identity_basis"": ""raw_row_observation"", ""source_row_sha256"": ""1023a11837bf27be0da3dddfae0d70b32fc75ffc9cc5242ac7bd1cbe1dcb680e""}",129,unknown,,0,0,1,https://www.nj.gov/labor/employer-services/warn/,9970614c09ccd19fcaf80c59f7c75c860f2970686dd048e043b17625,fc48be896a6d505d3c239b5bd316aa258b9eefe2,2026-09-24,
