state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
NM,David's Bridal,david s bridal,David's Bridal,wikidata,,44,employer,establishment,,,,,,,,YEMD6E68QLMSL3ZMES44,Q5230388,label,,,automatic,qid:Q5230388,Albuquerque city,3502000,Bernalillo County,35001,35.10478,-106.646809,place,Albuquerque,,,2023-04-14,,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,eef8e5cd6d45f798d7dfa7ba3ea26c2c0fa72569bda53fed89a015b0,126eada4a871b83cdb116a7a0684ebefc705e610,2026-07-16,2026-08-02
NM,Smith's Food & Drug Store,smith s food drug store,Smith's Food & Drug Store,filed,,,,,,,,,,,,,,,,,,n:smith s food drug store,Socorro city,3573540,Socorro County,35053,34.054535,-106.906199,place,Socorro,,2016-01-19,2016-01-19,61,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,7985a3b376e776979a2e38ef80a2cbaafba6ab49ba9f98cb9b9d5649,b104d81999958c40d544ff2c580b7d76e0980df3,2026-07-16,2026-08-02
NM,Sprint,sprint,Sprint Corporation,wikidata,,5133,sec-sic,enterprise,101830,,exact,4813,Telephone Communications (No Radiotelephone),,,,Q301965,cik,T-Mobile US,,automatic,qid:Q301965,Rio Rancho city,3563460,Sandoval County,35043,35.28507,-106.698867,place,Rio Rancho,,2016-01-22,2016-01-22,406,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,76cb57744e0caa1894a70219ea346b0d9012221b995d3314bcc619ae,c36853da6dd0ca7691e698cfa5f9a497dd36fa81,2026-07-16,2026-08-02
NM,Coca-Cola Refreshments,coca cola refreshments,Coca-Cola Refreshments,filed,,541613,employer,establishment,,,,,,,,,,,,,,n:coca cola refreshments,Portales city,3559260,Roosevelt County,35041,34.177289,-103.355084,place,Portales,,2016-01-25,2016-03-25,52,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,6aa960197b0103d0761dca931d1595f0b4ccd5a7de759761fb4bf1c9,ff31c08ee0cc6746586109c8c60c0db62056c896,2026-07-16,2026-08-02
NM,Maslow Media Group,maslow media group,Maslow Media Group,filed,,,,,,,,,,,,,,,RELIABILITY INC,34285,,n:maslow media group,Albuquerque city,3502000,Bernalillo County,35001,35.10478,-106.646809,place,Albuquerque,,2016-02-18,2016-04-30,1,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,35ec6d11c6fe8497e981cfc40798825bd90b52ff1859fbd86257245d,55c37bfc6a859eb48e345af2d9fc25d9ba407159,2026-07-16,2026-08-02
NM,Caterpillar Emissions Solutions,caterpillar emissions solutions,Caterpillar Emissions Solutions,filed,,,,,,,,,,,,,,,,,,n:caterpillar emissions solutions,Santa Fe city,3570500,Santa Fe County,35049,35.661981,-105.981815,place,Santa Fe,,2016-02-22,2016-05-01,43,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,3dd6105382e5fb9b4d24efa350189e5dbe7b4d4ec7e7d742fe0601f5,0f8744f983c0098fb4bbbf42eccb5fcc3afa5a5f,2026-07-16,2026-08-02
NM,Devon Energy Corp,devon energy,Devon Energy,wikidata,,211111,sec-sic,enterprise,1090012,DVN,exact:listed,1311,Crude Petroleum & Natural Gas,,,,Q1206980,cik,,,automatic,qid:Q1206980,Artesia city,3505220,Eddy County,35015,32.852173,-104.42457,place,Artesia,,2016-02-29,2016-07-31,,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,bcade7498d4f4fc6015c259bdab2fef87c43f5e5252a20fc2eced638,b8a38e30e987f692a74f9f9f92d1eb1417d6b3ac,2026-07-16,2026-08-02
NM,Alorica,alorica,ALORICA INC.,gleif,,,,,,,,,,,,549300I7BKCLNE05U640,,,,,automatic,lei:549300I7BKCLNE05U640,Albuquerque city,3502000,Bernalillo County,35001,35.10478,-106.646809,place,Albuquerque,,2016-03-04,2016-05-08,160,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,7512b8a51010044021f84979e7fb813ef6039d02a01ab7eed4e4115e,1098748f7b44725bdf7869101b27839458ca8fc2,2026-07-16,2026-08-02
NM,"AVIS/Budget Car Rental Service, Inc.",avis budget car rental service,"AVIS/Budget Car Rental Service, Inc.",filed,,,,,,,,,,,,,,,,,,n:avis budget car rental service,Albuquerque city,3502000,Bernalillo County,35001,35.10478,-106.646809,place,Albuquerque,,2016-04-05,2016-06-07,58,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,9bac5ad5b6e798d27b8e8fbd9f4404dc9adda2f33af432e1038014cd,d3a0780bf1c0e1a4510f5b5ca39a5b85a6527a8b,2026-07-16,2026-08-02
NM,Albertsons Food Store,albertsons food store,Albertsons Food Store,filed,,,,,,,,,,,,,,,,,,n:albertsons food store,Rio Rancho city,3563460,Sandoval County,35043,35.28507,-106.698867,place,Rio Rancho,,2016-04-15,2016-06-18,81,unknown,,0,0,1,https://www.dws.state.nm.us/Rapid-Response,8fc6c4e025764891741ffa8ef09d01290160882808a0637d88f128ab,f8db54d17a610462240e6dfac0218fc373c01549,2026-07-16,2026-08-02
