state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
NV,Intuit Inc,intuit,Intuit,wikidata,,5612,employer,establishment,896878,INTU,exact,7372,Services-Prepackaged Software,,,,Q1318848,cik,,,automatic,qid:Q1318848,Reno city,3260600,Washoe County,32031,39.549097,-119.849907,place+county,"Reno, Washoe",,,162,mass_layoff,,0,0,1,https://detr.nv.gov/Page/WARN,aa97308b9151abd48f00fbb32c56a391535c9ba24f4c4fe72e3f9f7b,4291223fc17a658106d12f70a7e1da2e94728d13,2026-07-16,2026-07-28
NV,Save-A-Lot,save a lot,Save-A-Lot,filed,,44-45,sec-sic,enterprise,1659910,,exact,5411,Retail-Grocery Stores,,,,,,,,automatic,cik:1659910,Las Vegas city,3240000,Clark County,32003,36.233499,-115.264037,place+county,"Las Vegas, Clark",2017-01-19,2017-02-09,64,closure,,0,0,1,https://detr.nv.gov/Page/WARN,a44553b1fbcaa6b968174ae2428eeb4f6558afbfb3ba6629de4e3769,3b13802417ef55874a53518c0e5f425540d482f6,2026-07-16,2026-07-28
NV,Fresh & Ready Foods,fresh ready foods,Fresh & Ready Foods,filed,,,,,,,,,,,,,,,,,,n:fresh ready foods,North Las Vegas city,3251800,Clark County,32003,36.289865,-115.089181,place+county,"N. Las Vegas, Clark",2017-02-06,2017-04-10,67,closure,,0,0,1,https://detr.nv.gov/Page/WARN,166df976b90a74c6600cbff5664f81c76d1fd36b89c2979383e3ce17,8a14147680260076e5f3125d4c7607fb03e3efd6,2026-07-16,2026-07-28
NV,bebe,bebe,bebe,filed,,,,,,,,,,,,,,,,,,n:bebe,,,,,,,,"Re, He, LV, Wa, Cl",2017-03-27,2017-05-27,124,closure,,0,0,1,https://detr.nv.gov/Page/WARN,0d393850e49eb33561ca7ac707d7a194a03d33a4987f4789dc984ef7,2d38ffae26f37f793c02292944140b22820ef31c,2026-07-16,2026-07-28
NV,"UNR Med Integrated Clinical Services, Inc.",unr med integrated clinical services,"UNR Med Integrated Clinical Services, Inc.",filed,,,,,,,,,,,,,,,,,,n:unr med integrated clinical services,Las Vegas city,3240000,Clark County,32003,36.233499,-115.264037,place+county,"Las Vegas, Clark",2017-04-25,2017-06-30,327,closure,,0,0,1,https://detr.nv.gov/Page/WARN,4dfc51749499f664d2c01374720fca53dff87b846c89540eedcfe94d,c4e996fb62d8c0c52f3bfc2befd10afc2d6caff6,2026-07-16,2026-07-28
NV,Andre Agassi College Preparatory Academy,andre agassi college preparatory academy,Andre Agassi College Preparatory Academy,filed,,,,,,,,,,,,,,,,,,n:andre agassi college preparatory academy,Las Vegas city,3240000,Clark County,32003,36.233499,-115.264037,place+county,"Las Vegas, Clark",2017-05-09,2017-06-30,133,mass_layoff,,0,0,1,https://detr.nv.gov/Page/WARN,0bf50711a8a9e5db89a91843ff7f0477d9eac1a36380b2f21da76f4a,b6e8df95fd16d657acd9290906fe69856e5e8a81,2026-07-16,2026-07-28
NV,First Transit,first transit,First Transit,filed,,,,,,,,,,,,,,,,,,n:first transit,,,,,,,,"Re, He, LV, Wa, Cl",2017-05-09,2017-06-30,71,closure,,0,0,1,https://detr.nv.gov/Page/WARN,7064960fa484aee23af4ddfb981b65b1a5ff3857d2badd2a7a27f62a,d6b913875f04320c37cb128c046d8c40c240af4f,2026-07-16,2026-07-28
NV,JC Penney,jc penney,JC Penney,filed,,,,,,,,,,,,,,,,,,n:jc penney,Las Vegas city,3240000,Clark County,32003,36.233499,-115.264037,place+county,"Las Vegas, Clark",2017-05-24,2017-07-31,63,closure,,0,0,1,https://detr.nv.gov/Page/WARN,72076610b7a6496bffe4d5551f42e1ef62cd128e75c3ad3b0d134309,9ede8d256e09e68dfe6f6ed3e6f4d091a7dab68e,2026-07-16,2026-07-28
NV,Stripeside Café & Bar (Caesars Casino),stripeside caf bar caesars casino,Stripeside Café & Bar,cleaned,,,,,,,,,,,,,,,,,,n:stripeside caf bar,Las Vegas city,3240000,Clark County,32003,36.233499,-115.264037,place+county,"Las Vegas, Clark",2017-05-24,2017-07-18,57,closure,,0,0,1,https://detr.nv.gov/Page/WARN,590f8019748119171e57e5f7b6b0f3473a77b754b41b14b3dec77498,f62669a03575773d7da421edea7e5b40acedb62d,2026-07-16,2026-07-28
NV,Nevada Gaming Partners,nevada gaming partners,Nevada Gaming Partners,filed,,,,,,,,,,,,,,,,,,n:nevada gaming partners,,,,,,,,"LV, NLV, He, Sp, El, Cl, Wa, El",2017-06-20,2017-10-11,76,closure,,0,0,1,https://detr.nv.gov/Page/WARN,bed147fd5f0094f84f56ca134574ee46feec58e6aeb8695b00b84571,c8e89c5278ee7e34a92fcbae3eeff6e9aa2774f0,2026-07-16,2026-07-28
