state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,affected_site_address,affected_site_city,site_role,employer_mailing_address,employer_name_verbatim,letter_date,agency_received_date,agency_notification_date,agency_processed_date,source_record_urls,source_locators,source_status,timing_qc,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
OH,100th Bomb Group (Specialty Restaurants Corporation),100th bomb group specialty restaurants,100th Bomb Group,cleaned,,,,,,,,,,,,,,,,,,n:100th bomb group,Cleveland city,3916000,Cuyahoga County,39035,41.478462,-81.679435,place+county,,,,,,,2020-10-19,,,,,,,Cleveland/Cuyahoga,,,,,2020-12-31,day,reported,,,,OH:003-20-155,"{""agency_received_date"":""2020-10-19"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2020.html"",""raw_fields"":{""affected"":""59"",""city_county"":""Cleveland/Cuyahoga"",""company"":""100th Bomb Group (Specialty Restaurants Corporation)"",""continuation_rows"":[],""layoff_dates"":""12/31/2020"",""notice_id"":""003-20-155"",""phone"":""(714) 279-6100"",""received"":""10/19/2020"",""union"":""None""},""related_revision_source_rows"":[],""source_artifact_sha256"":""5437fa56779f27ecf5df4ce1df98fd4ab00ab48ac8c3263e3c0e37f6648e65fe"",""source_row"":""agency/oh_annual/WARN2020.html:sha256:5437fa56779f27ecf5df4ce1df98fd4ab00ab48ac8c3263e3c0e37f6648e65fe:page:1:table_row:19:ordinal:18"",""source_row_sha256"":""481abf340d22c3affba34797cf909282f8b1a1aaec3001f89505bb68d5318663""}",59,unknown,,0,0,1,https://web.archive.org/web/20210429023021id_/https://jfs.ohio.gov/warn/archive.stm?year=2020,003-20-155,59a650f7deec3b7a301f658b45ffbec9af8a60c7,2026-09-24,
OH,21C Museum Hotel,21c museum hotel,21c Museum Hotel,wikidata,,,,,,,,,,,,,Q4631016,label,,,automatic,qid:Q4631016,Cincinnati city,3915000,Hamilton County,39061,39.140183,-84.505829,place+county,,,,,,,2020-05-22,,,,,,,Cincinnati/Hamilton,,,,,,,,,,,OH:013-20-075,"{""agency_received_date"":""2020-05-22"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2020.html"",""raw_fields"":{""affected"":""158"",""city_county"":""Cincinnati/Hamilton"",""company"":""21C Museum Hotel"",""continuation_rows"":[],""layoff_dates"":""05/20/2020 to 07/01/2020"",""notice_id"":""013-20-075"",""phone"":""(502) 882-6228"",""received"":""05/22/2020"",""union"":""None""},""related_revision_source_rows"":[],""source_artifact_sha256"":""5437fa56779f27ecf5df4ce1df98fd4ab00ab48ac8c3263e3c0e37f6648e65fe"",""source_row"":""agency/oh_annual/WARN2020.html:sha256:5437fa56779f27ecf5df4ce1df98fd4ab00ab48ac8c3263e3c0e37f6648e65fe:page:1:table_row:159:ordinal:158"",""source_row_sha256"":""f522649dd07f7f4a92f343c62b71bcc96754c37718aa5727d3813539f0ca3902""}",158,unknown,,0,0,1,https://web.archive.org/web/20210429023021id_/https://jfs.ohio.gov/warn/archive.stm?year=2020,013-20-075,d7772d3b8c1ec456a05e2cc980dcd3f3953df1bf,2026-09-24,
OH,3M Company,3m,3M,wikidata,,33,sec-sic,enterprise,66740,MMM,exact,3841,Surgical & Medical Instruments & Apparatus,,,,Q159433,cik,,,automatic,qid:Q159433,Milford city,3950176,Clermont County,39025,39.165209,-84.284784,place+county,,,,,,,2016-08-12,,,,,,,Milford/Clermont,,,,,,,,,,,OH:012-16-015,"{""agency_received_date"":""2016-08-12"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2016.pdf"",""raw_fields"":{""affected"":""135"",""city_county"":""Milford/Clermont"",""company"":""3M Company"",""continuation_rows"":[],""layoff_dates"":""10/07/2016‐\n01/01/2017"",""notice_id"":""012‐16‐015"",""phone"":""(513) 272‐5056"",""received"":""08/12/2016"",""union"":""Workers United Union,\nLocal 504""},""related_revision_source_rows"":[],""source_artifact_sha256"":""8d82c62af53a6363827dc18aac1fc3c3818f9b5984454eb8b13a7dfe41e2af5a"",""source_row"":""agency/oh_annual/WARN2016.pdf:sha256:8d82c62af53a6363827dc18aac1fc3c3818f9b5984454eb8b13a7dfe41e2af5a:page:4:table_row:4:ordinal:37"",""source_row_sha256"":""162d6693c327c6324c838f57d71042cf2b0aa82cab0e37aa38590704d9a79b4b""}",135,unknown,,0,0,1,https://web.archive.org/web/20200510102317id_/http://jfs.ohio.gov/warn/WARN2016.stm,012-16-015,316d269ecc7656480c1470d576bfaaabc4466f87,2026-09-24,
OH,3M Company,3m,3M,wikidata,,33,sec-sic,enterprise,66740,MMM,exact,3841,Surgical & Medical Instruments & Apparatus,,,,Q159433,cik,,,automatic,qid:Q159433,Elyria city,3925256,Lorain County,39093,41.372778,-82.108009,place+county,,,,,,,2017-03-29,,,,,,,Elyria/Lorain,,,,,,,,,,,OH:004-16-078,"{""agency_received_date"":""2017-03-29"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2017.pdf"",""raw_fields"":{""affected"":""136"",""city_county"":""Elyria/Lorain"",""company"":""3M Company"",""continuation_rows"":[],""layoff_dates"":""05/31/2017-\n08/31/2017"",""notice_id"":""004-16-078"",""phone"":""(440) 323-6161"",""received"":""3/29/2017"",""union"":""Workers United Union,\nLocal 1406T""},""related_revision_source_rows"":[],""source_artifact_sha256"":""2b15fa6cea5f5520ed5c6855d89ee5d5fa9b719db7e3132c5404061345f18e5d"",""source_row"":""agency/oh_annual/WARN2017.pdf:sha256:2b15fa6cea5f5520ed5c6855d89ee5d5fa9b719db7e3132c5404061345f18e5d:page:3:table_row:14:ordinal:65"",""source_row_sha256"":""ae42e6327a32db3ae12eb4ac73aded3325220ebf7f8800916a897d45bc601d6b""}",136,unknown,,0,0,1,https://web.archive.org/web/20200510102313id_/http://jfs.ohio.gov/warn/WARN2017.stm,004-16-078,b8274f91d257804d41279bb3d6b4fa60b8e7c6f8,2026-09-24,
OH,3M Company,3m,3M,wikidata,,33,sec-sic,enterprise,66740,MMM,exact,3841,Surgical & Medical Instruments & Apparatus,,,,Q159433,cik,,,automatic,qid:Q159433,Brookville city,3909358,Montgomery County,39113,39.839007,-84.416278,place+county,,,,,,,2015-10-30,,,,,,,Brookville/Montgomery,,,,,2015-12-31,day,reported,,,,OH:007-15-021,"{""agency_received_date"":""2015-10-30"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2015.pdf"",""raw_fields"":{""affected"":""75"",""city_county"":""Brookville/Montgomery"",""company"":""3M Company"",""continuation_rows"":[],""layoff_dates"":""12/31/2015"",""notice_id"":""007‐15‐021"",""phone"":""(317) 692‐6978"",""received"":""10/30/2015"",""union"":""None""},""related_revision_source_rows"":[],""source_artifact_sha256"":""6ac46aa5ec9e7f06c0a62267338f96054699a141377d7f3e11240831e65d094f"",""source_row"":""agency/oh_annual/WARN2015.pdf:sha256:6ac46aa5ec9e7f06c0a62267338f96054699a141377d7f3e11240831e65d094f:page:1:table_row:16:ordinal:14"",""source_row_sha256"":""e1183ed6cb81fd5d29cf042a301c6432036f34d2a7ed40a14ed04f73a27fd086""}",75,unknown,,0,0,1,https://web.archive.org/web/20200510102316id_/http://jfs.ohio.gov/warn/WARN2015.stm,007-15-021,eef54abc8707c9a9c334fbf731c61255d96430a5,2026-09-24,
OH,"A. Schulman, Inc",a schulman,"A. Schulman, Inc",filed,,,,,,,,,,,,,,,,,,n:a schulman,Stryker village,3975140,Williams County,39171,41.502756,-84.416869,place+county,,,,,,,2015-01-05,,,,,,,Stryker/Williams,,,,,,,,,,,OH:007-14-030,"{""agency_received_date"":""2015-01-05"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2015.pdf"",""raw_fields"":{""affected"":""67"",""city_county"":""Stryker/Williams"",""company"":""A. Schulman, Inc"",""continuation_rows"":[],""layoff_dates"":""03/02/2015 and\n04/03/2015"",""notice_id"":""007‐14‐030"",""phone"":""(330) 668‐4503"",""received"":""1/5/2015"",""union"":""International Union,\nUnited Automobile,\nAerospace &\nAgricultural Implement\nWorkers of America,\nUAW Local 211, and\nUAW Region 2B""},""related_revision_source_rows"":[],""source_artifact_sha256"":""6ac46aa5ec9e7f06c0a62267338f96054699a141377d7f3e11240831e65d094f"",""source_row"":""agency/oh_annual/WARN2015.pdf:sha256:6ac46aa5ec9e7f06c0a62267338f96054699a141377d7f3e11240831e65d094f:page:6:table_row:4:ordinal:65"",""source_row_sha256"":""0742c7f1bbbe2f49ea69591913e619cf1380439f09c68c3f4d8e66a55b29a539""}",67,unknown,,0,0,1,https://web.archive.org/web/20200510102316id_/http://jfs.ohio.gov/warn/WARN2015.stm,007-14-030,8574aa8580545b0d7f198ecefdec8d323a94baeb,2026-09-24,
OH,"A. Schulman, Inc. (LyondellBasell Finance Co.)",a schulman inc lyondellbasell finance,"A. Schulman, Inc.",cleaned,,,,,,,,,,,,,,,,,,n:a schulman,Fairlawn city,3926166,Summit County,39153,41.131014,-81.622307,place+county,,,,,,,2019-11-21,,,,,,,Fairlawn/Summit,,,,,2020-01-31,day,reported,,,,OH:002-19-098,"{""agency_received_date"":""2019-11-21"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2019.pdf"",""raw_fields"":{""affected"":""43"",""city_county"":""Fairlawn/Summit"",""company"":""A. Schulman, Inc. (LyondellBasell Finance Co.)"",""continuation_rows"":[],""layoff_dates"":""1/31/2020"",""notice_id"":""002-19-098"",""phone"":""(330) 668-7298"",""received"":""11/21/2019"",""union"":""None""},""related_revision_source_rows"":[],""source_artifact_sha256"":""5aaf1adfa2852bc2158730d24d95e2a43f0aa6d3ad4698c6d14b67193b7b72f8"",""source_row"":""agency/oh_annual/WARN2019.pdf:sha256:5aaf1adfa2852bc2158730d24d95e2a43f0aa6d3ad4698c6d14b67193b7b72f8:page:1:table_row:4:ordinal:2"",""source_row_sha256"":""1c3ad293aa5b4db44d401ad1c2d72de13c296be8d9e97239784b7679193d462a""}",43,unknown,,0,0,1,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN2019.pdf,002-19-098,ebb7ebd4d75d1aa31aa7a91431384a584570c805,2026-09-24,
OH,AAM Malvern Manufacturing Facility,aam malvern manufacturing facility,AAM Malvern Manufacturing Facility,filed,,,,,,,,,,,,,,,,,,n:aam malvern manufacturing facility,Malvern village,3946998,Carroll County,39019,40.689494,-81.180409,place+county,,,,,,,2021-03-29,,,,,,,Malvern/Carroll,,,,,2021-05-29,day,reported,,,,OH:016-21-010,"{""agency_received_date"":""2021-03-29"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2021.html"",""raw_fields"":{""affected"":""95"",""city_county"":""Malvern/Carroll"",""company"":""AAM Malvern Manufacturing Facility"",""continuation_rows"":[],""layoff_dates"":""05/29/2021"",""notice_id"":""016-21-010"",""phone"":""(330) 863-7567"",""received"":""03/29/2021"",""union"":""United Auto Workers Local 4199""},""related_revision_source_rows"":[],""source_artifact_sha256"":""0f7a1689233dd94267f0d847244e9613939d0d70e6df2f2a4d115531c31d24f5"",""source_row"":""agency/oh_annual/WARN2021.html:sha256:0f7a1689233dd94267f0d847244e9613939d0d70e6df2f2a4d115531c31d24f5:page:1:table_row:21:ordinal:20"",""source_row_sha256"":""d7076c49e8718e16d132fa8775ee653bc568c02d3a7182bfd83aadabb326e802""}",95,unknown,,0,0,1,https://web.archive.org/web/20220521120840id_/https://jfs.ohio.gov/warn/archive.stm?year=2021,016-21-010,73f1b71a58827fdbefb76c132b04cb11427f0271,2026-09-24,
OH,ABM Healthcare Support Services,abm healthcare support services,ABM Healthcare Support Services,filed,,,,,,,,,,,,,,,,,,n:abm healthcare support services,,,,,,,,,,,,,,2015-04-02,,,,,,,Various/Various,,,,,2015-06-30,day,reported,,,,OH:011-14-045,"{""agency_received_date"":""2015-04-02"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2015.pdf"",""raw_fields"":{""affected"":""90"",""city_county"":""Various/Various"",""company"":""ABM Healthcare\nSupport Services"",""continuation_rows"":[],""layoff_dates"":""6/30/2015"",""notice_id"":""011‐14‐045"",""phone"":""(586) 771‐3040"",""received"":""4/2/2015"",""union"":""None""},""related_revision_source_rows"":[],""source_artifact_sha256"":""6ac46aa5ec9e7f06c0a62267338f96054699a141377d7f3e11240831e65d094f"",""source_row"":""agency/oh_annual/WARN2015.pdf:sha256:6ac46aa5ec9e7f06c0a62267338f96054699a141377d7f3e11240831e65d094f:page:4:table_row:9:ordinal:50"",""source_row_sha256"":""3e69d6755cee74933c12019a1a3b1461132e67bbcceb28fb8672406050a1e8b1""}",90,unknown,,0,0,1,https://web.archive.org/web/20200510102316id_/http://jfs.ohio.gov/warn/WARN2015.stm,011-14-045,576abc51c0678816c6b712d7070c2111a287c420,2026-09-24,
OH,"ABM, Inc. (Hertz)",abm inc hertz,"ABM, Inc.",cleaned,,,,,,,,,,,,,,,,,,n:abm,Cleveland city,3916000,Cuyahoga County,39035,41.478462,-81.679435,place+county,,,,,,,2020-09-22,,,,,,,Cleveland/Cuyahoga,,,,,2020-10-04,day,reported,,,,OH:003-20-147,"{""agency_received_date"":""2020-09-22"",""date_roles"":{""Date Received"":""agency_receipt"",""Layoff Date(s)"":""reported_action""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""agency_WARN_or_Notice_ID"",""origin"":""agency/oh_annual/WARN2020.html"",""raw_fields"":{""affected"":""67"",""city_county"":""Cleveland/Cuyahoga"",""company"":""ABM, Inc. (Hertz)"",""continuation_rows"":[],""layoff_dates"":""10/04/2020"",""notice_id"":""003-20-147"",""phone"":""(586) 772-3050"",""received"":""09/22/2020"",""union"":""None""},""related_revision_source_rows"":[],""source_artifact_sha256"":""5437fa56779f27ecf5df4ce1df98fd4ab00ab48ac8c3263e3c0e37f6648e65fe"",""source_row"":""agency/oh_annual/WARN2020.html:sha256:5437fa56779f27ecf5df4ce1df98fd4ab00ab48ac8c3263e3c0e37f6648e65fe:page:1:table_row:34:ordinal:33"",""source_row_sha256"":""1c6200def95d8b1015178ac06219bf65a989a1077a73fa664b37ea6fc463a71a""}",67,unknown,,0,0,1,https://web.archive.org/web/20210429023021id_/https://jfs.ohio.gov/warn/archive.stm?year=2020,003-20-147,abd18919c2a26d16427c0ec8a6df14fa3d8a2bd8,2026-09-24,
