state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
OR,4 Leaf LLC,4 leaf,4 Leaf LLC,filed,,,,,,,,,,,,,,,,,,n:4 leaf,Portland city,4159000,Multnomah County,41051,45.536951,-122.649971,place,Portland,,,,,2021-09-30,day,reported,,,,OR:agency:8274,"{""agency_received_date"":""2021-09-17"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or/latest.xlsx"",""raw_cells"":{""Company Name"":""4 Leaf LLC"",""Laid Off"":63,""Layoff Date"":""2021-09-30T00:00:00"",""Layoff Type"":""Permanent closure"",""Location"":""Portland"",""Received Date"":""2021-09-17T00:00:00"",""WARN#"":""8274""},""source_row"":266,""source_row_sha256"":""aeb8e0d9df762a219900191ae6fdac46e074ab027849665df78b706d861f9c3b"",""source_workbook_sha256"":""c34302a16cf950fac4a3cb1c9231894fbf9ecd0cf6a60c55a04f4e70ab11bca5""}",63,unknown,,0,0,1,https://ccwd.hecc.oregon.gov/Layoff/WARN/Download,8274,ae3a5bded562319416d91f79204051007800b424,2026-09-24,
OR,"A-List, Inc. and H-List, Inc. dba Kitso",a list inc and h list inc dba kitso,"A-List, Inc. and H-List, Inc.",cleaned,,,,,,,,,,,,,,,,,,n:a list inc and h list,Portland city,4159000,Multnomah County,41051,45.536951,-122.649971,place,Portland,,,,,2016-01-04,day,reported,,,,OR:agency:2071,"{""agency_received_date"":""2015-12-28"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""A-List, Inc. and H-List, Inc. dba Kitso"",""Laid Off"":9,""Layoff Date"":""2016-01-04T00:00:00"",""Layoff Type"":""Permanent closure"",""Location"":""Portland"",""Received Date"":""2015-12-28T00:00:00"",""WARN#"":""2071""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:385"",""source_row_sha256"":""d7d1b7caf00c0919f5d02d28bb9051972727931d796c617022dd9089d213e25b"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",9,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,2071,aa9f47ef62ea75baa148a39eff36148fc7900052,2026-09-24,
OR,ACS Business Process Solutions,acs business process solutions,ACS Business Process Solutions,filed,,,,,,,,,,,,,,,,,,n:acs business process solutions,Portland city,4159000,Multnomah County,41051,45.536951,-122.649971,place,Portland,,,,,2009-02-03,day,reported,,,,OR:agency:1717,"{""agency_received_date"":""2008-12-03"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""ACS Business Process Solutions"",""Laid Off"":90,""Layoff Date"":""2009-02-03T00:00:00"",""Layoff Type"":""Permanent closure"",""Location"":""Portland"",""Received Date"":""2008-12-03T00:00:00"",""WARN#"":""1717""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:579"",""source_row_sha256"":""8f9d56cb9a0a3cf21250cc872d703c0ef3213d89dcb7a6ddd254dd7fb578f2ab"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",90,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,1717,10ea9af5e4c894ff64217780b3e48f113c2ef36b,2026-09-24,
OR,ACTIVE USA INC,active usa,ACTIVE USA INC,filed,,,,,,,,,,,,,,,,,,n:active usa,Portland city,4159000,Multnomah County,41051,45.536951,-122.649971,place,PORTLAND,,,,,2003-03-24,day,reported,,,,OR:agency:0764,"{""agency_received_date"":""2003-01-29"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""ACTIVE USA INC"",""Laid Off"":161,""Layoff Date"":""2003-03-24T00:00:00"",""Layoff Type"":""Reduction"",""Location"":""PORTLAND"",""Received Date"":""2003-01-29T00:00:00"",""WARN#"":""0764""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:715"",""source_row_sha256"":""658e11d2b76120cf56b52cdc720c4c2681802ceb358a7eb6734a729d7540d607"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",161,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,0764,b7dacda317989a3c8543715494024f9c7bc0c076,2026-09-24,
OR,"ADVANCED TELCOM GROUP, INC",advanced telcom group,"ADVANCED TELCOM GROUP, INC",filed,,,,,,,,,,,,,,,,,,n:advanced telcom group,Salem city,4164900,Marion County,41047,44.9239,-123.023007,place,SALEM,,,,,2002-05-15,day,reported,,,,OR:agency:0711,"{""agency_received_date"":""2002-05-13"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""ADVANCED TELCOM GROUP, INC"",""Laid Off"":112,""Layoff Date"":""2002-05-15T00:00:00"",""Layoff Type"":""Reduction"",""Location"":""SALEM"",""Received Date"":""2002-05-13T00:00:00"",""WARN#"":""0711""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:751"",""source_row_sha256"":""28b7abf110c71942e6bd86c017cbedba3458ffafdd75fc0d190cd17210c0dcd9"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",112,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,0711,8b968dd51e26bb1e96eb0c48af2c482e4682dca0,2026-09-24,
OR,ADVANCED WOOD RESOURCES,advanced wood resources,ADVANCED WOOD RESOURCES,filed,,,,,,,,,,,,,,,,,,n:advanced wood resources,Brownsville city,4109050,Linn County,41043,44.392189,-122.983287,place,BROWNSVILLE,,,,,2001-11-20,day,reported,,,,OR:agency:0677,"{""agency_received_date"":""2001-09-21"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""ADVANCED WOOD RESOURCES"",""Laid Off"":60,""Layoff Date"":""2001-11-20T00:00:00"",""Layoff Type"":""Reduction"",""Location"":""BROWNSVILLE"",""Received Date"":""2001-09-21T00:00:00"",""WARN#"":""0677""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:770"",""source_row_sha256"":""80b9714213a7c165b3d3d8af05c0aa4fee8a0c0aeec5b44d9f09251416728433"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",60,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,0677,ec3344f2c8c1f903bb2580c52424f6d313fa2c41,2026-09-24,
OR,AEG Facilities,aeg facilities,AEG Facilities,filed,,,,,,,,,,,,,,,,,,n:aeg facilities,,,,,,,,"Los Angeles, CA",,,,,2013-06-30,day,reported,,,,OR:agency:1963,"{""agency_received_date"":""2013-04-29"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""AEG Facilities"",""Laid Off"":900,""Layoff Date"":""2013-06-30T00:00:00"",""Layoff Type"":""Permanent closure"",""Location"":""Los Angeles, CA"",""Received Date"":""2013-04-29T00:00:00"",""WARN#"":""1963""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:448"",""source_row_sha256"":""c90194d27d04a7a45fb0dcfd03b2875a803ff266717046114d86f7cea9581bfe"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",900,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,1963,27cfef35db3106661c9ce88eed93b20512d9eb2a,2026-09-24,
OR,AERO DDL,aero ddl,AERO DDL,filed,,,,,,,,,,,,,,,,,,n:aero ddl,Beaverton city,4105350,Washington County,41067,45.477998,-122.817037,place,Beaverton,,,,,1994-12-29,day,reported,,,,OR:agency:0213,"{""agency_received_date"":""1991-10-31"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""AERO DDL"",""Laid Off"":131,""Layoff Date"":""1994-12-29T00:00:00"",""Layoff Type"":""Large Layoff - 10 or more workers"",""Location"":""Beaverton"",""Received Date"":""1991-10-31T00:00:00"",""WARN#"":""0213""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:954"",""source_row_sha256"":""2ed00768d44c35d8aa1b0c1ce2e4a6aaff4350f8d0393c00591dd249e0bc45a9"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",131,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,0213,e8b293a533aabb77ed9ba3590b67c1376c7f788c,2026-09-24,
OR,AETNA LIFE INSURANCE COMPANY,aetna life insurance,AETNA LIFE INSURANCE COMPANY,filed,,,,,,,,,,,,,,,,,,n:aetna life insurance,Portland city,4159000,Multnomah County,41051,45.536951,-122.649971,place,Portland,,,,,1997-07-11,day,reported,,,,OR:agency:0338,"{""agency_received_date"":""1997-05-12"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""AETNA LIFE INSURANCE COMPANY"",""Laid Off"":107,""Layoff Date"":""1997-07-11T00:00:00"",""Layoff Type"":""Permanent closure"",""Location"":""Portland"",""Received Date"":""1997-05-12T00:00:00"",""WARN#"":""0338""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:913"",""source_row_sha256"":""26ebc05d2bc864a7a734795d70755917d4ea2acb24b979ba8bfab268432f787c"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",107,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,0338,3a0b633551345a3d8fe57ad3c8b1e0afc80837ad,2026-09-24,
OR,AGRIFROZEN FOODS,agrifrozen foods,AGRIFROZEN FOODS,filed,,,,,,,,,,,,,,,,,,n:agrifrozen foods,Salem city,4164900,Marion County,41047,44.9239,-123.023007,place,SALEM,,,,,2001-03-23,day,reported,,,,OR:agency:0627,"{""agency_received_date"":""2001-01-24"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""AGRIFROZEN FOODS"",""Laid Off"":851,""Layoff Date"":""2001-03-23T00:00:00"",""Layoff Type"":""Permanent closure"",""Location"":""SALEM"",""Received Date"":""2001-01-24T00:00:00"",""WARN#"":""0627""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:800"",""source_row_sha256"":""a175a7826b7de9af6e0a390ae779748ed1853c1c520065234230be2416d4713a"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",851,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,0627,d5d0349e41dba42aafdf36331c55ac93d6a871fb,2026-09-24,
OR,ALCATEL SUBMARINE NETWORKS INC,alcatel submarine networks,ALCATEL SUBMARINE NETWORKS INC,filed,,,,,,,,,,,,,,,,,,n:alcatel submarine networks,,,,,,,,PORTAND,,,,,2001-05-29,day,reported,,,,OR:agency:0658,"{""agency_received_date"":""2001-05-29"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""ALCATEL SUBMARINE NETWORKS INC"",""Laid Off"":443,""Layoff Date"":""2001-05-29T00:00:00"",""Layoff Type"":""Reduction"",""Location"":""PORTAND"",""Received Date"":""2001-05-29T00:00:00"",""WARN#"":""0658""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:780"",""source_row_sha256"":""9416ebba65970979ec8a49bbaae65aa4e294743dafcf4dfb9f631e4ebfe0fa23"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",443,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,0658,b5d03368c18a5eaaad2e81ec2f34911a5a8b50a1,2026-09-24,
OR,"ALEXANDER MANUFACTURING, INC.",alexander manufacturing,"ALEXANDER MANUFACTURING, INC.",filed,,,,,,,,,,,,,,,,,,n:alexander manufacturing,,,,,,,,PORTLAND & GRESHAM,,,,,2003-09-22,day,reported,,,,OR:agency:0847,"{""agency_received_date"":""2003-12-18"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""ALEXANDER MANUFACTURING, INC."",""Laid Off"":138,""Layoff Date"":""2003-09-22T00:00:00"",""Layoff Type"":""Reduction"",""Location"":""PORTLAND & GRESHAM"",""Received Date"":""2003-12-18T00:00:00"",""WARN#"":""0847""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:676"",""source_row_sha256"":""7f05f750cdde35ff74c9fa799c8b75e7d109a9cc13d527612f5614372156678c"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",138,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,0847,43c7bd8179d915fccb4a58d31a6da3727a4ebcc9,2026-09-24,
OR,ALSCO,alsco,Alsco Inc.,gleif,,,,,,,,,,,,5493002QZKTXPMZE9V93,Q60752605,label,,,automatic,lei:5493002QZKTXPMZE9V93,Portland city,4159000,Multnomah County,41051,45.536951,-122.649971,place,Portland,,,,,2020-04-24,day,reported,,,,OR:agency:3701,"{""agency_received_date"":""2020-03-25"",""date_roles"":{""Layoff Date"":""reported_action"",""Received Date"":""agency_receipt""},""disposition"":""notice"",""disposition_evidence"":""unique_agency_id"",""identity_basis"":""singleton_agency_warn_number"",""origin"":""agency/or_historical/or_warnlist_july_2021.xlsx"",""provenance_url"":""https://warn-scraper.readthedocs.io/en/latest/scrapers/or.html"",""raw_cells"":{""Company Name"":""ALSCO"",""Laid Off"":31,""Layoff Date"":""2020-04-24T00:00:00"",""Layoff Type"":""Temporary Layoff"",""Location"":""Portland"",""Received Date"":""2020-03-25T00:00:00"",""WARN#"":""3701""},""source_row"":""agency/or_historical/or_warnlist_july_2021.xlsx:sha256:86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131:row:155"",""source_row_sha256"":""c512cc834daa9e827ab4778f2a055ddcbffa70bc712d178326e167469f5511d6"",""source_workbook_sha256"":""86dd5835b4a76906b906435c422fc67b88a24f45e5c795697cf5c6bba892a131""}",31,unknown,,0,0,1,https://github.com/biglocalnews/WARN/files/6819514/OR.WARNList.July.2021.xlsx,3701,06f17f997e863de71d6759d602f4cbdafdf17af9,2026-09-24,
