state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
PA,ABA2DAY Behavior Services,aba2day behavior services,ABA2DAY Behavior Services,filed,,,,,,,,,,,,,,,,,,n:aba2day behavior services,,,Delaware County,42045,39.916685,-75.398818,county,Delaware,,2023-08-21,94,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,423984d1a8d0056e28399f80364bc1106faf1df95634ebfc3a5fce0f,6cca0ce5bc646d0ea5107070dda5968f76ade51f,2026-07-16,2026-07-19
PA,ACC Premiere,acc premiere,ACC Premiere,filed,,,,,,,,,,,,,,,,,,n:acc premiere,,,Lycoming County,42081,41.343882,-77.055262,county,Lycoming,,2025-09-19,67,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,d59d687e858207ab5287dddefafdc6de93f3f969f1a673b192286bf0,8313ff5274d7ccbf640144f2e9de0369d5044a03,2026-07-16,2026-07-19
PA,"ALPEK Polyester USA, LLC",alpek polyester usa,"ALPEK Polyester USA, LLC",filed,,,,,,,,,,,,,,,,,,n:alpek polyester usa,,,Berks County,42011,40.413957,-75.92686,county,Berks,,2026-03-15,100,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,e2a3adfff0a6043f6f3261cb2d22106d8839e4437ef6c6fdd7782b84,b3f87db06b473357b94090433028209e91be34e1,2026-07-16,2026-07-19
PA,"AVI Foodsystems, Inc.",avi foodsystems,"AVI Foodsystems, Inc.",filed,,,,,,,,,,,,,,,,,,n:avi foodsystems,Philadelphia city,4260000,Philadelphia County,42101,40.009376,-75.133346,place,Philadelphia,,2026-02-01,297,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,c53c692d7d5fb02d154cd443cb8ad371218a74a4b4f1d76b9c16ff3f,41b25b3b8e7b1acd295c74960e22a847acc5074f,2026-07-16,2026-07-19
PA,"Adare Pharmaceuticals, Inc.",adare pharmaceuticals,"Adare Pharmaceuticals, Inc.",filed,,,,,,,,,,,,,,,,,,n:adare pharmaceuticals,Philadelphia city,4260000,Philadelphia County,42101,40.009376,-75.133346,place,Philadelphia,,2026-03-01,137,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,bd6bd7c1c5c1740f8a0e063c74b394284aa17770396c7ddfc153766d,d37ac99c6eb7209c6f76efc87167432874e1c8c7,2026-07-16,2026-07-19
PA,"Advantest, Inc.",advantest,"Advantest, Inc.",filed,,334413,sec-sic,enterprise,1158838,ATEYY,exact,3674,Semiconductors & Related Devices,,,,,,,,automatic,cik:1158838,,,Lehigh County,42077,40.614241,-75.590627,county,Lehigh,,2026-06-30,55,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,3f6192cf80405b1135734670a9c7e3a065d04bf5c83850a72622fc25,c896f08a91762ec6f1761eac0ac32f3cebec7bc6,2026-07-16,2026-07-19
PA,"Affirm, Inc.",affirm,Affirm,wikidata,,,,,1714052,,exact,,,,,,Q65085822,cik,,,automatic,qid:Q65085822,,,Allegheny County,42003,40.469757,-79.980451,county,Allegheny,,2024-02-15,,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,8123a2c91209316fafc17e707ce7a7d955ec8fd2622963fd60669c15,47e897407f3457478a955931247aea9fc8545d10,2026-07-16,2026-07-19
PA,"Air Products and Chemicals, Inc.",air products and chemicals,"Air Products and Chemicals, Inc.",filed,,,,,,,,,,,,,,,,,,n:air products and chemicals,,,Lehigh County,42077,40.614241,-75.590627,county,Lehigh,,2025-11-17,14,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,bcfc2039b930cef262a04358d55dca6b801901321b8a5854d6173c00,ae08d0e7eee06ae854f30146a378890b1cf9dd22,2026-07-16,2026-07-19
PA,Allen Distribution,allen distribution,Allen Distribution,filed,,,,,,,,,,,,,,,,,,n:allen distribution,,,Lehigh County,42077,40.614241,-75.590627,county,Lehigh,,2025-12-26,70,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,4ab3d99383b76f8684de1dbb3babd192988b70d044cf6e44ff2ab9dd,88f6f9506ff5fc1512cea36d6a0a249fd7b769c4,2026-07-16,2026-07-19
PA,"Alloy Surfaces Company, Inc.",alloy surfaces,"Alloy Surfaces Company, Inc.",filed,,,,,,,,,,,,,,,,,,n:alloy surfaces,,,Delaware County,42045,39.916685,-75.398818,county,Delaware,,2025-08-30,52,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,f2ad4897878903f7a23fe11db96735d202c6787c47306d25eb91ab14,08c5a5bd907a8d60ece6f1154cfd0eb745bce1d9,2026-07-16,2026-07-19
PA,Alpha & Omega Logistics Corporation,alpha omega logistics,Alpha & Omega Logistics Corporation,filed,,,,,,,,,,,,,,,,,,n:alpha omega logistics,Montgomery borough,4250632,Lycoming County,42081,41.173681,-76.868776,place,Montgomery,,2025-01-10,110,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,eb54a92555321c67233b1a96b4df05d3a1df625e88fc0ce45157c2c2,8756d261b035b389a044a1bfb418bae7fd42c212,2026-07-16,2026-07-19
PA,Amazon,amazon,"Amazon.com, Inc.",wikidata,,45411,sec-sic,enterprise,1018724,AMZN,listed-extension,5961,Retail-Catalog & Mail-Order Houses,,,,Q133848906,cik,,,automatic,qid:Q133848906,,,Allegheny County,42003,40.469757,-79.980451,county,Allegheny,,2025-03-12,432,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,2067c14cd65d67ea2cb19c1757831f5eeb66237cac21f4dfca8e813b,c32fd566365d895be76d07731e235ba9ae8da541,2026-07-16,2026-07-19
PA,Amazon Fresh,amazon fresh,Amazon Fresh,wikidata,,,,,,,,,,,,,Q4740834,label,Amazon,,automatic,qid:Q4740834,,,,,,,,"Bucks, Delaware, Montgomery and Philadelphia",,2026-04-28,983,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,acbce8e373a1e7b07d2c8d3e2e7818d0eed12b21d40bfd4ed2b653aa,f4884ca9168f1d2f015b9762fe686176670dbd11,2026-07-16,2026-07-19
PA,"American Expediting Logistics, LLC",american expediting logistics,"American Expediting Logistics, LLC",filed,,,,,,,,,,,,,,,,,,n:american expediting logistics,,,Delaware County,42045,39.916685,-75.398818,county,Delaware,,2026-06-04,86,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,f9f4746ee0edb5654b3ed19002b0ff9cf8e46c8e7ffcb3d1a98d33a7,6833c89beef333ade2ba018062ff99850bd41d49,2026-07-16,2026-07-19
PA,"American Medical Response Mid-Atlantic, Inc.",american medical response mid atlantic,"American Medical Response Mid-Atlantic, Inc.",filed,,621910,employer,establishment,1277877,,exact:post-era,,,,,,,,,,automatic,cik:1277877,Philadelphia city,4260000,Philadelphia County,42101,40.009376,-75.133346,place,Philadelphia,,2024-01-18,152,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,6baa9523ba64551712887dca810020d61b851042f7767595c875da0e,58aa2c7542aac6fb29038a05e60d176e518f4a44,2026-07-16,2026-07-19
PA,"Aramark Campus, LLC",aramark campus,"Aramark Campus, LLC",filed,,,,,1396751,,exact:post-era,,,,,,,,,,automatic,cik:1396751,,,Crawford County,42039,41.687876,-80.107795,county,Crawford,,2024-06-30,94,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,fb42d137de88b19591e2e0dcc647520e07e5dcd7300d193794f23118,0b641ca1108fea21ba6eb408c19c833b9824dc54,2026-07-16,2026-07-19
