state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
RI,"Colibri Group, Inc.",colibri group,"Colibri Group, Inc.",filed,,,,,1398331,,exact,,,,,,,,,,automatic,cik:1398331,East Providence city,4422960,Providence County,44007,41.800433,-71.359258,place+county,East Providence and Providence,,2009-03-04,,,2009-01-15,,,,,,,,270,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,8d5414147c52113728995dda8177a5c4e37d907849b221758cf8d54a,5865879bce3e0d1a81636d2d685dd9bab47fb0d2,2026-09-24,
RI,Bank of America,bank of america,Bank of America,wikidata,,522,sec-sic,enterprise,70858,BAC,exact,6021,National Commercial Banks,,,,Q487907,cik,,,automatic,qid:Q487907,,,Providence County,44007,41.869768,-71.578625,subdivision,Lincoln,,2009-03-05,,,2009-01-08,,,,,,,,121,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,b9f41afdc4fc186504e3eefb385d6734bcf0af419aad32b49ef82958,ea72c32051eba02f91be387650d97c55ce88736d,2026-09-24,
RI,Leviton Mfg,leviton mfg,Leviton Mfg,filed,,,,,,,,,,,,,,,,,,n:leviton mfg,Warwick city,4474300,Kent County,44003,41.703085,-71.42031,place,Warwick,,2009-03-09,,,2009-05-10,,,,,,,,119,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,cfabb35a99ab5d3389cd726e700171dd782faa76d1f571332c458930,8d08fa56a77dad6c5ed5597d3e83fa66ef46b903,2026-09-24,
RI,APC by Schneider Electric,apc by schneider electric,APC by Schneider Electric,filed,,,,,,,,,,,,,,,,,,n:apc by schneider electric,,,Kent County,44003,41.675118,-71.580282,subdivision,West Warwick,,2009-03-11,,,2009-05-02,,,,,,,,54,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,b10600476aa8e8d29ea46ddf31ae58914233753f08829cc5b38e6763,4a7459839e66f4fe792a160949f90d7481789ead,2026-09-24,
RI,Victoria & Company,victoria,Victoria & Company,filed,,,,,,,,,,,,,,,,,,n:victoria,East Providence city,4422960,Providence County,44007,41.800433,-71.359258,place,East Providence,,2009-04-15,,,2009-05-08,,,,,,,,71,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,e467300e2828b94fe6879f26df79db95a065e704d3f4751ce7fd9fc3,1777d7f91adc4ca68853f5a7c2f246b747181f2c,2026-09-24,
RI,Honeywell,honeywell,Honeywell,wikidata,,,,,773840,HON,listed-extension,3724,Aircraft Engines & Engine Parts,,,,Q898208,cik,,,automatic,qid:Q898208,Pawtucket city,4454640,Providence County,44007,41.874824,-71.373323,place,Pawtucket,,2009-04-28,,,2009-05-10,,,,,,,,29,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,04435fe3b0c8909d6cd490af14d23ec3625385e83bbffbb0461c0996,75c19d71cbd251a9d0c851b3d1526d55e8d69996,2026-09-24,
RI,First Student,first student,First Student,wikidata,,,,,,,,,,,,,Q5453853,label,,,automatic,qid:Q5453853,,,Providence County,44007,41.869768,-71.578625,subdivision,Burrillville,,2009-06-16,,,2009-06-30,,,,,,,,55,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,7265ff90d997bb5183ad74b4546f23fb436c6265770f9bba25965858,3d9e443387c233a657cdb7e64cea92f127046b38,2026-09-24,
RI,Providence Public Library,providence public library,PROVIDENCE PUBLIC LIBRARY,irs,,61,ntee,enterprise,,,,,,050262713,B700,,,,,,automatic,ein:050262713,Providence city,4459000,Providence County,44007,41.823056,-71.418784,place,Providence,,2009-07-01,,,2009-06-30,,,,,,,,171,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,436c8eaef6ef858f22611168651012f768e14324f27d2f3c803426c5,1673b82ae0760b89406b5a58db260a0f2c49f709,2026-09-24,
RI,A.T. Cross,a t cross,A.T. Cross,filed,,,,,,,,,,,,,,,,,,n:a t cross,,,Providence County,44007,41.869768,-71.578625,subdivision,Lincoln,,2009-07-13,,,2009-03-23,,,,,,,,14,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,e9162a8ae30951667c3cbd063af596e1721b5ce12dd3c08cd940219b,1af05841674838326c61b4ab419285634cf5c298,2026-09-24,
RI,HGA Quest,hga quest,HGA Quest,filed,,,,,,,,,,,,,,,,,,n:hga quest,,,,,,,,Nationwide - RI,,2009-07-13,,,2009-08-16,,,,,,,,10,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,a79d6060652e5b009d39d240b59f3f4a030ccca5e5b9be7dc214a349,3d96ea0cde45979b12e602defd7979d06e131df5,2026-09-24,
RI,Victoria & Company,victoria,Victoria & Company,filed,,,,,,,,,,,,,,,,,,n:victoria,East Providence city,4422960,Providence County,44007,41.800433,-71.359258,place,East Providence,,2009-08-21,,,2009-07-07,,,,,,,,26,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,1e47add245f5f12f899e3e6a9bc5d3f72a8dead5612e9d7d534a45ef,4fff9fd69766c61eb271bb41212673b21b3baa69,2026-09-24,
RI,Portola,portola,Portola,filed,,,,,1291138,,exact,,,,,,,,,,automatic,cik:1291138,Woonsocket city,4480780,Providence County,44007,42.001708,-71.499947,place,Woonsocket,,2009-10-05,,,2009-03-23,,,,,,,,130,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,7d727a96326d9adc97e3166d18488e1db50db7df26d89032cd3b1d83,5d504583e2c85c9b1cd551f385f9d7ed44dbce8f,2026-09-24,
RI,A.T. Cross,a t cross,A.T. Cross,filed,,,,,,,,,,,,,,,,,,n:a t cross,,,Providence County,44007,41.869768,-71.578625,subdivision,Lincoln,,2009-10-08,,,2009-03-23,,,,,,,,16,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,dd3882d9626e7c0c714d00960fd5dbbd4d6f4400422254d85a5ca48f,5e44803818fdf67fe23548b1b6984e50e2088a9f,2026-09-24,
RI,A.T. Cross,a t cross,A.T. Cross,filed,,,,,,,,,,,,,,,,,,n:a t cross,,,Providence County,44007,41.869768,-71.578625,subdivision,Lincoln,,2009-11-20,,,2009-12-01,,,,,,,,63,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,6edfb734d8eb43927be25738d8ea138be7fa55570d2966974e669f5a,67fc142024603555957b600b3714e1ff08eee2b0,2026-09-24,
RI,Aramark,aramark,ARAMARK,gleif,,,,,,,,,,,,549300MR6PG2DWZUIL39,,,,,automatic,lei:549300MR6PG2DWZUIL39,Providence city,4459000,Providence County,44007,41.823056,-71.418784,place,Providence,,2009-11-20,,,2009-11-30,,,,,,,,60,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,c66beaf63fe90af9eda58d0325084e023c1ac4641933746433607275,56a29723af2ef0f2457207ec466c039eb4609338,2026-09-24,
RI,Liz Clayborne,liz clayborne,Liz Clayborne,filed,,,,,,,,,,,,,,,,,,n:liz clayborne,,,Providence County,44007,41.869768,-71.578625,subdivision,Lincoln,,2009-12-31,,,2010-04-19,,,,,,,"{""dates"": [{""date"": ""2010-04-19"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""4/19/10""}, {""date"": ""2010-04-30"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""4/30/10""}], ""effective_date_interpretation"": ""list_or_phases""}",103,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,a41ee6b3be6c0934ca066db55dd640a3bbd437f87c823eb45f41b370,c5968f2faf0e05997d06922f41fbae5983220f07,2026-09-24,
RI,Leviton Mfg,leviton mfg,Leviton Mfg,filed,,,,,,,,,,,,,,,,,,n:leviton mfg,Warwick city,4474300,Kent County,44003,41.703085,-71.42031,place,Warwick,,2010-02-05,,,2010-01-20,,,,,,,"{""dates"": [{""date"": ""2010-01-20"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""1/20/10""}, {""date"": ""2010-02-19"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""2/19/10""}], ""effective_date_interpretation"": ""list_or_phases""}",66,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,7a3a84fd0e134c484840387df34ddd147e25490419d19a019002a205,8af77458555a3aa535d8880bc531ef505d5bf633,2026-09-24,
RI,The Ski Market,ski market,The Ski Market,filed,,,,,,,,,,,,,,,,,,n:ski market,Warwick city,4474300,Kent County,44003,41.703085,-71.42031,place,Warwick,,2010-08-02,,,2010-02-01,,,,,,,,8,closure,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,c504baf4d1498d563fd52558875781b36b8f26c82e9ffb7978e3a240,d1d96e4a1a5324a8c65ce2cc4bd6f8d2cf4bc712,2026-09-24,
RI,Stanley Works Nail Dept.,stanley works nail dept,Stanley Works Nail Dept.,filed,,,,,,,,,,,,,,,,,,n:stanley works nail dept,,,Kent County,44003,41.675118,-71.580282,subdivision,East Greenwich,,2010-08-20,,,2010-02-08,,,,,,,,165,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,8b15f4cd889f1a18d507461584a2053c41266e5da9e24fbd8ad8c1b1,05af0591bbab71c0fa832331046874fe0dd5513a,2026-09-24,
RI,Stanley Works Nail Dept.,stanley works nail dept,Stanley Works Nail Dept.,filed,,,,,,,,,,,,,,,,,,n:stanley works nail dept,,,Kent County,44003,41.675118,-71.580282,subdivision,East Greenwich,,2011-01-22,,,2010-10-01,,,,,,,"{""dates"": [{""date"": ""2010-10-01"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""10/1/2010""}, {""date"": ""2010-10-15"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""10/15/2010""}, {""date"": ""2010-10-29"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""10/29/2010""}, {""date"": ""2010-11-12"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""11/12/2010""}, {""date"": ""2010-12-03"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""12/3/2010""}, {""date"": ""2010-12-17"", ""role"": ""effective_component"", ""source_field"": ""Effective Date"", ""source_text"": ""12/17/2010""}], ""effective_date_interpretation"": ""list_or_phases""}",26,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,c17b13f2dd1d81f307185b2a0d1a2c45a12c6f7b16feabd5eba45d5f,79d07b553896917573008037dd44f4fd7dd3a956,2026-09-24,
RI,Bank of America,bank of america,Bank of America,wikidata,,522,sec-sic,enterprise,70858,BAC,exact,6021,National Commercial Banks,,,,Q487907,cik,,,automatic,qid:Q487907,,,Providence County,44007,41.869768,-71.578625,subdivision,Lincoln,,2011-02-15,,,2010-10-01,,,,,,,,89,unknown,,0,0,1,https://dlt.ri.gov/employers/worker-adjustment-and-retraining-notification-warn,e8b04b0cec3cd587bb5ba4442bbd77a45336f967984fd6b879a4d448,489b0ff22be7e54aa21a9f53e2333ddb45c72227,2026-09-24,
