state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,affected_site_address,affected_site_city,site_role,employer_mailing_address,employer_name_verbatim,letter_date,agency_received_date,agency_notification_date,agency_processed_date,source_record_urls,source_locators,source_status,timing_qc,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
SC,"ABM Janitorial, Inc",abm janitorial,"ABM Janitorial, Inc",filed,,561720,source,establishment,,,,,,,,,,,,,,n:abm janitorial,Kershaw town,4538095,Lancaster County,45057,34.543329,-80.587171,place,,,,,,,,,,,,,,Kershaw,,,,,2020-11-01,,,,,,SC:sc/2020.pdf:142,"{""dates"": [{""date"": ""2020-11-01"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""11/1/2020""}], ""source_artifact"": ""sc/2020.pdf"", ""source_page"": ""7""}",,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,ea1b07fb186c9190c04b169cdb95491255a1f56ecafee80510f84dc2,9ef52a9956357659b996662761ac952e1992ee58,2026-09-24,
SC,"ACS Industries, Inc",acs industries,"ACS Industries, Inc",filed,,327910,source,establishment,,,,,,,,,,,,,,n:acs industries,Manning city,4544350,Clarendon County,45027,33.693323,-80.216761,place,,,,,,,,,,,,,,Manning,,,,,2019-04-01,,,,,,SC:sc/2019.pdf:17,"{""dates"": [{""date"": ""2019-04-01"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""4/1/2019""}], ""source_artifact"": ""sc/2019.pdf"", ""source_page"": ""1""}",31,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,e03d0db7cd254968a791c539935b3faeff5086015f56f696f43ff794,fdfafb158500f691d1b2186eca09b511013c0599,2026-09-24,
SC,ADS Logistics,ads logistics,ADS Logistics,filed,,488510,source,establishment,,,,,,,,,,,,,,n:ads logistics,Gaffney city,4528060,Cherokee County,45021,35.073558,-81.661532,place,,,,,,,,,,,,,,Gaffney,,,,,2016-02-15,,,,,,SC:sc/2016.pdf:2,"{""dates"": [{""date"": ""2016-02-15"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""02/15/2016""}], ""source_artifact"": ""sc/2016.pdf"", ""source_page"": ""1""}",105,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,b193c19695f61a02d91437f02826a2187882d51366d4d3797d2f5103,68345787b1a131c6316fbd29a57754658b4cca0d,2026-09-24,
SC,AECOM,aecom,AECOM,wikidata,,541330,source,establishment,868857,ACM,exact,8711,Services-Engineering Services,,,,Q2825507,cik,,,automatic,qid:Q2825507,,,,,,,,,,,,,,,,,,,,,South Carolina,,,,,2020-03-14,,,,,,SC:sc/2020.pdf:4,"{""dates"": [{""date"": ""2020-03-14"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""3/14/2020""}], ""source_artifact"": ""sc/2020.pdf"", ""source_page"": ""1""}",10,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,70fc539ff07889d5d1bea93ee20e975e9b1c07cbdb8fe9c03db1f227,c51db6311bf136927ca84e17cdeb7b03201e3480,2026-09-24,
SC,AECOM (CTTR),aecom cttr,AECOM,wikidata,,541330,source,establishment,868857,ACM,exact:base,8711,Services-Engineering Services,,,,Q2825507,cik,,,automatic,qid:Q2825507,,,,,,,,,,,,,,,,,,,,,South Carolina,,,,,2019-09-30,,,,,,SC:sc/2019.pdf:31,"{""dates"": [{""date"": ""2019-09-30"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""9/30/2019""}], ""source_artifact"": ""sc/2019.pdf"", ""source_page"": ""2""}",10,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,a57ffea44a86128a2a05a9011f6d100b2b2774297218c7b7e3e75b06,7ea5f25e15cc8bd5f8a971c0d2e3d8a7ccb04cd3,2026-09-24,
SC,AFCO,afco,AFCO,filed,,336390,source,establishment,,,,,,,,,,,,,,n:afco,Anderson city,4501360,Anderson County,45007,34.521487,-82.643517,place,,,,,,,,,,,,,,Anderson,,,,,2018-12-31,,,,,,SC:sc/2018.pdf:16,"{""dates"": [{""date"": ""2018-12-31"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""12/31/2018""}], ""source_artifact"": ""sc/2018.pdf"", ""source_page"": ""1""}",395,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,28327e511922d39c8846bccfdec7de41920b2ee261c5801dd8d57ac0,2369be1d5ed7e6dbde8c21cd7945c5b7f5cc02a5,2026-09-24,
SC,ALICE Manufacturing,alice manufacturing,ALICE Manufacturing,filed,,313210,source,establishment,,,,,,,,,,,,,,n:alice manufacturing,Easley city,4521985,Pickens County,45077,34.819805,-82.582161,place,,,,,,,,,,,,,,Easley,,,,,2018-07-16,,,,,,SC:sc/2018.pdf:13,"{""dates"": [{""date"": ""2018-07-16"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""7/16/2018""}], ""source_artifact"": ""sc/2018.pdf"", ""source_page"": ""1""}",182,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,4dbd2312a7989296873229e613e8faafe4c05b1930bbf90734450a97,244f8221ae851ffe298601e44d54c31db31f9951,2026-09-24,
SC,ALSCO,alsco,Alsco Inc.,gleif,,812331,source,establishment,,,,,,,,5493002QZKTXPMZE9V93,Q60752605,label,,,automatic,lei:5493002QZKTXPMZE9V93,Columbia city,4516000,Richland County,45079,34.040519,-80.906099,place,,,,,,,,,,,,,,Columbia,,,,,2020-03-20,,,,,,SC:sc/2020.pdf:19,"{""dates"": [{""date"": ""2020-03-20"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""3/20/2020""}], ""source_artifact"": ""sc/2020.pdf"", ""source_page"": ""2""}",3,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,db5468249958bd941fd67b4f2dcc4d5f5c671c87bb5aedd9193fc5bd,a166faa4ff9eda405329b409d51a137d9d70a8a4,2026-09-24,
SC,APEX Tool Group,apex tool group,"APEX TOOL GROUP, LLC",gleif,,332216,source,establishment,,,,,,,,549300LWC59TPOM4ZR02,,,,,automatic,lei:549300LWC59TPOM4ZR02,Sumter city,4570405,Sumter County,45085,33.940848,-80.395543,place,,,,,,,,,,,,,,Sumter,,,,,2017-11-03,,,,,,SC:sc/2017.pdf:23,"{""dates"": [{""date"": ""2017-11-03"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""11/03/2017""}], ""source_artifact"": ""sc/2017.pdf"", ""source_page"": ""2""}",115,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,b83850be63d0288a85241d0101e8707216c3f5debec9d9bf293a34ae,b3dacb2005ea71e14f1e1e91c04d8586dba4dc9c,2026-09-24,
SC,ARD Logistics,ard logistics,ARD Logistics,filed,,488510,source,establishment,,,,,,,,,,,,,,n:ard logistics,Ladson CDP,4539220,Berkeley County,45015,33.009482,-80.107993,place,,,,,,,,,,,,,,Ladson,,,,,2020-09-30,,,,,,SC:sc/2020.pdf:123,"{""dates"": [{""date"": ""2020-09-30"", ""role"": ""legacy_projected"", ""source_field"": ""legacy_date"", ""source_text"": ""9/30/2020""}], ""source_artifact"": ""sc/2020.pdf"", ""source_page"": ""6""}",106,unknown,,0,0,1,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,34c811d554f0945e198b77366e522fc71f20aa258eb72822def1f60e,7409024caade73a94a0c409e6a0310592c043ad9,2026-09-24,
