state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,affected_site_address,affected_site_city,site_role,employer_mailing_address,employer_name_verbatim,letter_date,agency_received_date,agency_notification_date,agency_processed_date,source_record_urls,source_locators,source_status,timing_qc,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
TN,"401 FOOD LLC, dba Merchants Restaurant",401 food llc dba merchants restaurant,401 FOOD LLC,cleaned,,,,,,,,,,,,,,,,,,n:401 food,,,Davidson County,47037,36.169129,-86.78479,county,,,,,,,,,,,,,,Davidson,,,,,2023-06-04,day,reported,,,,TN:agency:2023:202300027,"{""agency_posted_date"":""2023-06-27"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/401-FOOD-LLC-DBA-Merchants-Restaurant-TDLWD-WARN-LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""June 4, 2023"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2023:p33"",""source_row_sha256"":""7e96fa898f48774fdfd049ffaa65ef87e62d90e3c0cf25015fffc2ee5fc9c90b"",""source_text"":""Date Notice Posted: 2023/6/27 | Company: 401 FOOD LLC, dba Merchants Restaurant | County: Davidson | Affected Workers: 96 | Closure/Layoff Date: June 4, 2023 | Notice/Type: #202300027""}",96,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202300027,7f3442473f58d1953d0e5e1dbba156fc6f69af60,2026-09-24,
TN,"ABM Aviation, Inc.",abm aviation,"ABM Aviation, Inc.",filed,,,,,,,,,,,,,,,,,,n:abm aviation,,,Davidson County,47037,36.169129,-86.78479,county,,,,,,,,,,,,,,Davidson,,,,,2021-06-30,day,reported,,,,TN:agency:2021:202100014,"{""agency_posted_date"":""2021-06-17"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports/ABM_Aviation_Inc_TDLWD_WARN_LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""June 30, 2021"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2021:p13"",""source_row_sha256"":""4ad0853b05c05da6c50f07a21dd6e9b9ccce1748f554a63ba711c22b66f16dc9"",""source_text"":""Date Notice Posted: 2021/6/17 | Company: ABM Aviation, Inc. | County: Davidson | Affected Workers: 90 | Closure/Layoff Date: June 30, 2021 | Notice/Type: #202100014""}",90,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202100014,b4b1e1dc38758d6a3eead2df50cd0488f79f6db4,2026-09-24,
TN,ABM Educational Services Inc.,abm educational services,ABM Educational Services Inc.,filed,,,,,,,,,,,,,,,,,,n:abm educational services,,,Davidson County,47037,36.169129,-86.78479,county,,,,,,,,,,,,,,Davidson,,,,,2022-12-31,day,reported,,,,TN:agency:2022:202300004,"{""agency_posted_date"":""2022-12-21"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/ABM-TDLWD-WARN-LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""December 31, 2022"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2022:p2"",""source_row_sha256"":""dbe150b2f83a39c28917aa778186a4adad18091b58064e23fba32e351a836393"",""source_text"":""Date Notice Posted: 2022/12/21 | Company: ABM Educational Services Inc. | County: Davidson | Affected Workers: 80 | Closure/Layoff Date: December 31, 2022 | Notice/Type: #202300004""}",80,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202300004,be674006d9f980c216a0ad1650f2be7a65d83f94,2026-09-24,
TN,"AKI, Inc. d/b/a Arcade Beauty",aki inc d b a arcade beauty,"AKI, Inc.",cleaned,,,,,,,,,,,,,,,,,,n:aki,,,Hamilton County,47065,35.163472,-85.201843,county,,,,,,,,,,,,,,Hamilton,,,,,2023-08-31,day,reported,,,,TN:agency:2023:202400001,"{""agency_posted_date"":""2023-07-06"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/AKI-Inc-dba-Arcade-Beauty-TDLWD-WARN-LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""August 31, 2023"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2023:p28"",""source_row_sha256"":""38bbbd0c531c8324fe11f0e283fb858fab1e2f03a6f6b3ceed7b3de088c40541"",""source_text"":""Date Notice Posted: 2023/7/6 | Company: AKI, Inc. d/b/a Arcade Beauty | County: Hamilton | Affected Workers: 84 | Closure/Layoff Date: August 31, 2023 | Notice/Type: #202400001""}",84,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202400001,62b6ac6dba31cbf51445005e32bcd2d5730326de,2026-09-24,
TN,"APL Logistics, Ltd.",apl logistics,"APL Logistics, Ltd.",filed,,,,,,,,,,,,,,,,,,n:apl logistics,,,Wilson County,47189,36.149431,-86.291181,county,,,,,,,,,,,,,,Wilson,,,,,2024-04-30,day,reported,,,,TN:agency:2024:202300040,"{""agency_posted_date"":""2024-02-07"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/APL-Logistics-Ltd-TDLWD-WARN-LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""4/30/2024"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2024:p9"",""source_row_sha256"":""a98eeca0b011d070a676c927af2d53af0f6236b9220216f21b75974c4b94346e"",""source_text"":""Date Notice Posted: 2/7/2024 | Company: APL Logistics, Ltd. | County: Wilson | Affected Workers: 52 | Closure/Layoff Date: 4/30/2024 | Notice/Type: #202300040""}",52,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202300040,aa6f7d71728f2d95dc7278880847c82cbd631a43,2026-09-24,
TN,Alba Health,alba health,Alba Health,filed,,,,,,,,,,,,,,,,,,n:alba health,,,Roane County,47145,35.84725,-84.523929,county,,,,,,,,,,,,,,Roane,,,,,,,,,,,TN:agency:2022:202300005,"{""agency_posted_date"":""2022-12-21"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Alba-Health-TDLWD-WARN-LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""January 2, 2023 – March 31, 2023"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2022:p1"",""source_row_sha256"":""277b9cf97f9b93139bb26eb52027a479cfe1c5e8fef164b21e6f850485251948"",""source_text"":""Date Notice Posted: 2022/12/21 | Company: Alba Health | County: Roane | Affected Workers: 121 | Closure/Layoff Date: January 2, 2023 – March 31, 2023 | Notice/Type: #202300005""}",121,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202300005,a3a8244b8d0cb57c8b9c3a696f41f2863bbdd307,2026-09-24,
TN,"Aludyne, Inc.",aludyne,"Aludyne, Inc.",gleif,,336390,employer,,,,,,,,,2549007KAMLKHPRZ4V02,,,,,automatic,lei:2549007KAMLKHPRZ4V02,,,Montgomery County,47125,36.500354,-87.380887,county,,,,,,,,,,,,,,Montgomery,,,,,2024-02-01,day,reported,,,,TN:agency:2023:202400026,"{""agency_posted_date"":""2023-12-11"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Aludyne-Inc-TDLWD-WARN-LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""February 1, 2024"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2023:p3"",""source_row_sha256"":""1c60d0f1f88b5e8e569c98a14cca689b9175dff3f2d4bd5dd96a3d9a2bedfb62"",""source_text"":""Date Notice Posted: 2023/12/11 | Company: Aludyne, Inc. | County: Montgomery | Affected Workers: 40 | Closure/Layoff Date: February 1, 2024 | Notice/Type: #202400026""}",40,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202400026,0d6594cb6bb464b0be1364ccc62d7e4bba8fb5eb,2026-09-24,
TN,"Aludyne, Inc.",aludyne,"Aludyne, Inc.",gleif,,336390,employer,,,,,,,,,2549007KAMLKHPRZ4V02,,,,,automatic,lei:2549007KAMLKHPRZ4V02,,,Montgomery County,47125,36.500354,-87.380887,county,,,,,,,,,,,,,,Montgomery,,,,,2024-04-17,day,reported,,,,TN:agency:2024:202300043,"{""agency_posted_date"":""2024-03-05"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Aludyne-Inc-TDLWD-WARN-LETTER-2024-03.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""4/17/2024"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2024:p11"",""source_row_sha256"":""415f9190be96471c3926e90b0cad4add87313970ff099a611779075aa9b0360a"",""source_text"":""Date Notice Posted: 3/5/2024 | Company: Aludyne, Inc. | County: Montgomery | Affected Workers: 33 | Closure/Layoff Date: 4/17/2024 | Notice/Type: #202300043""}",33,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202300043,d43ac97fc7cac980493beb2423929ca8441a3b59,2026-09-24,
TN,"Ameri-Kleen, Inc.",ameri kleen,"Ameri-Kleen, Inc.",filed,,,,,,,,,,,,,,,,,,n:ameri kleen,Rutherford town,4765760,Gibson County,47053,36.122081,-88.992851,place,,,,,,,,,,,,,,Rutherford,,,,,2024-02-17,day,reported,,,,TN:agency:2023:202400027,"{""agency_posted_date"":""2023-12-19"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Ameri-Kleen-Inc-TDLWD-WARN-LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""February 17, 2024"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2023:p2"",""source_row_sha256"":""722805c21d3b8390e16e9dd85178bf71972a1fae5456bb874167dbb2c2d83878"",""source_text"":""Date Notice Posted: 2023/12/19 | Company: Ameri-Kleen, Inc. | County: Rutherford | Affected Workers: 80 | Closure/Layoff Date: February 17, 2024 | Notice/Type: #202400027""}",80,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202400027,136dfbc46845fe06fc1ad2ecc8d56ec00e709fda,2026-09-24,
TN,American GreenFuels,american greenfuels,American GreenFuels,filed,,,,,,,,,,,,,,,,,,n:american greenfuels,,,Roane County,47145,35.84725,-84.523929,county,,,,,,,,,,,,,,Roane,,,,,2024-05-15,day,reported,,,,TN:agency:2024:202300057,"{""agency_posted_date"":""2024-05-17"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Kolmar-Americas-Inc-TDLWD-WARN-LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""5/15/2024"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2024:p25"",""source_row_sha256"":""1d1cc5b633352d02a86c396ce2da82070bc0a6ca8b7a0283725c0625cc3a6292"",""source_text"":""Date Notice Posted: 5/17/2024 | Company: American GreenFuels | County: Roane | Affected Workers: 21 | Closure/Layoff Date: 5/15/2024 | Notice/Type: #202300057""}",21,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202300057,dbbcbc003f40099602585813c61d83fbb8c670f8,2026-09-24,
TN,"American Health Partners, LLC",american health partners,"American Health Partners, LLC",filed,,,,,,,,,,,,,,,,,,n:american health partners,,,Williamson County,47187,35.894845,-86.897888,county,,,,,,,,,,,,,,Williamson,,,,,2024-12-31,day,reported,,,,TN:agency:2024:202400043,"{""agency_posted_date"":""2024-10-31"",""date_roles"":{""Closure/Layoff Date"":""reported_action"",""Date Notice Posted"":""agency_posting""},""document_urls"":[""https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/American-Health-Partners-LLC-TDLWD-WARN-LETTER.pdf""],""identity_basis"":""archive_section_and_notice_number"",""origin"":""agency/tn/reports.html"",""reported_action_text"":""12/31/2024"",""source_html_sha256"":""2ac39e4785487feef63e560577674455bc0f82fc52b06da0875ce9e30602e0c3"",""source_row"":""2024:p48"",""source_row_sha256"":""53520e33950148aa14e35ac1f11509100179de54cac4a4072c4207067edcf52a"",""source_text"":""Date Notice Posted: 10/31/2024 | Company: American Health Partners, LLC | County: Williamson | Affected Workers: 99 | Closure/Layoff Date: 12/31/2024 | Notice/Type: #202400043""}",99,unknown,,0,0,1,https://www.tn.gov/workforce/general-resources/major-publications0/major-publications-redirect/reports.html.html,202400043,22a02c92a3b3381271b1ecc6323dcc979d72af83,2026-09-24,
