state,employer_name,normalized_name,canonical_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
UT,Lozier Corporation,lozier,Lozier,,,,,,,,,,,,Q1365013,label,,,automatic,qid:Q1365013,Cedar City city,4911320,Iron County,49021,37.683818,-113.09554,place,Cedar City,2009-01-07,,82,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,29cc4f0c5320443a16a6bdccd287d5c9929701c262e10874f9e50b24,50765a6845fd793200c589c749b144c21fda0816,2026-07-16,2026-07-19
UT,Rio Tinto,rio tinto,,,,,,,,,,,,,,,,,,n:rio tinto,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2009-01-16,,66,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,67accb3ead2e8d5635a7e76cb7aef53a829a8191545975bfb546b959,4218bae5e208412fde5c8862bc107af00e8baf51,2026-07-16,2026-07-19
UT,Move Networks,move networks,,,,,1377092,,exact,,,,,,,,,,automatic,cik:1377092,American Fork city,4901310,Utah County,49049,40.377877,-111.795074,place,American Fork,2009-02-02,,57,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,883bf4736175cc3a6472a12c3396eb95a8d96f9fa138710549ca8320,91248d9441ad0e7183e18d9bf5f2371a56250871,2026-07-16,2026-07-19
UT,Western Quality Foods,western quality foods,,,,,,,,,,,,,,,,,,n:western quality foods,Cedar City city,4911320,Iron County,49021,37.683818,-113.09554,place,Cedar City,2009-03-02,,95,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,58b28e7689772336ee6a58bb9355b870103a2a0cd7a203b1f699a5f2,e33e2471d56aac12e0062039c4a3b50a8a03b92a,2026-07-16,2026-07-19
UT,"Holland & Hart, RxAmerica",holland hart rxamerica,,,,,,,,,,,,,,,,,,n:holland hart rxamerica,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2009-03-06,,43,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,6e700ebea375c0b11e579e69de27510b9d546741bd506b10867d80c5,8332cf0512aad4d29c33f8be3dc2159754f1d246,2026-07-16,2026-07-19
UT,Schlumberger,schlumberger,SLB,,213112,sic-crosswalk,87347,SLB,exact,1389,"Oil & Gas Field Services, NEC",,,,Q1425316,cik,,,automatic,qid:Q1425316,Vernal city,4980090,Uintah County,49047,40.451701,-109.538007,place,Vernal,2009-03-26,,28,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,632431a3c8ea6888d7b9ca6f84118d8b37141f605326b845484ebcde,9fc5d1a87517f4ee65cfb9a7c02c0b69bd5ba974,2026-07-16,2026-07-19
UT,Spring Air,spring air,,,,,,,,,,,,,,,,,,n:spring air,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2009-05-01,,53,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,670cc1da74f6371d7325ef6b20b5f7c95ec4bb927066dcd1481b1ba1,4b7960eeeaeb7973d0a91f58743e20b59f1841ec,2026-07-16,2026-07-19
UT,Teleperformance USA,teleperformance usa,,,,,1406914,,fuzzy:0.96,,,,,,,,,,automatic,cik:1406914,Clearfield city,4913850,Davis County,49011,41.097012,-112.01792,place,Clearfield,2009-05-06,,189,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,c58345c8444968bc0045a87573fb06d63b96e3548f24419044a997ff,8b7c4891f2a661b8b516a65fd95f37de1c8aead6,2026-07-16,2026-07-19
UT,Schlumberger,schlumberger,SLB,,213112,sic-crosswalk,87347,SLB,exact,1389,"Oil & Gas Field Services, NEC",,,,Q1425316,cik,,,automatic,qid:Q1425316,Vernal city,4980090,Uintah County,49047,40.451701,-109.538007,place,Vernal,2009-05-28,,22,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,618cdfbabf14e16d0ed26818db3cae0ca95fc99bc573d0ac0ecfa5cb,4767e5813bd9af0a1fae6d7f829a2b65111fafe0,2026-07-16,2026-07-19
UT,Weather Shield PremiumWindows & Doors,weather shield premiumwindows doors,,,,,,,,,,,,,,,,,,n:weather shield premiumwindows doors,Logan city,4945860,Cache County,49005,41.740256,-111.841764,place,Logan,2009-05-28,,95,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,5f65bbf61023f0172d3b644b7cf137597b34aadf015a75fa98211580,06177d6f504c8d30d681e147fb9524bc03fb217c,2026-07-16,2026-07-19
UT,First Transit,first transit,,,,,,,,,,,,,,,,,,n:first transit,Logan city,4945860,Cache County,49005,41.740256,-111.841764,place,Logan,2009-06-14,,100,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,2ff379cf7dfa5c3485df615aa9e104827c00ece1f0959eb6609e04a6,66eec1895917430ac30573a44d78cf9ad2d0ec70,2026-07-16,2026-07-19
UT,Beneficial Life Insurance,beneficial life insurance,,,,,,,,,,,,,,,,,,n:beneficial life insurance,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2009-06-16,,150,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,b501d5084acc527395b8de017affcfdd95742a4fb72c3829956a0211,81cb912b8340d4572044899dc0bf94ccc1b2ece9,2026-07-16,2026-07-19
UT,"Holland & Hart, RxAmerica",holland hart rxamerica,,,,,,,,,,,,,,,,,,n:holland hart rxamerica,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2009-06-30,,200,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,6ee494e518217445f056bb85b4bbae0972e06120b69eb79f63fd94db,dc3550f6c20eb4b78b315f3f42286fbaa20a360d,2026-07-16,2026-07-19
