state,employer_name,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
VA,Northrop Grumman Technical Services Inc. (NGTS),Fort Eustis VA,2010-07-29,2010-09-30,173,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,2cee7d1dd7791068c42f5a2e638b8b68c8019d871e64e1e1d8eeee94,005d137ed69d5b2394f46e47ee073d4e2c1cdf75,2026-07-16,2026-07-19
VA,Western Refining Yorktown Inc.,Yorktown VA,2010-08-05,2010-08-05,225,unknown,,0,0,1,https://www.virginiaworks.gov/warn-notices/,53230aa03b7f506c48edd009f5a9ec12920a34c730950e300c98640b,3a2b89e9e1f10f93337cb3c2f2a3b5021a57aac4,2026-07-16,2026-07-19
VA,Northrop Grumman Technical Services Inc (NGTS),Wallops Island VA,2010-08-11,2010-10-15,169,unknown,,0,0,1,https://www.virginiaworks.gov/warn-notices/,96a4440632b28651fb0f0a7f9e0a16b95462a7b453e753ec55e0b05d,c7b33f81a31c2afcaa38322aaa0299d1340e7f83,2026-07-16,2026-07-19
VA,Raytheon Mission Operations & Services,Hampton VA,2010-08-25,2010-10-27,82,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,31b2fc7711a0a1c93d5b919ac11be0936e320b661ff0629a3c195916,08256eb8b6cebbae27b38707b134a79d4fbd6833,2026-07-16,2026-07-19
VA,Science Application International Corporation (SAIC),Alexandria VA,2010-08-27,2010-10-31,90,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,04be5a6bf70cc3c7efb92139f2921c2419f82bd0cd937b58a9f32aa7,bda24f5628b4cc1668f2b9bea2d5714709d26ca1,2026-07-16,2026-07-19
VA,Smurfit-Stone Container Corporation,Richmond VA,2010-09-02,2010-10-31,146,closure,,0,0,1,https://www.virginiaworks.gov/warn-notices/,da177c8dec3da20d3c0c3ceb60de17240d85cbee93d9007ae0cf7dfa,057038a6bec1df6dab9294a2cb3db2d493385ef3,2026-07-16,2026-07-19
VA,Smurfit-Stone Container Corporation,Rcihmond VA,2010-09-02,2010-10-31,83,closure,,0,0,1,https://www.virginiaworks.gov/warn-notices/,fad1ee9893e15aecb5aaaeecce4678f8b7c8b8727dd205473002a1d9,ce1b9662167974f61de061c1d4b822a376e32874,2026-07-16,2026-07-19
VA,Lockheed Martin Information Systems & Global Solutions,Herndon VA,2010-09-15,2010-10-15,59,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,04d10660e4888bc03a2e06567519ca50a0245addfa12ff83f9ffdc0f,ee1658886e84f05a1ab274940c789128d38c581c,2026-07-16,2026-07-19
VA,Xanodyne Pharmaceutical Inc.One RiverFront Place Newport KY,Alexandria VA,2010-09-21,2010-11-21,3,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,30c85599db8f8ae822f5ef5703490c20fdf946ee7a9ddc75c5720641,ac0fe5b6f9537df591818517d3ff1fa1bab80aed,2026-07-16,2026-07-19
VA,Travelers One Tower Square Hartford CT,Richmond VA,2010-09-22,2010-09-22,88,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,62e44b88022362cbc7a3bc6e34bed9227c622c91428b093681f8e15b,a17d7c0ee2bfe586a3f17ae10821ec21fb324798,2026-07-16,2026-07-19
VA,Principal Financial Group,Fairfax VA,2010-10-11,2010-12-10,2,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,1cdcf0a1c3ffd9a85cd19678adacbf69ca337b08f2946b19312b8552,da3f536f9d86fb7d64f242a32c00f34bdcbf8e14,2026-07-16,2026-07-19
VA,AREVA NP INC,Lynchburg VA,2010-10-15,2010-10-15,7,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,c116a9f1fa835e2924dde46fc71f11fccad9671519b3ab2dd685f108,ecab7a065804560cf0fbfd33e88024fbc0c52a54,2026-07-16,2026-07-19
VA,General DynamicsAdvance Information Systems National Business Park,Fairfax VA,2010-10-21,2011-01-03,9,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,8ef44dd32f318a6e303b89161a56fdffcf942c781461f1bb8228d737,39c852ab040ebe0ea15691fc6c0817c266e027b7,2026-07-16,2026-07-19
VA,Northrop Grumman Technical Services Inc.,Langley-Eustis VI,2010-10-25,2010-12-31,164,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,6c3b9bec75888e274a41956f9946d7a6e17ba0a9ef5232d72d164602,b0e50ae6b49b1fe6ac368c26c5493380562986d0,2026-07-16,2026-07-19
VA,Thomasville Furniture Industries Inc.,Appomattox VA,2010-11-02,2011-03-25,171,closure,,0,0,1,https://www.virginiaworks.gov/warn-notices/,b824ce21a59af431ebfc13034c2e03284220487260a3975c972a8f4a,d52fc5d2cfa03018dcca09304ec8a775f3e9f53f,2026-07-16,2026-07-19
VA,Covance Inc.,Vienna VA,2010-11-03,2011-01-03,223,unknown,,0,0,1,https://www.virginiaworks.gov/warn-notices/,8642eabdd355cab97296e46cb18413dd86720fb9bd6976ecb465b7c2,5ce932385e300d9c6a339360d55653bc51bfeee9,2026-07-16,2026-07-19
VA,Richmond Cold Storage Company LLC,Suffolk VA,2010-11-03,2010-12-25,108,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,80d57cc4e7d14fcb18c3ed6ae9d74263cddbb068308fb0069d77f106,a51b73eecbc9d91daafa50ef762a750e36ba843a,2026-07-16,2026-07-19
VA,Biovail Technologies Ltd.,Chantilly VA,2010-11-05,2011-01-14,54,closure,,0,0,1,https://www.virginiaworks.gov/warn-notices/,e0b5a55050d185a506c196afe6e68bf9847ba74b7101a4211022a50b,0917ed04f255284b1a6242b46ee9a65b9aa70355,2026-07-16,2026-07-19
VA,Duke Energy Generation Services INC,Narrows VA,2010-11-11,2011-03-15,41,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,d7a729fe4bbceec91b00e8f7d8d03297ab081767ea4979d0563284bc,aaf222134722c30b3117702594f504811b65a60f,2026-07-16,2026-07-19
VA,Current USA Inc.,Virginia Beach VA,2010-11-17,2010-11-17,49,closure,,0,0,1,https://www.virginiaworks.gov/warn-notices/,7db01c40a1e74b28e86b646a8d7cee305f5d5a54966118ba7ddb53ca,4576fc963081915909bd67debc58529df59a60fa,2026-07-16,2026-07-19
VA,NCO NCO Financial Systems Inc.,Hampton VA,2010-12-01,2011-12-04,368,mass_layoff,,0,0,1,https://www.virginiaworks.gov/warn-notices/,e418c2ed4a744fa2869ddf2f5e73767e7403dbcc22bde59c7b3ca345,24be06dfe6049e54426ffe9e8610cb4555665f87,2026-07-16,2026-07-19
