state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
VT,Specialty Filaments Inc.,specialty filaments,Specialty Filaments Inc.,filed,,,,,,,,,,,,,,,,,,n:specialty filaments,,,,,,,,00 - Vermont Workforce Investment Area,,2005-05-13,,,,,,,,,,,,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,2706626acc142ef8199795adcbaf4d9784d4788a374c54e2c57af719,24f04c021e78ba0049dcaaa8eb747b81fd21ab6c,2026-09-24,
VT,"Husky Injection Molding Systems, Inc.",husky injection molding systems,"Husky Injection Molding Systems, Inc.",filed,,,,,1331273,,exact,,,,,,,,,,automatic,cik:1331273,,,,,,,,00 - Vermont Workforce Investment Area,,2005-07-12,,,,,,,,,,,68,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,a20768d964dfd5ab2b374fc341e1dbacc06dc0232dd655221247919d,5987b2317b125276e2e9ef205de6f5fbdf66fd82,2026-09-24,
VT,Capital City Press,capital city press,Capital City Press,filed,,,,,1266002,,exact,,,,,,,,,,automatic,cik:1266002,,,,,,,,00 - Vermont Workforce Investment Area,,2005-09-14,,,,,,,,,,,45,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,8b67f8487f15359584d84b464cce140d78ab1d92c04faaf3ab1c35f4,2e261d8f1366dfc4a158365e911567c0bedf8c8d,2026-09-24,
VT,Plasan Carbon Composites,plasan carbon composites,Plasan Carbon Composites,filed,,,,,,,,,,,,,,,,,,n:plasan carbon composites,,,,,,,,00 - Vermont Workforce Investment Area,,2009-01-15,,,,,,,,,,,,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,220e67f52d79a0aabd346a85e14adbec15906205ad91a4b29c5d2a5d,ef5b75f1a66aeafaa92319f293310d5b8be09707,2026-09-24,
VT,"Lydall Thermal/Acoustical, Inc.",lydall thermal acoustical,"Lydall Thermal/Acoustical, Inc.",filed,,,,,,,,,,,,,,,,,,n:lydall thermal acoustical,,,,,,,,00 - Vermont Workforce Investment Area,,2009-01-30,,,,,,,,,,,207,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,1ecfa24f71258df6e568a130becc031bb4546c2c33873a97f9a225de,2a155cbeaa8b10b3580ee1b7962274257793e731,2026-09-24,
VT,Monahan Filaments,monahan filaments,Monahan Filaments,filed,,,,,,,,,,,,,,,,,,n:monahan filaments,,,,,,,,00 - Vermont Workforce Investment Area,,2009-04-17,,,,,,,,,,,,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,8adcb6c92269e79211af8093f66c934220603e052a7c1f53ce9a3451,5ff19be8660470672f2213bd289cd52ad0b6b06e,2026-09-24,
VT,Ethan Allen,ethan allen,Ethan Allen,filed,,337,sec-sic,enterprise,896156,ETD,listed-extension,2511,"Wood Household Furniture, (No Upholstered)",,,,,,,,automatic,cik:896156,,,,,,,,00 - Vermont Workforce Investment Area,,2009-06-24,,,,,,,,,,,,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,7709aad170b5574d7f0102bbf3157dc16d8ff137b6f008db5f41406b,a859291c47eab3d75eec57b88952f4931794e5d4,2026-09-24,
VT,Monahan Filaments,monahan filaments,Monahan Filaments,filed,,,,,,,,,,,,,,,,,,n:monahan filaments,,,,,,,,00 - Vermont Workforce Investment Area,,2009-09-04,,,,,,,,,,,68,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,df7ce0a6ce0ad1acc2ec31299091af0c5e8215860db0132a03e535db,97ac05be654f5ec28edeadc6cd2a53968d3ed002,2026-09-24,
VT,Penn Traffic Company,penn traffic,Penn Traffic Company,filed,,44-45,sec-sic,enterprise,77155,,exact,5411,Retail-Grocery Stores,,,,,,,,automatic,cik:77155,,,,,,,,00 - Vermont Workforce Investment Area,,2009-11-18,,,,,,,,,,,,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,91b4b5074425a9923afac2af011abf186e6a113d220fbe9f6b629d33,d3470535513e8f3fb3dd6ab62f07045d9b583500,2026-09-24,
VT,Plasan Carbon Composites Inc.,plasan carbon composites,Plasan Carbon Composites Inc.,filed,,,,,,,,,,,,,,,,,,n:plasan carbon composites,,,,,,,,00 - Vermont Workforce Investment Area,,2014-03-14,,,,,,,,,,,160,unknown,,0,0,1,https://www.vermontjoblink.com/search/warn_lookups,496ccc7353b5eb0a544b1d6f864667281144fc22dc280f00cad21b64,8590617f03c7a11d4712f2db231df5908ef45643,2026-09-24,
