state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,site_address,notice_date,notice_date_precision,notice_date_basis,effective_date,effective_date_precision,effective_date_basis,effective_date_end,effective_date_end_precision,effective_date_end_basis,source_identity,source_details,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
WA,"365 Hospitality Associates, LLC",365 hospitality associates,"365 Hospitality Associates, LLC",filed,,,,,,,,,,,,,,,,,,n:365 hospitality associates,Seattle city,5363000,King County,53033,47.619335,-122.351538,place,Seattle,,,,,2020-03-16,day,reported,,,,,"{""agency_received_date"": ""2020-03-27"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2020-03-16"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2020-03-27"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""3/27/2020""}]}",84,mass_layoff,1,0,0,1,https://esd.wa.gov/about-employees/WARN,61844f7b864032add2408d22799c44f2ad29bfb61e4fa03366680ca9,2ea497282edc08b908f0e89d430146630a08ed72,2026-09-24,
WA,A.O. Smith,a o smith,A. O. SMITH CORPORATION,gleif,,,,,,,,,,,,549300XG4US7UJNECY36,Q4648219,label,,,automatic,lei:549300XG4US7UJNECY36,Renton city,5357745,King County,53033,47.47919,-122.194613,place,Renton,,,,,2018-06-15,day,reported,,,,,"{""agency_received_date"": ""2018-04-13"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2018-06-15"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2018-04-13"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""4/13/2018""}]}",57,closure,0,0,0,1,https://esd.wa.gov/about-employees/WARN,476151931499fce78b81a29bf60c0bf282ae8dba450c0910d7584145,1999475a3f8f61b7a1ac7836a3b497d340081737,2026-09-24,
WA,"AB Car Rental Services, Inc.",ab car rental services,"AB Car Rental Services, Inc.",filed,,,,,1391308,,exact,,,,,,,,,,automatic,cik:1391308,Tukwila city,5372625,King County,53033,47.476289,-122.27574,place,Tukwila,,,,,2010-05-19,day,reported,,,,,"{""agency_received_date"": ""2010-03-17"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2010-05-19"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2010-03-17"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""3/17/2010""}]}",206,mass_layoff,0,0,0,1,https://esd.wa.gov/about-employees/WARN,c419c817993e0572479832f0b66abd2ef9bf73797d507e128d01a780,62127d82f69f358d7abd9388d3a0f3c883a07258,2026-09-24,
WA,"ABM Aviation, Inc.",abm aviation,"ABM Aviation, Inc.",filed,,,,,,,,,,,,,,,,,,n:abm aviation,SeaTac city,5362288,King County,53033,47.443403,-122.298287,place,SeaTac,,,,,2019-05-13,day,reported,,,,,"{""agency_received_date"": ""2019-03-08"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2019-05-13"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2019-03-08"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""3/8/2019""}]}",176,mass_layoff,0,0,0,1,https://esd.wa.gov/about-employees/WARN,6d4f46ff3347ae11f3dec3cd1749c48f650ee2c0a2421d1777ec6e2f,939fcffbc4f8e848d617a3b7564cb31c62a477fc,2026-09-24,
WA,"ABM Aviation, Inc.",abm aviation,"ABM Aviation, Inc.",filed,,,,,,,,,,,,,,,,,,n:abm aviation,SeaTac city,5362288,King County,53033,47.443403,-122.298287,place,SeaTac,,,,,2018-01-01,day,reported,,,,,"{""agency_received_date"": ""2017-11-09"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2018-01-01"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2017-11-09"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""11/9/2017""}]}",171,closure,0,0,0,1,https://esd.wa.gov/about-employees/WARN,4f388b38b3b2f853c2c7e9a468890604581c5f7d80a954f30a4d5a36,f24d4b1743e03f838bb457f382a5c898ba9a4a0f,2026-09-24,
WA,ABX Air,abx air,"ABX AIR, INC.",gleif,,48-49,employer,,,,,,,,,549300DVSP5KP4J1PC58,,,,,automatic,lei:549300DVSP5KP4J1PC58,Chehalis city,5311475,Lewis County,53041,46.664176,-122.965425,place,Chehalis,,,,,2009-02-13,day,reported,,,,,"{""agency_received_date"": ""2008-12-26"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2009-02-13"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2008-12-26"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""12/26/2008""}]}",4,closure,0,0,0,1,https://esd.wa.gov/about-employees/WARN,54b2469cad3fc2f4459bb418bf67064c45e937ea505a6355c8dddd29,44b45872e78baf63205825c5507e761525ba4466,2026-09-24,
WA,ABX Air,abx air,"ABX AIR, INC.",gleif,,48-49,employer,,,,,,,,,549300DVSP5KP4J1PC58,,,,,automatic,lei:549300DVSP5KP4J1PC58,Chehalis city,5311475,Lewis County,53041,46.664176,-122.965425,place,Chehalis,,,,,2009-01-13,day,reported,,,,,"{""agency_received_date"": ""2008-11-14"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2009-01-13"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2008-11-14"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""11/14/2008""}]}",52,closure,0,0,0,1,https://esd.wa.gov/about-employees/WARN,37a786a28888f3e20616508d4154cae95bc6ef32b7634153faacd0fa,7d89438bcfc194056187ddc916580119d80a9b10,2026-09-24,
WA,AECOM,aecom,AECOM,wikidata,,54133,sec-sic,enterprise,868857,ACM,exact,8711,Services-Engineering Services,,,,Q2825507,cik,,,automatic,qid:Q2825507,Pacific Beach CDP,5352530,Grays Harbor County,53027,47.214135,-124.196854,place,Pacific Beach and Whidbey Island,,,,,2019-09-30,day,reported,,,,,"{""agency_received_date"": ""2019-07-31"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2019-09-30"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2019-07-31"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""7/31/2019""}]}",10,mass_layoff,0,0,0,1,https://esd.wa.gov/about-employees/WARN,97112378bd77317069770736162d4142c5a798ec8dffed716540b887,536f3d72ceb9f33023cb7c66c15466917f9b2731,2026-09-24,
WA,AECOM,aecom,AECOM,wikidata,,54133,sec-sic,enterprise,868857,ACM,exact,8711,Services-Engineering Services,,,,Q2825507,cik,,,automatic,qid:Q2825507,Pacific Beach CDP,5352530,Grays Harbor County,53027,47.214135,-124.196854,place,Pacific Beach and Whidbey Island,,,,,2020-03-14,day,reported,,,,,"{""agency_received_date"": ""2020-01-17"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2020-03-14"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2020-01-17"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""1/17/2020""}]}",11,mass_layoff,0,0,0,1,https://esd.wa.gov/about-employees/WARN,51a846a737ab9b53c6b18365cf0ecd5faab3194e250b70a912b6fb6a,8c5d9b57382e438d217ebb8008780cc1e6975273,2026-09-24,
WA,"AG Management Group, LLC",ag management group,"AG Management Group, LLC",filed,,,,,,,,,,,,,,,,,,n:ag management group,Yakima city,5380010,Yakima County,53077,46.590938,-120.5494,place,Yakima,,,,,2025-11-19,day,reported,,,,,"{""agency_received_date"": ""2025-09-17"", ""date_evidence_rule"": ""wa_agency_received_role_v1"", ""date_precision_evidence"": {""effective_date"": {""matched_day"": ""2025-11-19"", ""rule"": ""labeled_source_day_match_v1"", ""source_field"": ""Layoff Start Date""}}, ""dates"": [{""basis"": ""reported"", ""date"": ""2025-09-17"", ""precision"": ""day"", ""role"": ""agency_received"", ""source_field"": ""Received Date"", ""source_text"": ""9/17/2025""}]}",1276,mass_layoff,0,0,0,1,https://esd.wa.gov/about-employees/WARN,9f0e248590bd27587d757add8883e46af8d20800a80fd6437ba4eb9c,9ae320d2423709a6c8b21b2402b8188f7864c16b,2026-09-24,
