state,employer_name,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
WI,"Oscar Meyer Div, Kraft Heinz Food Company",Madison,2016-01-06,2016-02-26,141,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,9a2b4dc5f4ae12e4b8659c300a5af8b0f606dd7ca153646bfd907c6e,f3f9e3d395971af21f9455ff9ef3ce9724e8b54a,2026-07-16,2026-07-16
WI,Grainger - Imperial Supplies,Green Bay,2016-01-11,2016-03-18,50,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,480fefda07ffda31c51f4f8d90e87b90d9530ed4a352a06643f8386b,ff03f6944954b67c3c71ace3b96e065529dc4a11,2026-07-16,2026-07-16
WI,Sealed Air Corporation,Sturtevant,2016-01-15,2016-03-15,29,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,8e055eb13f104823d76fae9cc2a5200b7fdce3b97be3abaa653797ac,5a6f54954db0e1e0f87df44cf5ecd56007d141df,2026-07-16,2026-07-16
WI,Sealed Air Corporation,Mount Pleasant,2016-01-15,2016-03-31,45,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,3e573ba365dc92816000b03e2ea075af79f8c8e63316c72e0384d7ba,861a2cd26df1f293b22433511bf330a68d2e8649,2026-07-16,2026-07-16
WI,Walmart #3030,Wauwatosa,2016-01-19,2016-04-15,78,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,1a56fb08aa56cb6ef353268aea7ceebef48f980e106080612acb45e3,551e9dcbec61207f8417641bd8dadc34ff7793b5,2026-07-16,2026-07-16
WI,Walmart #3031,Menomonee Falls,2016-01-19,2016-04-15,76,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,359b5f92a687a73f433322ab425d92c19be28016883def8b527406d5,952d617beead1bd0508f6ec2b0e992e16ac12c96,2026-07-16,2026-07-16
WI,Walmart #3496,Milwaukee,2016-01-19,2016-04-15,272,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,1c9ef10556b5a2355066b4c6bf421711ff7c816e417f0e94260bd358,4ca140fb5b51636ced9aaaaa2c02d42bd879907b,2026-07-16,2026-07-16
WI,Walmart #5698,Waukesha,2016-01-19,2016-04-15,61,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,9f9d35583476d2b0b762277c795fc29827b3b0440f38cd3e8325fd75,05d11122976e608a18ed18b3289dcec7bc3c4f08,2026-07-16,2026-07-16
WI,"ConAgra Foods, Inc.",Ripon,2016-01-25,2016-04-01,285,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,129f0c02008a6f14a089c70d8b46852015d6a6222916264760c7a3bb,0373889fb23a743f37e11b5f46cc793ffcbeabd2,2026-07-16,2026-07-16
WI,JP Morgan Chase & Co,Milwaukee,2016-01-26,2016-03-26,135,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,da06c5dc9018d92a3ac86c97182234fb394fa019e06994d2e5733338,9c3854f56da4d1ec3db2b496fe43008600e34da8,2026-07-16,2026-07-16
WI,BuySeasons,New Berlin,2016-01-29,2016-04-01,128,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,a9327143ffff1f39d9914b129fc9b1b4d7320617925c499627d9b7cb,e029e7d57fdefffb8e4fe46c130a3e28d315711a,2026-07-16,2026-07-16
WI,W.D. Hoard & Sons Co.,Fort Atkinson,2016-01-29,2016-03-18,3,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,758c93ab9e4c47e96de1ea3138ae89d268c6ae0f79936320155d135f,d98a30d5e0903fd6928e2520897b51e5320431fe,2026-07-16,2026-07-16
WI,"Publications International, Ltd.",Yorkville,2016-02-02,2016-04-01,50,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,f8f09499f0517ba90f79bffc687be423ba2bef1cdb68061124624d31,7dc4cdbcea744356f0b0e2cf2377754228d3bd3b,2026-07-16,2026-07-16
WI,Mexican Accent LLC,New Berlin,2016-02-19,2016-04-22,155,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,0fbaf27df634a28a7740bd6f7c6cf3163c1ddc90016a9aa28c9c368b,771fa71f119a80a27e6351dd169b78dd5b587807,2026-07-16,2026-07-16
WI,Manitowoc Cranes,Port Washington,2016-02-22,2016-06-02,80,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,19bf3f725b4da92866e18f82d1d7b0b3509be8fa6239b0d3d7756db7,7f7eaa2fd91817d46e0c2de32c9748958f734e2a,2026-07-16,2026-07-16
WI,Eaton Corporation,Watertown,2016-02-24,2015-06-30,91,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,f9a1b4a824bbc0099bfe45480ba43f09425ed0f88cea20943c4fa685,37e0e37efbb4ed4e9863a9c3b12af312a0a5ae98,2026-07-16,2026-07-16
WI,"OEM Fabricators, Inc.",Baldwin,2016-03-03,2016-04-30,34,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,967549946b3e3f7fac528fcce413de85cf1f026ecae37fbb7dbfbf06,495662a6731637e35faaf8340bc187f4767461d7,2026-07-16,2026-07-16
WI,"Five Star Quality Care, Inc.",Pewaukee,2016-03-08,2016-05-17,144,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,b0615821921081ac8c7e1967936651505658621975f0b26e3ec7f084,70ae2f14889f31c8d4646177e923f0fccd11b815,2026-07-16,2026-07-16
WI,"Maslow Media Group, Inc.",Milwaukee,2016-03-21,2016-04-20,1,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,8f810083ea88de735176bfd0603dc494f0af55ae5759f1e21e6ba2b2,4e25efdc7e0e06e03a9bdf5ec37769a780a36abf,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Beloit,Beloit,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,d4b0a27a310e4ea10ce3809cb121804f2fda8d3e994620a9d7a8097e,2f4a757ecc8088e0af1641cf9ddca52811217a0f,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Beloit Hackett Head Start,Beloit,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,478578a67ec26834d92003f46cd9481c5359b6a884b6ace6925b6e13,74c0906a7d5326beeffa5b7b1e5a2adc0ec44d51,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Delavan,Delavan,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,b95fdc34ba81b4d03beda8195d501672ac83911746efed55f70d1ad5,475d470c3092bb5c63ab7770b8e006445175dddb,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Janesville Community Kids,Janesville,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,bdea6df72f8fb8ba41058eec4242104efe05492da30dd7f6e8b30184,0b1f7de6d2aa75be7bb64443f3290e402fb133d5,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Janesville Head Start,Janesville,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,ffc6bbe65575c0b346a5d892c600910c0b9ab7f1bec764c6fc789a0d,233742c411d2bab645b8e56c9f1ec434b02db345,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Lake Geneva,Lake Geneva,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,06cf81ed775dc83806047312ce00ab58cbcb66088b1dd2805fdd5230,5a5cae48b8d5aadde60e2030e86526749bd4a2a2,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Merrill Head Start,Janesville,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,711fca11998d39a2641219c7215623b2083b29b3985a2a437299f3a5,a1aafa2a2a6ee33e223ddbd354cc319bb6d9a986,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Sharon,Sharon,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,fef7f2fbf47ce3063c16a7fb7982cc223e0d6d91e7187d65168a5644,009d03429e0d5a2743581f25c4f8f21654c3c682,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Walworth Co. RWCFS,Delavan,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,2cef7286eb954e80b0cf720399e7dc53d08b014646e0691048e8f739,7b67f9aceb4faac8826b0ac4ace07939a8fa7d83,2026-07-16,2026-07-16
WI,Rock-Walworth Comprehensive Family Services Inc.-Whitewater,Whitewater,2016-03-24,2016-05-25,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,cb04d4d8a3ea275c179a5d419f226f9b52e6eb7fe19bb5367a79df4c,4230b95f769dc4a670c209aaf5c08044ecf1ab8f,2026-07-16,2026-07-16
WI,Superior Silica Sands,New Auburn,2016-03-24,2016-03-21,9,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,9f6cb8458e8550303f33ac6c29c35e60fc9b50671d819fd5aa06aeb4,8f6b7717a012f3766e59ff1672a9882d026a4533,2026-07-16,2026-07-16
WI,Superior Silica Sands,Chetek,2016-03-24,2016-03-21,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,c9fbb3c9bd55dabd9799d03074713d17156e91f156ba284944a96d7d,9bf0c3c1bab42caefd6d2f17f9f9d77ebbbdc1bd,2026-07-16,2026-07-16
WI,Superior Silica Sands,Prairie Farm,2016-03-24,2016-03-21,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,deca98c0b27d11d872881719ccc549dce08a469f58e258d46b2dcc35,edf3906a9824c50d59658423e04302ab04df127f,2026-07-16,2026-07-16
WI,Superior Silica Sands,Barron,2016-03-24,2016-03-21,10,unknown,,0,0,1,https://dwd.wisconsin.gov/dislocatedworker/warn/,5f56f13528cf2bc0cd34bdec2efb2b9405bd3526a379ffdd116ede4f,f04020d9b48661b9edb3558aeb86ccc8df47261b,2026-07-16,2026-07-16
