state,notice_date,employer_a,employer_b,location,jw,jobs_a,jobs_b,id_a,id_b
CA,2025-08-04,University of Southern California Keck Hospital,University of Southern California Norris Cancer Hospital,,0.93,45,10,1446,1447
CA,2026-03-12,Total Storage Solutions (Best RV & Self Storage),Total Storage Solutions (Townsend Self Storage),,0.93,3,3,2246,2254
CA,2026-03-12,Total Storage Solutions (Aware Self Storage),Total Storage Solutions (Western States Self Storage),,0.93,2,3,2256,2262
CA,2026-03-18,"Lodging Dynamics Hospitality Group, LLC (Hilton Garden Inn)","Lodging Dynamics Hospitality Group, LLC (Homewood Suites)",,0.93,36,51,2268,2270
CA,2022-04-29,First Baptist Head Start-Belshaw Center,First Baptist Head Start-Lido Square Center,,0.93,7,5,5593,5597
CA,2020-04-15,Neighborhood Healthcare-Grand Location,Neighborhood Healthcare - Rose Location,Escondido,0.93,1,3,8273,8278
CA,2020-04-15,Neighborhood Healthcare - Pharmacy Location,Neighborhood Healthcare - Rose Location,Escondido,0.93,2,3,8275,8278
TX,2025-10-02,Southwest Key Programs-Casa Houston Reliant,Southwest Key Programs-Casa Quetzal,Houston,0.93,1,3,39253,39257
TX,2025-08-06,"Southwest Key Programs, Inc. La Esperanza)","Southwest Key Programs, Inc.(Casa Nueva Esperanza)",Brownsville,0.93,4,9,39288,39289
TX,2024-06-04,99 Cents Only Store LLC (Lawndale),99 Cents Only Store LLC (Jones Road),Houston,0.93,20,20,39639,39644
TX,2024-06-04,99 Cents Only Store LLC (Jones Road),99 Cents Only Store LLC (Bissonet),Houston,0.93,20,20,39644,39648
MI,2023-09-15,"Thriveworks Administrative Services, LLC",THRIVEWORKS ADMINISTRATIVE,Lynchburg,0.93,78,78,55142,55170
NY,2019-03-13,Instacart (at Whole Foods Market) Columbus Circle,Instacart (at Whole Foods Market) (4 Union Square),New York,0.93,32,21,60214,60216
CA,2025-07-14,Blue Shield of California - Long Beach,Blue Shield of California - Woodland Hills,,0.929,11,10,1385,1386
CA,2025-07-14,Blue Shield of California - Long Beach,Blue Shield of California - Rancho Cordova,,0.929,11,3,1385,1387
CA,2025-07-14,Blue Shield of California - Woodland Hills,Blue Shield of California - Redding,,0.929,10,2,1386,1390
CA,2025-07-14,Blue Shield of California - Rancho Cordova,Blue Shield of California - San Diego,,0.929,3,2,1387,1388
CA,2025-09-12,Agile Physical Therapy (Sutter Health Fremont Physical Therapy & Hand Therapy),Agile Physical Therapy (Sutter Health Palo Alto Physical Therapy & Hand Therapy),,0.929,24,30,1592,1598
CA,2025-09-30,"FPI Management, Inc. (1110)","FPI Management, Inc. (Remote)",,0.929,39,16,1620,1621
CA,2025-10-31,Ceryx Management LLC (Blackstone),Ceryx Management LLC (Western),,0.929,39,13,1896,1901
CA,2025-11-18,Blue Shield of California (Rancho Cordova),Blue Shield of California (San Diego),,0.929,5,1,1943,1944
CA,2026-02-02,"Meta Platforms, Inc. - 1 Hacker","Meta Platforms, Inc.",,0.929,6,52,2122,2126
CA,2026-02-13,De La Pena Eye Clinic - DLP Commerce,De La Pena Eye Clinic - DLP Long Beach,,0.929,38,3,2166,2169
CA,2026-02-13,De La Pena Eye Clinic - DLP Long Beach,De La Pena Eye Clinic - DLP Van Nuys,,0.929,3,19,2169,2172
CA,2026-02-13,De La Pena Eye Clinic - DLP Los Angeles,De La Pena Eye Clinic - DLP Van Nuys,,0.929,12,19,2170,2172
CA,2026-02-27,Heritage Bank of Commerce (San Jose),Heritage Bank of Commerce (Morgan Hill),,0.929,85,1,2241,2243
CA,2026-03-12,Total Storage Solutions (Best RV & Self Storage),Total Storage Solutions (Citrus Plaza Self Storage),,0.929,3,2,2246,2265
CA,2026-03-12,Total Storage Solutions (Crenshaw Self Storage),Total Storage Solutions (All Size Self Storage),,0.929,2,3,2247,2251
CA,2026-03-12,Total Storage Solutions (Crenshaw Self Storage),Total Storage Solutions (E Street Self Storage),,0.929,2,2,2247,2264
CA,2026-03-12,Total Storage Solutions (Studebaker Self Storage),Total Storage Solutions (Aware Self Storage),,0.929,3,2,2249,2256
CA,2026-04-30,Manteca District Ambulance Service - Striker Court,Manteca District Ambulance Service - Hwy 49,,0.929,18,6,2434,2436
CA,2026-06-25,Adventist Health Delano,Adventist Health St. Helena,,0.929,3,3,2645,2656
CA,2025-04-28,"Center Point, Inc. (San Quentin)","Center Point, Inc. (7707 Austin)",,0.929,14,20,3335,3338
CA,2025-05-28,Google - Borregas,Google - Bordeaux,,0.929,1,33,3414,3415
CA,2025-06-02,Kaiser Foundation Hospitals - Berkeley,Kaiser Foundation Hospitals - Harbor City,,0.929,4,1,3427,3431
CA,2025-06-02,Kaiser Foundation Hospitals - Harbor City,Kaiser Foundation Hospitals - Vallejo,,0.929,1,1,3431,3441
CA,2024-06-04,EMCORE Corporation - Raymond,EMCORE Corporation,,0.929,26,25,4445,4446
CA,2022-11-15,Silicon Valley TMS of Mountain View,Silicon Valley TMS of Monterey Bay,,0.929,7,9,4756,4762
CA,2021-12-16,Wyndham Hotels & Resorts dba La Quinta Buena Park with L.Q. Management LLC,Wyndham Hotels & Resorts dba La Quinta Irvine Spectrum with L.Q. Management LLC,,0.929,25,20,5440,5441
CA,2021-12-16,Wyndham Hotels & Resorts dba La Quinta Redding with L.Q. Management LLC,Wyndham Hotels & Resorts dba La Quinta Ontario Airport with L.Q. Management LLC,,0.929,18,25,5443,5451
CA,2021-12-16,Wyndham Hotels & Resorts dba La Quinta Fresno with L.Q. Management LLC,Wyndham Hotels & Resorts dba La Quinta San Diego- Vista with L.Q. Management LLC,,0.929,20,20,5447,5454
CA,2022-02-10,Wyndham Hotels & Resorts dba La Quinta Buena Park with L.Q. Management LLC,Wyndham Hotels & Resorts dba La Quinta Irvine Spectrum with L.Q. Management LLC,,0.929,27,21,5506,5507
CA,2022-04-29,First Baptist Head Start-Fairgrounds Center,First Baptist Head Start-Odessa Center,,0.929,22,3,5598,5600
CA,2020-04-09,"FM Restaurants HQ, LLC dba Chevy's","FM Restaurants HQ, LLC",Milpitas,0.929,108,108,8283,8453
CA,2020-03-24,Bill Wright Toyota,Bill Wright Toyota (Service),Bakersfield,0.929,95,55,8519,8520
CA,2014-11-04,Warner Bros. Entertainment,Warner Bros. Home Entertainment,Burbank,0.929,13,46,15002,15003
NJ,2020-03-01,JACK DANIELS MOTORS K,JACK DANIELS OF USR,upper saddle River,0.929,15,26,32617,32618
TX,2025-05-21,Child Care Associates (Diamond Road),Child Care Associates (Everman),Fort Worth,0.929,13,9,39387,39393
TX,2024-06-04,99 Cents Only Store LLC (North Freeway),99 Cents Only Store LLC (Jones Road),Houston,0.929,20,20,39636,39644
TX,2024-06-04,99 Cents Only Store LLC (North Freeway),99 Cents Only Store LLC (Gessner),Houston,0.929,20,20,39636,39647
TX,2024-06-04,99 Cents Only Store LLC (Lawndale),99 Cents Only Store LLC (Bissonet),Houston,0.929,20,20,39639,39648
TX,2020-04-10,Willie's Grill & Icehouse - I35 South,Willie's Grill & Icehouse - North Loop,San Antonio,0.929,40,35,40633,40640
TX,2020-03-25,Quick Weight Loss Centers - Cinco Ranch,Quick Weight Loss Centers - HWY 6,Houston,0.929,4,4,41029,41037
TX,2016-05-26,"Lufkin Industries, LLC, (GE Oil & Gas-Gear Repair","Lufkin Industries, LLC, (GE Oil & Gas/Power Transmission)",Lufkin,0.929,44,213,45743,45744
MO,2020-04-27,Enterprise Holdings - Contact Center,Enterprise Holdings - Corporate,Multiple Locations,0.929,366,377,56011,56012
MO,2020-04-09,Asbury Automotive Group - Audi Creve Coeur,Asbury Automotive Group - Plaza Lexus Creve Coeur,Creve Coeur,0.929,24,51,56036,56041
NY,2020-06-24,"Columbus Restaurant Fund IV, LLC dba Porter House Bar and Grill","Columbus Restaurant Fund IV, LLC dba Center Bar",New York,0.929,87,11,58203,58204
NY,2020-05-21,"WeWork Companies, Inc. (Broad St.)","WeWork Companies, Inc. (W 40th St.)",New York,0.929,40,1,58405,58407
NY,2020-01-03,Catholic Guardian Services (202nd St.),Catholic Guardian Services (Davidson Ave.),Bronx,0.929,17,12,59884,59886
NY,2019-11-22,"WeWork Companies, Inc. (W 18th St.)","WeWork Companies, Inc. (Broad St.)",New York,0.929,423,250,59935,59936
NY,2019-02-28,Kuni's Corporation d/b/a Ikinari Steak (37 West 46th St),Kuni's Corporation d/b/a Ikinari Steak (Park),New York,0.929,9,1,60242,60246
NY,2018-06-01,Cardinal McCloskey Community Services - Head Start Programs (St. Martin of Tours),Cardinal McCloskey Community Services - Head Start Programs (Courtland Ave. - Child Development Center),Bronx,0.929,8,29,60565,60568
NY,2018-06-01,Cardinal McCloskey Community Services - Head Start Programs (Tolentine),Cardinal McCloskey Community Services - Head Start Programs (Courtland Ave. - Child Development Center),Bronx,0.929,33,29,60566,60568
NY,2017-05-01,IPRO Client Site (Corning),IPRO Client Site (Central),Albany,0.929,39,1,61018,61020
NY,2017-05-01,IPRO Client Site (Holland),IPRO Client Site (Central),Albany,0.929,5,1,61019,61020
CA,2025-07-17,"Primal Pet Foods, Inc. - Chadbourne","Primal Pet Foods, Inc. - Watt",,0.928,7,130,1411,1413
CA,2025-09-12,Agile Physical Therapy (Sutter Health Dublin Physical & Hand Therapy),Agile Physical Therapy (Sutter Health Sunnyvale Physical Therapy 1085),,0.928,7,23,1591,1594
CA,2025-10-31,Ceryx Management LLC (Sepulveda),Ceryx Management LLC (Western),,0.928,4,13,1897,1901
CA,2025-10-31,Ceryx Management LLC (Figueroa),Ceryx Management LLC (Western),,0.928,8,13,1899,1901
CA,2025-11-03,CommUnify - Filmore Center,CommUnify - Coronel Center,,0.928,4,1,1860,1878
CA,2026-02-03,HRL Laboratories,HRL Laboratories (Remote),,0.928,35,8,2132,2133
CA,2026-02-27,Heritage Bank of Commerce (Walnut Creek),Heritage Bank of Commerce (Morgan Hill),,0.928,4,1,2236,2243
