normalized_name,employer_name,states,notices,workers,years,stance,proposed,matched_cik,cik_match,parent_name,parent_cik,confidence,corroborated_by,outcome,gate,note
mervyn s,Mervyn's,CA,118,11283,2001-2008,private,Mervyn's Holdings LLC,,,,,0.72,,staged,existing override,"California department store chain, not registered with SEC."
hawker beechcraft,Hawker Beechcraft,GA|KS,89,11176,2008-2016,subsidiary,Hawker Beechcraft Corporation,,,Textron Inc.,217346,0.8,,staged,existing override,"Hawker Beechcraft is owned by Textron Aviation, a subsidiary of Textron Inc."
uss posco industries,USS Posco Industries,CA,13,7191,2001-2020,subsidiary,,,,United States Steel Corporation,116380,0.9,,staged,existing override,USS Posco Industries is a joint venture between US Steel and Posco.
first transit,"First Transit, Inc.",CA|FL|GA|IL|IN|MD|NC|NJ|NV|NY|OH|OK|TN|UT|VA|WA|WI,53,6217,2000-2026,subsidiary,,,,FirstGroup plc,,0.9,,staged,unknown parent CIK,First Transit is a subsidiary of FirstGroup plc.
dhl supply chain,DHL Supply Chain,CA|FL|GA|IL|IN|MA|NC|NJ|OH|PA|SC|TX|WI,38,5904,2017-2026,subsidiary,,,,Deutsche Post DHL Group,,0.9,,staged,unverifiable parent,DHL Supply Chain is a division of Deutsche Post DHL Group.
mark porter auto group mark porter autoplex,"Mark Porter Auto Group-Mark Porter Autoplex, Inc.",OH,1,5833,2020-2020,private,,,,,,0.95,,staged,existing override,"Local car dealership group, not SEC registered."
albertsons statewide tallahassee fl 32399 4137,"Albertsons STATEWIDE Tallahassee, FL 32399-4137",FL,1,5131,2008-2008,subsidiary,,,,SuperValu Inc.,71069,0.8,,staged,existing override,"Albertsons was owned by SuperValu, a public company, in 2008."
hyaxiom,"HyAxiom, Inc.",CT,3,4918,2024-2025,subsidiary,,,,Doosan Corporation,,0.7,,staged,unverifiable parent,"HyAxiom is a subsidiary of Doosan Corporation, a Korean public company."
haliburton energy services n sam houston,Haliburton Energy Services-N. Sam Houston,TX,2,4484,2020-2020,public,"Halliburton Company|Halliburton Energy Services, Inc.",45012,exact,,,0.95,"registrant filed 1994-2026, covering the notices",staged,under-corroborated,Halliburton is a public company; the filed name misspells it as Haliburton.
republic national distributing,"Republic National Distributing Company, LLC",AZ|CA|DC|FL|IL|LA|MD|NC|NE|OH|SC|SD|VA|WA,23,4397,2011-2026,private,,,,,,0.8,,staged,existing override,Republic National Distributing Company is a private wine and spirits distributor.
jc penney,JC Penney,CA|GA|IL|KS|MD|ME|MT|NV|OH|OK|TX|UT|VA|VT|WI,36,4383,1996-2026,public,"J. C. Penney Company, Inc.|JCPenney Corporation, Inc.",,,,,0.95,,staged,matcher refused,JCPenney was a public company; SEC CIK 70671.
menzies aviation,Menzies Aviation,CA|CO|CT|FL|GA|IL|MD|MI|TX|WA,24,4240,2012-2025,subsidiary,,,,Menzies plc,,0.85,,staged,existing override,"Menzies Aviation is a subsidiary of Menzies plc, a UK public company."
gate gourmet,"Gate Gourmet, Inc.",CA|FL|GA|HI|IL|MA|MO|OR|TX|VA|WA,20,4207,2004-2025,subsidiary,,,,gategroup,,0.8,,staged,existing override,"Gate Gourmet is a subsidiary of gategroup, a Swiss company."
midway airlines,"Midway Airlines, Inc",IL,2,4125,1991-1991,public,"Midway Airlines, Inc.",,,,,0.9,,staged,existing override,Midway Airlines was a public airline company until 1991.
