state,location,notices,workers,reason,kind,census_name,resolved_to,confidence,elsewhere,outcome,gate,note
CT,"82-E Buckland St, Manchester CT / 112-118 Boston Post Road, Orange, CT / 15 Backus Ave, Space 13-15, Danbury CT",2,18496,3 distinct places named,multiple,,,0.99,,staged,multiple,"lists three distinct places: Manchester, Orange, Danbury"
VA,Dulles VA,14,5352,no matching place,county,Loudoun County,Loudoun County,0.9,,staged,county-level,"Dulles is an airport in Loudoun County, Virginia"
IN,Gary and Portage,1,3765,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct cities: Gary and Portage
WA,"Seattle, Bellevue",8,3491,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct cities
MI,"Dearborn, Michigan; Farmington Hills, Michigan; Grosse Pointe, Michigan; Royal Oak, Michigan; Southfield, Michigan; Taylor, Michigan; Trenton, Michigan; Troy, Michigan; and Wayne, Michigan",1,2900,8 distinct places named,multiple,,,0.99,,staged,multiple,eight distinct places named
MD,"7002 Arundel Mills Circle Hanover, MD 21076",1,2400,no matching place,county,Anne Arundel County,Anne Arundel County,0.95,"AL,IL,IN,KS,MA,ME,MI,MN,NE,NH,NJ,NM,NY,OH,PA,VA,WI",staged,county-level,"Address in Hanover, an unincorporated community in Anne Arundel County"
MI,"Ann Arbor, Michigan; Birmingham, Michigan; Canton, Michigan; Clarkston, Michigan; Flint, Michigan; Grand Rapids, Michigan; Grandville, Michigan; Jackson, Michigan; Kalamazoo, Michigan; Kentwood, Michigan; Lansing, Michigan; Livonia, Michigan; Madison Heights, Michigan; Novi, Michigan; Okemos, Michigan; Portage, Michigan; Roseville, Michigan; Saginaw, Michigan, Shelby Township, Michigan; Southfield, Michigan, Southgate, Michigan; Sterling Heights, Michigan; Traverse City, Michigan; and Troy, Michigan",1,2289,23 distinct places named,multiple,,,1.0,,staged,multiple,23 distinct places listed
WI,"Brookfield, Eau Claire, Glendale, Greendale, Janesville, Madison, Marshfield, Milwaukee, Racine, Wauwatosa",1,2255,10 distinct places named,multiple,,,1.0,,staged,multiple,10 distinct places listed
WA,"Redmond, Bellevue, Issaquah",3,2184,3 distinct places named,multiple,,,1.0,,staged,multiple,3 distinct places listed
WA,"Seattle, Kent",2,2177,2 distinct places named,multiple,,,1.0,,staged,multiple,2 distinct places listed
AZ,Laveen,1,2137,no matching place,county,Maricopa County,Maricopa County,0.9,,staged,county-level,Laveen is an unincorporated community in Maricopa County
MD,"1430 Sparrows Point Blvd., Sparrows Point, MD",1,1975,no matching place,county,Baltimore County,,0.8,,staged,did not resolve,unincorporated community in Baltimore County
WI,"Milwaukee, Wabeno, Crandon",1,1835,2 distinct places named,multiple,,,0.99,,staged,multiple,"three distinct places: Milwaukee, Wabeno, Crandon"
MO,St. Louis & Springfield,1,1810,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: St. Louis and Springfield
NJ,Lawrence Twp,9,1770,no matching place,place,Lawrence Township,,0.95,,staged,did not resolve,Lawrence Township is an incorporated township in New Jersey
WI,"Abbotsford, Adams, Appleton, Arcadia, Ashwaubenon, Beaver Dam, Chippewa Falls, Clintonville, De Pere, Eagle River, Eau Claire, Fond du Lac, Fort Atkinson, Green Bay, Janesville, La Crosse, Lancaster, Marshfield, Mequon, Monroe, Neillsville, Oconto, Onalaska, Oshkosh, Park Falls, Reedsburg, Rice Lake, River Falls, Rothschild, Sister Bay, Spooner, Stanley, Suamico, Tomahawk, Waukesha, Wausau, Wautoma, Wisconsin Rapids",1,1715,38 distinct places named,multiple,,,0.99,,staged,multiple,list of 38 distinct places
CO,Arapahoe/Douglas (Centennial),2,1700,2 distinct places named,multiple,,,0.99,,staged,multiple,two counties named with a city in parentheses
WA,Redmond and Bellevue,3,1665,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Redmond and Bellevue
MI,"Detroit, Michigan and Troy, Michigan",1,1656,2 distinct places named,multiple,,,0.99,,staged,multiple,"two distinct places: Detroit and Troy, both in Michigan"
WA,"Seatac, Seattle",1,1583,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Seatac and Seattle
WI,"Appleton, Greenville, Kimberly, Neenah",1,1546,3 distinct places named,multiple,,,0.99,,staged,multiple,"multiple places: Appleton, Greenville, Kimberly, Neenah"
VA,Ringgold VA,7,1477,no matching place,county,Pittsylvania County,Pittsylvania County,0.9,"GA,LA,MD,PA,TX",staged,county-level,Ringgold is an unincorporated community in Pittsylvania County
IN,"Merrillville, Mishawaka, Fort Wayne, Kokomo, Greenwood, Muncie, Terre Haute, Bloomington, Clarksville, Evansville and Indianapolis",1,1448,11 distinct places named,multiple,,,0.99,,staged,multiple,11 distinct places listed
LA,"2650 Louisiana Avenue, Bldg. 4386 Fort Polk, LA 71459",5,1422,no matching place,county,Vernon Parish,Vernon Parish,0.95,,staged,county-level,Fort Polk military base in Vernon Parish
GA,McRae,3,1371,no matching place,place,McRae,,0.9,,staged,did not resolve,McRae is a city in Georgia
