old_key,new_key
cik:1729114,n:tilden mining
cik:77182,n:j c penney
cik:85812,n:russell
cik:920436,n:dish network
qid:Q1060537,lei:549300N7Q6EL65IHS133
qid:Q108443888,lei:549300EQPCK07ZW63836
qid:Q111393601,lei:5493000DN7B0MNX2RT06
qid:Q111393608,lei:5493004ICNIRGR80PR26
qid:Q113335608,ein:131923626
qid:Q115625249,lei:ZXZDWBXF4U47HEP2EO46
qid:Q117115999,lei:254900B1UY7SMSR28673
qid:Q117467986,ein:951696734
qid:Q1178784,lei:549300NZ98MTMCV8IG03
qid:Q1192654,lei:549300SEZNUB1KMF8427
qid:Q1221751,lei:549300RGU7Q1L13LNZ35
qid:Q126399,lei:549300U1JWW9SCOH3W56
qid:Q126845603,ein:590908166
qid:Q128471,ein:941459048
qid:Q131635515,lei:5493002MMDDCUNV7NY90
qid:Q135270635,lei:5493002OTV1C4F4YVI40
qid:Q135556605,ein:825408579
qid:Q136881714,lei:9845006FF4C40R05B003
qid:Q139645831,ein:611324736
qid:Q1475554,lei:549300WSZGQGJQXRFU84
qid:Q1503728,lei:5493006IFM30PWSM2474
qid:Q1508234,lei:549300NKZ6VCN5P3K723
qid:Q1509282,lei:L2EVHWFHVAQK72TMH265
qid:Q159846,lei:549300OJ7WHJ5FFDOQ11
qid:Q161906,lei:549300B2SVS1FPKE6955
qid:Q16834431,lei:54930017UG2CYHSOOG16
qid:Q16956471,lei:549300Q5ZSKHLXJ0YR63
qid:Q16966652,ein:910939479
qid:Q16983334,lei:549300XZP8MFZFY8TJ84
qid:Q17065479,lei:549300O0U0UJMC0T1B36
qid:Q182197,lei:636700R5T6O2T0URF775
qid:Q188307,ein:941156347
qid:Q190464,n:hsbc
qid:Q19647854,lei:5493000EAJN1KMPVA737
qid:Q206518,ein:941696494
qid:Q2078787,ein:042103590
qid:Q28973233,lei:549300QV6SE8ZLTNWJ75
qid:Q29052,ein:620476822
qid:Q2932452,ein:231526668
qid:Q2945887,ein:953522679
qid:Q2984571,lei:549300UYCUGNSXPO4319
qid:Q30280890,ein:941437713
qid:Q30285873,ein:951648180
qid:Q30338401,lei:549300TXHFZHG4TM7J27
qid:Q3068065,lei:549300R8SBVQLZC54K27
qid:Q3388421,lei:549300ZSLGV64ZL3HD75
qid:Q3428914,lei:549300MELFWP2VZQH709
qid:Q3759392,ein:953797687
qid:Q40322,ein:521968145
qid:Q4251581,lei:549300H5P56CU2ZOPV78
qid:Q4349112,lei:549300W7AU1YP8OZYE48
qid:Q4648219,lei:549300XG4US7UJNECY36
qid:Q4790503,lei:549300SEUPIFOJSK7Q94
qid:Q4857639,lei:549300C8SQLJKAFU3E59
qid:Q505866,lei:6T6CAG8O6TSUTMO6BA21
qid:Q5158999,ein:390833608
qid:Q5179879,lei:5493001NEDZNIFRP2R92
qid:Q5230388,lei:YEMD6E68QLMSL3ZMES44
qid:Q5253324,lei:5J0KF0R0UVJKDMJPFY33
qid:Q5316559,lei:2138006P1REFCUJGH779
qid:Q5324773,lei:OUDOIO1UUZ9DDR4EMJ88
qid:Q5451891,lei:0JJ27TIZIU2LZJ1JYM80
qid:Q54557017,ein:362179782
qid:Q54557022,ein:381358055
qid:Q54560022,ein:943227260
qid:Q5468836,lei:549300KF0BS5R368J758
qid:Q5474404,ein:680412350
qid:Q55454222,ein:203455598
qid:Q5579459,ein:942781708
qid:Q56300392,lei:549300AB48D8XD09VV45
qid:Q5665067,lei:54930034M67W396YUN74
qid:Q5874290,ein:951643327
qid:Q5955303,ein:860105586
qid:Q6023587,ein:351955872
qid:Q60752605,lei:5493002QZKTXPMZE9V93
qid:Q608421,lei:549300TCG3VHKUII7885
qid:Q627039,lei:549300A9X3QJC7CR1397
qid:Q6426036,lei:549300H4IOG5LW5HQP63
qid:Q6437101,ein:231718197
qid:Q6549316,ein:570314402
qid:Q654958,ein:410693976
qid:Q6689785,ein:341226547
qid:Q6720138,lei:5493002NJRI8E3HPDN45
qid:Q6935171,ein:930232310
qid:Q7080724,lei:JGYGIL4QGKKPZU7C1D18
qid:Q7128363,ein:822595551
qid:Q7130064,lei:254900O6CSHHXFVXAB50
qid:Q7167716,lei:5493006F09YYUZLWC372
qid:Q7389067,lei:V8HA8TAJG10VL0G7B254
qid:Q7397686,lei:5493000VO2PYU58UF973
qid:Q7431894,n:schneider national carriers
qid:Q75201786,lei:549300Q51DDHOWA5LC97
qid:Q7627777,lei:549300JMNJ6XM8HWY093
qid:Q7650154,ein:942788907
qid:Q7800643,lei:549300ZD1HCAM8TNK681
qid:Q7830837,lei:549300HVMSPQIYEDJ461
qid:Q7895258,ein:363488183
qid:Q7914455,ein:352528741
qid:Q7972051,lei:549300ADKOK76HQMJS30
qid:Q7976223,lei:549300NCQHUE1QAX9S88
qid:Q7981073,lei:5493002D8MM0P0ROFW19
qid:Q7984882,n:west
qid:Q7985852,n:west marine products
qid:Q8060801,ein:920041414
qid:Q812134,lei:5493006OUWQHGWPOJG16
qid:Q813483,ein:840822686
qid:Q813639,lei:A2351DQ25OUUH2Q6RR89
qid:Q822314,lei:254900EC97Q0JW8VIK57
qid:Q906406,lei:H9AD9QN07EKOX2GRN450
qid:Q970220,lei:549300C7Q6EVOWMBI662
qid:Q981112,ein:952217011
qid:Q98443202,lei:549300QEH4ZB4GMUGI26
