normalized_name,decision,cik,ein,lei,wikidata_qid,decided_by,decided_at,note
j c penney,,77182,,,,claude-opus-5,2026-07-27,"Notice names the Corporation; 77182 filed as PENNEY J C then J C PENNEY 1994-2016 and is the operating company. 1166126 is the 2002 holding company, later renamed Old Copper in bankruptcy."
berry plastics,,919465,,,,claude-opus-5,2026-07-27,"919465 carries the Plastics Products SIC and spans the notice years as BPC Holding then Berry Plastics 1996-2016; 1598460 is the 2014 group holding company."
dish network,,920436,,,,claude-opus-5,2026-07-27,"Notices name DISH Network LLC, which is 920436 (formerly EchoStar Satellite LLC, filed as Dish Network 2008-2021). 1001082 is the listed parent DISH Network Corp."
bank of the west,,59951,,,,claude-opus-5,2026-07-27,"59951 is the operating bank: Sanwa Bank California, then United California Bank, then Bank of the West 2002-2023, matching the CA/CO/NE/OR notices."
russell,,85812,,,,claude-opus-5,2026-07-27,"Knit Outerwear Mills SIC and 1994-2007 era match the AL/GA/WI apparel notices; Russell Corporation of Alexander City, Alabama."
arcelormittal usa,,1243429,,,,claude-opus-5,2026-07-27,"ArcelorMittal USA is the US operation of the listed parent: Steel Works SIC, ticker MT, filed as Arcelor then ArcelorMittal 2003-2026."
sears holdings mgmt,,1310067,,,,claude-opus-5,2026-07-27,"Sears Holdings Management Corporation is the management arm of Sears Holdings Corp (Retail-Department Stores, 2004-2020)."
west,,1024657,,,,claude-opus-5,2026-07-27,"West Corporation of Omaha: filed as West TeleServices then West 1996-2017, Services-Business Services SIC, and the notices are largely Nebraska."
west marine products,,912833,,,,claude-opus-5,2026-07-27,"West Marine Products is the operating company of West Marine (1996-2017), matching the CA notices."
abm,,771497,,,,claude-opus-5,2026-07-27,"ABM Inc is ABM Industries (formerly American Building Maintenance), ticker ABM, Services-To Dwellings SIC."
walmart stores,,104169,,,,claude-opus-5,2026-07-27,"Filed as Wal Mart Stores 1995-2018, then Walmart; ticker WMT."
general electric aviation,,40545,,,,claude-opus-5,2026-07-27,"GE Aviation is a General Electric business, not a separate registrant; 40545 is GE (ticker GE)."
sprint pcs,,101830,,,,claude-opus-5,2026-07-27,"Sprint PCS was Sprint's wireless brand; 101830 is Sprint (Telephone Communications SIC)."
schneider national carriers,,1692063,,,,claude-opus-5,2026-07-27,"Schneider National Carriers is the trucking operating company of Schneider National (ticker SNDR)."
conagra beef,,23217,,,,claude-opus-5,2026-07-27,"ConAgra Beef was a ConAgra division; 23217 filed as ConAgra then ConAgra Foods, ticker CAG."
mgm grand detroit casino,,1342815,,,,claude-opus-5,2026-07-27,"1342815 filed as MGM Grand Detroit 2005-2024 — the same casino the notice names."
nec electronics america,,1246135,,,,claude-opus-5,2026-07-27,"NEC Electronics America is the US arm of NEC Electronics (1246135, ADR filer 2003-2019)."
tyco electronics,,1385157,,,,claude-opus-5,2026-07-27,"The 1999-2003 notices predate the 2007 spin-off, when Tyco Electronics was a Tyco International division. 1385157 is the successor registrant that carried the business on, later TE Connectivity."
midway airlines,reject,,,,,claude-opus-5,2026-07-27,"The 1991 Chicago carrier that ceased operating that year is not the North Carolina airline that took the name in 1997 (946323). EDGAR begins in 1993 and never saw the first one."
qualex,reject,,,,,claude-opus-5,2026-07-27,"The 1991-2004 notices are Kodak's photofinishing subsidiary; 1475402 is an unrelated 2010-era filer of the same name."
onpoint,reject,,,,,claude-opus-5,2026-07-27,"A 2001 Texas employer cannot be the 2010-era registrant; the name is generic and nothing corroborates it."
signature fruit,reject,,,,,claude-opus-5,2026-07-27,"A California cannery matched only on the bare word Signature (1142888); no corroboration."
acme bus,reject,,,,,claude-opus-5,2026-07-27,"A New York school bus operator matched only on the word Acme (1803200)."
california overnight,reject,,,,,claude-opus-5,2026-07-27,"Matched only on the word California (1344359); the candidate is unrelated."
heritage home group,reject,,,,,claude-opus-5,2026-07-27,"The North Carolina furniture maker is not Heritage Group (1350750); the similarity is the word Heritage."
woodbridge logistics,reject,,,,,claude-opus-5,2026-07-27,"Matched only on the word Woodbridge (1397960), which is also a place name in the filing state."
first union national bank,reject,,,,,claude-opus-5,2026-07-27,"Both candidates became Wachovia entities and cannot be told apart; a 2000 California notice from an East Coast bank also wants explaining before it is joined."
nortel networks,reject,,,,,claude-opus-5,2026-07-27,"Three registrants share the name with overlapping eras and none is clearly Nortel Networks Inc, the US subsidiary the notices name."
goldman sachs,reject,,,,,claude-opus-5,2026-07-27,"Three same-named registrants, none of them the Group (886982, which the name never matches); the candidates are subsidiary and fund filers."
bridgestone firestone,reject,,,,,claude-opus-5,2026-07-27,"Neither candidate is clearly Bridgestone/Firestone Inc, the US manufacturer the 1991-2006 notices name."
