normalized_name,parent_cik,parent_name,source_year,decided_by,decided_at,note
granite city works,1163302,United States Steel Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Steel mill owned by United States Steel Corporation. Parent CIK from the EDGAR roster (exact).
xpo logistics supply chain,1166003,"XPO Logistics, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"XPO Logistics Supply Chain, Inc. is a subsidiary of XPO Logistics, Inc."
bon appetit management,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,Bon Appétit Management Company is a subsidiary of Compass Group PLC. Parent CIK from the EDGAR roster (exact).
crothall healthcare,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,Crothall Healthcare is a subsidiary of Compass Group PLC. Parent CIK from the EDGAR roster (exact).
gm lordstown complex,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,GM Lordstown Complex is owned by General Motors Company.
toledo north assembly plant,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,Toledo North Assembly Plant is a General Motors facility.
daimler trucks north america,1067318,Daimler AG,,deepseek/deepseek-v4-flash,2026-07-27,Daimler Trucks North America LLC is a subsidiary of Daimler AG. Parent CIK from the EDGAR roster (exact:listed).
jpmorgan chase bank jpmorgan chase,19617,JPMorgan Chase & Co.,,deepseek/deepseek-v4-flash,2026-07-27,"JPMorgan Chase Bank is a subsidiary of JPMorgan Chase & Co., a publicly traded company."
boeing satellite systems,12927,The Boeing Company,,deepseek/deepseek-v4-flash,2026-07-27,"Boeing Satellite Systems is a subsidiary of The Boeing Company, a public company."
kmart store,1310067,Sears Holdings Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Kmart stores are subsidiaries of Sears Holdings, which was a public company. Parent CIK from the EDGAR roster (exact)."
northrup grumman electro optical systems,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Northrop Grumman is a public defense contractor, and this is a division."
robinsons may macy s,794367,Macy's Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Robinsons-May / Macy's is a division of publicly traded Macy's Inc.
cargill meat solutions corporation plainview,884100,"Cargill, Incorporated",,deepseek/deepseek-v4-flash,2026-07-27,Cargill Meat Solutions is a subsidiary of privately-held Cargill. Parent CIK from the EDGAR roster (exact).
brown williamson tobacco,1303523,British American Tobacco p.l.c.,,deepseek/deepseek-v4-flash,2026-07-27,Brown & Williamson Tobacco was a subsidiary of publicly-traded British American Tobacco. Parent CIK from the EDGAR roster (exact).
penske vehicle services,1045742,"Penske Automotive Group, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of publicly traded Penske Automotive Group, Inc."
gaylord national harbor resort and conference center,1048286,Marriott International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Gaylord National Harbor is a Marriott-branded resort, owned by Marriott. Parent CIK from the EDGAR roster (exact)."
jacobs technology,52988,Jacobs Solutions Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Jacobs Technology is a subsidiary of publicly traded Jacobs Solutions. Parent CIK from the EDGAR roster (exact).
morrison healthcare,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Morrison Healthcare is a division of Compass Group, a public company. Parent CIK from the EDGAR roster (exact)."
novartis pharmaceuticals,1114448,Novartis AG,,deepseek/deepseek-v4-flash,2026-07-27,Novartis Pharmaceuticals Corporation is a U.S. subsidiary of Novartis AG.
lockheed aeronautical systems,936468,Lockheed Martin Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Lockheed Aeronautical Systems is a division of Lockheed Martin.
os restaurant llc d b a outback steakhouse,1546417,"Bloomin' Brands, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"OS Restaurant, LLC is a subsidiary of Bloomin' Brands, the publicly traded parent of Outback Steakhouse. Parent CIK from the EDGAR roster (exact)."
update mgm springfield,789570,MGM Resorts International,,deepseek/deepseek-v4-flash,2026-07-27,"MGM Springfield is owned by MGM Resorts International, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
dole farming,18169,Dole Food Company,,deepseek/deepseek-v4-flash,2026-07-27,"Dole Farming Company was a subsidiary of Dole Food Company, publicly traded at the time of the 2001 layoff. Parent CIK from the EDGAR roster (exact)."
gm lordstown,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,GM Lordstown is a subsidiary of General Motors.
seaworld of florida llc swbg orlando corporate operations group,1564902,SeaWorld Entertainment Inc.,,deepseek/deepseek-v4-flash,2026-07-27,SeaWorld of Florida is a subsidiary of SeaWorld Entertainment.
comair,27904,Delta Air Lines Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Comair was a subsidiary of Delta Air Lines.
boeing commercial airplane group,12927,The Boeing Company,,deepseek/deepseek-v4-flash,2026-07-27,"Boeing Commercial Airplane Group is a division of Boeing, a public company."
xerox business services,108772,Xerox Holdings Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Xerox Business Services, LLC is a subsidiary of Xerox Holdings Corporation."
sodexo inc and affiliates,1169715,Sodexo S.A.,,deepseek/deepseek-v4-flash,2026-07-27,"Sodexo is a French multinational, US operations under Sodexo Inc. Parent CIK from the EDGAR roster (exact:post-era)."
ritz carlton,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Ritz-Carlton is a wholly owned subsidiary of Marriott International.
hyatt regency,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Likely owned and operated by Hyatt Hotels Corporation, a publicly traded hospitality company. Parent CIK from the EDGAR roster (exact)."
tecumseh power,96831,Tecumseh Products Company,,deepseek/deepseek-v4-flash,2026-07-27,"Tecumseh Power Company was a subsidiary of Tecumseh Products Company, which filed with the SEC. Parent CIK from the EDGAR roster (exact)."
