Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
100 Sardines Management LLC d/b/a Lupulo,2017-12-21,2017-10-20,2017-10-20,"835 6th Ave.  New York, NY, 10001",New York,,N/A,Economic,43,55,55
"2171 West Side Supermarket, Ltd. (Westside Market)",2017-11-30,2017-09-01,2017-09-01,"2171 Broadway  New York, NY, 10024",New York,,N/A,Lease expiration,1,69,69
"A.I. Friedman, L.P.",2017-05-30,2017-03-01,2017-03-01,"44 West 18th Street  New York, NY, 10011",New York,,N/A,Economic,222,27,27
"ABM Aviation, Inc.",2017-11-14,2017-09-25,2017-09-25,"JFK International Airport, Terminals 2 and 4  Jamaica, NY, 11430",Queens,,N/A,Economic,95,560,560
"ACHIEVE NY, Broadway (Country Valley Industries - CVI)",2017-06-29,2017-03-28,2017-03-28,"56 Broadway  Owego, NY, 13827",Tioga,,N/A,Economic,204,2,2
"ACHIEVE NY, Culter Pond (Country Valley Industries - CVI)",2017-06-29,2017-03-28,2017-03-28,"125 Cutler Pond Road  Binghamton, NY, 13905",Broome,,N/A,Economic,200,5,5
"ACHIEVE NY, Lester Ave (Country Valley Industries - CVI)",2017-06-29,2017-03-28,2017-03-28,"60 Lester Avenue  Johnson City, NY, 13790",Broome,,N/A,Economic,201,23,23
"ACHIEVE NY, Riverside Dr. (Country Valley Industries - CVI)",2017-06-29,2017-03-28,2017-03-28,"47 Riverside Drive  Johnson City, NY, 13790",Broome,,N/A,Economic,202,5,5
"ADP, LLC",2017-09-29,2017-07-14,2017-07-14,"305 Spindrift Drive  Williamsville, NY, 14221",Erie,,N/A,Economic,132,25,25
"Aircraft Service International, Inc. d/b/a ASIG",2017-07-31,2017-05-15,2017-05-15,"JFK International Airport  Jamaica, NY, 11430",Queens,,N/A,Loss of Contract,1,378,378
"Allenair Corporation, A.K. Allen Co. Inc., Allen Avionics Inc.",2017-06-21,2017-03-23,2017-03-23,"255 East Second Street  Mineola, NY, 11501",Nassau,,N/A,Economic,207,69,69
"Allied Health Services, Inc.",2017-09-26,2017-06-28,2017-06-28,"391 East 149th Street  Bronx, NY, 10455",Bronx,,N/A,Transfer to new owner,1,351,351
"Alorica Customer Care, Inc.",2017-04-05,2017-01-05,2017-01-05,"131 Genesee Street  Utica, NY, 13421",Oneida,,N/A,Company moving into a different location in Utica,1,208,208
"Alstom Signaling, Inc.",2018-03-31,2017-11-17,2017-11-17,"1025 John Street  West Henrietta, NY, 14586",Monroe,,N/A,Relocate manufacturing activities to Missouri,1,86,86
Altice USA (Bethpage),2017-06-21,2017-03-20,2017-03-20,"80 Grumman Rd.  Bethpage, NY, 11714",Nassau,,N/A,Transition warehouse functions to new location,1,87,87
"Amesbury Truth, Inc.",2018-03-01,2017-12-01,2017-12-01,"1555 Jefferson Road  Rochester, NY, 14623",Monroe,,N/A,Conversion of product lines trans of production,1,142,142
"API Technologies, Corp.",2018-01-24,2017-10-27,2017-10-27,"72 Perinton Parkway  Fairport, NY, 14450",Monroe,,N/A,Economic,36,61,61
Apogee Retail NY LLC d/b/a Unique,2018-01-31,2017-10-31,2017-10-31,"408 Fulton Street  Brooklyn, NY, 11201",Kings,,N/A,Economic,35,58,58
"APTIM Services, LLC (@ Indian Point Energy Center)",2017-12-15,2017-12-20,2017-12-20,"295 Broadway  Buchanan, NY, 10511",Westchester,,N/A,Economic,9,73,73
"Aptim Services, LLC (@FitzPatrick Nuclear Station)",2017-09-06,2017-08-07,2017-08-07,"268 Lake Road  Oswego, NY, 13126",Oswego,,N/A,Contract Cancellation by Exelon for maintenance,1,105,105
"Aptim Services, LLC (@Nine Mile Point Nuclear Station)",2017-09-06,2017-08-07,2017-08-07,"348 Lake Road  Oswego, NY, 13126",Oswego,,N/A,Contract Cancellation by Exelon for maintenance,2,62,62
"Arroway Chevrolet, Inc.",2017-11-07,2017-08-04,2017-08-04,"175 N. Bedford Road  Mount Kisco, NY, 10549",Westchester,,N/A,Economic,120,80,80
"Ascion, LLC d/b/a Reverie",2017-04-30,2017-01-30,2017-01-30,"8800 Main Street  Eden, NY, 14057",Erie,,N/A,Economic,234,39,39
ASM Research,2018-03-27,2017-12-28,2017-12-28,"222 Richmond Avenue  Batavia, NY, 14020",Genesee,,N/A,Possible cancellation of ESD contract,1,36,36
"Auburn Armature, Inc.(Albany)",2017-07-20,2017-04-21,2017-04-21,"875 Broadway  Albany, NY, 12207",Albany,,N/A,Sale of business,3,6,6
"Auburn Armature, Inc.(Auburn)",2017-07-20,2017-04-21,2017-04-21,"70 Wright Circle, P.O. Box 870  Auburn, NY, 13021",Cayuga,,N/A,Sale of business,5,64,64
"Auburn Armature, Inc.(Cheektowaga)",2017-07-20,2017-04-21,2017-04-21,"75 Allied Drive  Cheektowaga, NY, 14227",Erie,,N/A,Sale of business,6,26,26
