Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"3E Logistics NJ, Inc.",2024-09-30,2024-09-16,2024-09-30,"270 Richards St.  Brooklyn, NY, 11231",Kings,Closure,Permanent,Contract Loss,15,84,84
"300 Entertainment, LLC.",2024-12-31,2024-09-26,2024-09-26,"112 Madison Ave  New York, NY, 10016",New York,Layoff,Permanent,Economic Other,1,22,22
AAR Allen Services Inc.,2025-06-01,2024-05-02,2025-10-28,"747 Zeckendorf Blvd  Garden City, NY, 11530",Nassau,Closure,Permanent,Economic Relocation of Business,1,53,53
"ACCO Brands USA, LLC.",2024-04-23,2024-01-24,2024-01-30,"101 O'Neil Road  Sidney, NY, 13838",Delaware,Closure,Permanent,Economic,117,206,206
"Acorda Therapeutics, Inc.",2024-04-03,2024-04-01,2024-04-02,"2 Blue Hill Plaza  Pearl River, NY, 10965",Rockland,Closure,Permanent,Bankruptcy Sale of Business,1,97,97
AllianceBernstein L.P.,2025-01-07,2024-10-09,2024-12-12,"66 Hudson Boulevard E  New York, NY, 10001",New York,Layoff,Permanent,Relocation of Business,5,34,34
"Ampla Technologies, Inc.",2024-06-03,2024-05-15,2024-05-16,"1239 Broadway Ste. 12 New York, NY, 10001",New York,Closure,Temporary,Economic,62,24,24
Amscan Inc.  (commonly known as Kookaburra),2024-08-30,2024-05-28,2024-05-30,"108 NY-17K Suite 2 Newburgh, NY, 12550",Orange,Closure,Permanent,Economic,57,117,117
"Amscan Inc., a Party City Holdings, Inc.",2025-03-21,2024-12-20,2025-02-27,"47 Elizabeth Drive  Chester, NY, 10918",Orange,Closure,Permanent,Bankruptcy Funding Loss,1,471,471
AQ Wiring Systems NY,2024-09-06,2024-06-06,2024-06-18,"18 Northern Avenue Suite 100 Plattsburgh, NY, 12903",Clinton,Layoff,Permanent,Contract Loss,28,115,115
"ARS Portfolio Services, LLC (AUTO, LLC d/b/a defi SOLUTIONS)",2024-07-22,2024-04-23,2024-04-25,"6400 Main Street Suite 200 Williamsville, NY, 14221",Erie,Layoff,Permanent,Contract Loss,31,29,29
"Aspen ML, LLC.",2024-05-31,2024-03-25,2024-03-27,"30 East 23rd Street 10th Floor New York, NY, 10010",New York,Layoff,Permanent,Economic,85,13,13
Atlantic Recording Corporation,2024-12-31,2024-09-26,2024-09-26,"1633 Broadway  New York, NY, 10019",New York,Layoff,Permanent,Economic,23,114,114
"Atria Home Care, LLC",2025-01-08,2024-10-10,2024-10-10,"200 Garden City Plaza  Garden City, NY, 11530",Nassau,Closure,Permanent,Economic,18,161,161
"Aurora Solar, Inc.",2024-01-31,2024-01-29,2024-02-29,"153 Kearny St 5th Floor San Francisco, CA, 94108",San Francisco,Layoff,Permanent,Economic,91,14,14
"BAMIA 2, LLC.",2024-09-30,2024-07-01,2024-07-29,"2 St. Anne's Ave  Bronx, NY, 10454",Bronx,Closure,Permanent,Economic,40,24,24
"BAMIA 2, LLC.",2024-09-30,2024-07-01,2024-07-29,"30 Enterprise Zone Dr.  Riverhead, NY, 11901",Suffolk,Closure,Permanent,Economic,42,21,21
"BAMIA 2, LLC.",2024-09-30,2024-07-01,2024-07-29,"77 W 24th Street  New York, NY, 10010",New York,Closure,Permanent,Economic,41,8,8
"Barlow & Sons, Inc.",2024-04-30,2024-04-30,2024-05-15,"12 Park Street Suite 335 Brooklyn, NY, 11206",Kings,Closure,Permanent,Economic,63,4,4
"Bedabox, LLC dba ShipMonk",2025-03-21,2024-12-16,2024-12-19,"5 Inez Drive  Bay Shore, NY, 11706",Suffolk,Closure,Permanent,Relocation of Business,4,67,67
"Bimbo Bakeries USA, Inc.",2024-09-06,2024-07-23,2024-07-23,"11 Corcoran Dr.  Auburn, NY, 13021",Cayuga,Closure,Permanent,Other,15,49,49
"Bimbo Bakeries USA, Inc.",2024-09-06,2024-07-24,2024-07-24,"111 N. 2nd St.  Olean, NY, 14760",Cattaraugus,Closure,Permanent,Other,14,82,82
"Bionano Genomics, Inc.",2024-05-24,2024-03-22,2024-03-26,"Remote Employees  Albany, NY, 12208",Albany,Layoff,Permanent,Economic,88,2,2
"Block, Inc.",2024-03-30,2024-01-30,2024-02-21,"1955 Broadway Suite 600 Oakland, CA, 94612",Alameda,Layoff,Permanent,Economic,94,112,112
"Blue Man Group Holdings Newco, LLC.",2025-02-02,2024-11-25,2024-12-16,"434 Lafayette Street  New York, NY, 10003",New York,Closure,Permanent,Economic,6,33,33
"Blue Smoke 102 North End Ave, LLC.",2024-12-21,2024-08-27,2024-09-30,"255 Vesey Street  New York, NY, 10282",New York,Closure,Permanent,Economic,21,39,39
Boots Retail USA Inc.,2024-10-31,2024-07-16,2024-07-22,"175 Greenwich St. 16th Floor New York, NY, 10007",New York,Closure,Permanent,Relocation of Business,7,64,64
Bowery Farming Inc,2024-11-01,2024-11-01,2024-11-08,"151 W 26th Street Floor 12 New York, NY, 10001",New York,Closure,Permanent,Economic,17,69,69
BPA International Inc.,2024-04-08,2024-01-08,2024-01-09,"175 Broadhollow Rd Suite 100 Melville, NY, 11747",Suffolk,Layoff,Permanent,Contract Loss,53,38,38
Brookfield Properties FC USA II LLC,2024-04-01,2024-01-23,2024-01-26,"620 Eighth Avenue  New York, NY, 10018",New York,Layoff,Permanent,Other,40,38,38
Brookfield Properties USA II LLC,2024-04-01,2024-01-23,2024-01-26,"165 Broadway Avenue  New York, NY, 10003",New York,Layoff,Permanent,Other,35,22,22
