state,source,notice_year,notices,workers
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2006,4,524
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2007,1,140
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2008,1,130
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2010,1,109
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2012,4,591
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2013,1,75
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2015,1,134
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2016,4,356
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2017,4,513
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2018,7,1028
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2019,4,965
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2020,21,3973
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2021,4,418
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2022,1,182
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2023,4,128
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2024,1,1
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2025,2,182
AK,https://jobs.alaska.gov/RR/WARN_notices.htm,2026,1,160
AL,https://www.madeinalabama.com/warn-list/,1998,23,7086
AL,https://www.madeinalabama.com/warn-list/,1999,51,9080
AL,https://www.madeinalabama.com/warn-list/,2000,59,11317
AL,https://www.madeinalabama.com/warn-list/,2001,82,14285
AL,https://www.madeinalabama.com/warn-list/,2002,49,7482
AL,https://www.madeinalabama.com/warn-list/,2003,53,12704
AL,https://www.madeinalabama.com/warn-list/,2004,37,8961
AL,https://www.madeinalabama.com/warn-list/,2005,40,5530
AL,https://www.madeinalabama.com/warn-list/,2006,44,9630
AL,https://www.madeinalabama.com/warn-list/,2007,47,10342
AL,https://www.madeinalabama.com/warn-list/,2008,37,7356
AL,https://www.madeinalabama.com/warn-list/,2009,99,13059
AL,https://www.madeinalabama.com/warn-list/,2010,33,4382
AL,https://www.madeinalabama.com/warn-list/,2011,36,6015
AL,https://www.madeinalabama.com/warn-list/,2012,31,4692
AL,https://www.madeinalabama.com/warn-list/,2013,40,7972
AL,https://www.madeinalabama.com/warn-list/,2014,16,3300
AL,https://www.madeinalabama.com/warn-list/,2015,30,5643
AL,https://www.madeinalabama.com/warn-list/,2016,19,3209
AL,https://www.madeinalabama.com/warn-list/,2017,11,2116
AL,https://www.madeinalabama.com/warn-list/,2018,27,3814
AL,https://www.madeinalabama.com/warn-list/,2019,17,1847
AL,https://www.madeinalabama.com/warn-list/,2020,35,5479
AL,https://www.madeinalabama.com/warn-list/,2021,8,819
AL,https://www.madeinalabama.com/warn-list/,2022,9,938
AL,https://www.madeinalabama.com/warn-list/,2023,30,4391
AL,https://www.madeinalabama.com/warn-list/,2024,22,2556
AL,https://www.madeinalabama.com/warn-list/,2025,31,3514
AL,https://www.madeinalabama.com/warn-list/,2026,18,1753
AZ,https://www.azjobconnection.gov/search/warn_lookups,2011,29,724
AZ,https://www.azjobconnection.gov/search/warn_lookups,2012,40,1838
AZ,https://www.azjobconnection.gov/search/warn_lookups,2015,19,844
AZ,https://www.azjobconnection.gov/search/warn_lookups,2016,31,1839
AZ,https://www.azjobconnection.gov/search/warn_lookups,2021,11,429
AZ,https://www.azjobconnection.gov/search/warn_lookups,2025,25,2118
AZ,https://www.azjobconnection.gov/search/warn_lookups,2026,34,1359
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2014,320,29795
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2015,684,67946
