state,source,notice_year,reason,rows
AL,raw/al.csv,2009,coalesced_same_key_content,1
AL,raw/al.csv,2020,coalesced_same_key_content,10
AZ,raw/az.csv,2012,coalesced_same_key_content,5
AZ,raw/az.csv,2015,coalesced_same_key_content,1
AZ,raw/az.csv,2016,coalesced_same_key_content,1
CA,agency-cache:CA,unknown,coalesced_same_key_content,64
CA,agency-cache:CA,unknown,conflicting_same_key,908
CA,agency-cache:CA,unknown,occupied_source_month,218
CA,raw/ca.csv,2014,coalesced_same_key_content,1
CA,raw/ca.csv,2015,coalesced_same_key_content,11
CA,raw/ca.csv,2017,coalesced_same_key_content,1
CA,raw/ca.csv,2019,coalesced_same_key_content,2
CA,raw/ca.csv,2020,coalesced_same_key_content,21
CA,raw/ca.csv,2021,coalesced_same_key_content,17
CA,raw/ca.csv,2022,coalesced_same_key_content,31
CA,raw/ca.csv,2023,coalesced_same_key_content,78
CA,raw/ca.csv,2024,coalesced_same_key_content,55
CA,raw/ca.csv,2025,coalesced_same_key_content,57
CA,raw/ca.csv,2026,coalesced_same_key_content,19
CO,raw/co.csv,2016,coalesced_same_key_content,9
CO,raw/co.csv,2018,coalesced_same_key_content,2
CO,raw/co.csv,2020,coalesced_same_key_content,2
CO,raw/co.csv,2023,coalesced_same_key_content,1
FL,agency-cache:FL,2007,conflicting_same_key,3
FL,agency-cache:FL,2011,conflicting_same_key,4
FL,agency-cache:FL,2015,occupied_source_month,83
FL,raw/fl.csv,2017,coalesced_same_key_content,78
FL,raw/fl.csv,2020,coalesced_same_key_content,15
FL,raw/fl.csv,2023,coalesced_same_key_content,7
FL,raw/fl.csv,2024,coalesced_same_key_content,17
FL,raw/fl.csv,2025,coalesced_same_key_content,3
FL,raw/fl.csv,2026,coalesced_same_key_content,1
HI,raw/hi.csv,2020,coalesced_same_key_content,1
HI,raw/hi.csv,unknown,parse_failure,18
IA,agency/ia/event-log.xlsx,unknown,official_iowa_identity_unresolved,573
IA,agency/ia/historical-2023.pdf,unknown,official_iowa_identity_unresolved,362
IA,raw/ia.csv,unknown,missing_source_file,1
IN,raw/in.csv,2008,coalesced_same_key_content,1
KY,raw/ky.csv,unknown,missing_source_file,1
LA,agency/la/2025.pdf,unknown,official_source_annotation,1
LA,agency/la/2025.pdf,unknown,official_source_held_for_review,6
LA,agency/la/2025.pdf,unknown,official_source_rescinded,1
LA,raw/la.csv,unknown,missing_source_file,1
MD,raw/md.csv,2012,coalesced_same_key_content,1
MN,raw/mn.csv,unknown,coalesced_same_key_content,33
MS,raw/ms.csv,2023,coalesced_same_key_content,5
NC,raw/nc.csv,unknown,coalesced_same_key_content,179
NC,raw/nc.csv,unknown,parse_failure,3
NE,raw/ne.csv,2012,coalesced_same_key_content,1
NE,raw/ne.csv,2014,coalesced_same_key_content,1
NE,raw/ne.csv,2016,coalesced_same_key_content,1
NE,raw/ne.csv,2017,coalesced_same_key_content,1
NE,raw/ne.csv,2018,coalesced_same_key_content,2
NE,raw/ne.csv,2019,coalesced_same_key_content,1
NJ,raw/nj.csv,unknown,duplicate_source_observation,50
NJ,raw/nj.csv,unknown,parse_failure,1
NM,raw/nm.csv,2022,coalesced_same_key_content,2
NM,raw/nm.csv,2023,coalesced_same_key_content,1
NM,raw/nm.csv,unknown,parse_failure,1
NY,agency-cache:NY,2009,coalesced_same_key_content,7
NY,agency-cache:NY,2009,conflicting_same_key,4
NY,agency-cache:NY,2010,conflicting_same_key,4
NY,agency-cache:NY,2012,conflicting_same_key,6
NY,agency-cache:NY,2013,coalesced_same_key_content,7
NY,agency-cache:NY,2013,conflicting_same_key,55
NY,agency-cache:NY,2014,coalesced_same_key_content,15
NY,agency-cache:NY,2014,conflicting_same_key,132
