state,candidate_notices,notice_missing,notice_precision_unassessed,effective_start_missing,effective_start_precision_unassessed,provisional_start,strict_start,strict_end
AK,66,0,66,5,61,61,0,0
AL,1034,0,1034,0,1034,1034,0,0
AZ,964,0,964,964,0,0,0,0
CA,25035,10635,14400,2,25033,14398,0,0
CO,828,10,818,283,545,539,0,0
CT,617,0,617,17,600,600,0,0
DC,167,0,167,5,162,162,0,0
DE,101,0,101,101,0,0,0,0
FL,5354,0,2789,13,2789,5341,2552,1241
GA,4617,4617,0,0,4617,0,0,0
HI,453,0,453,453,0,0,0,0
IA,375,0,375,0,375,375,0,0
ID,193,0,193,0,193,193,0,0
IL,4863,0,4863,2026,2837,2837,0,0
IN,1011,0,1011,3,1008,1008,0,0
KS,2206,0,2206,2206,0,0,0,0
KY,1287,12,1275,271,1016,1009,0,0
LA,613,1,612,1,612,611,0,0
MA,550,4,546,22,528,524,0,0
MD,1398,0,1398,6,1392,1392,0,0
ME,552,0,552,552,0,0,0,0
MI,892,120,772,772,120,0,0,0
MN,969,969,0,186,783,0,0,0
MO,508,0,508,3,505,505,0,0
MS,142,0,142,30,112,112,0,0
MT,43,0,43,1,42,42,0,0
NC,1199,6,1193,8,1191,1191,0,0
ND,54,0,54,12,42,42,0,0
NE,986,0,986,986,0,0,0,0
NJ,2327,2327,0,9,84,0,0,0
NM,115,1,114,0,115,114,0,0
NV,296,296,0,9,287,0,0,0
NY,5888,0,5885,1171,4714,4717,3,2
OH,2667,1,2666,72,2595,2594,0,0
OK,566,0,566,566,0,0,0,0
OR,1187,0,1187,61,1126,1126,0,0
PA,291,291,0,2,289,0,0,0
RI,126,1,125,1,125,124,0,0
SC,599,400,173,4,569,198,26,8
SD,79,0,79,79,0,0,0,0
TN,1086,0,1086,3,1083,1083,0,0
TX,7319,0,5076,14,5071,7305,2234,0
UT,280,0,280,280,0,0,0,0
VA,1114,0,1114,1,1113,1113,0,0
VT,337,0,337,337,0,0,0,0
WA,1459,1459,0,0,1459,0,0,0
WI,3622,0,3622,35,3587,3587,0,0
