state,main_7147e45_notices,release_notices,notice_delta,main_7147e45_workers,release_workers,worker_delta
AK,66,66,0,9609,9609,0
AL,1043,1034,-9,179912,179272,-640
AZ,1078,189,-889,124195,9151,-115044
CA,25392,25035,-357,2172368,2154562,-17806
CO,890,827,-63,90689,84855,-5834
CT,656,28,-628,78700,3190,-75510
DC,168,140,-28,28245,24824,-3421
DE,103,46,-57,13506,3916,-9590
FL,5379,5353,-26,637116,635040,-2076
GA,4165,934,-3231,502458,98007,-404451
HI,453,452,-1,0,0,0
IA,965,0,-965,59711,0,-59711
ID,193,193,0,21779,21779,0
IL,5710,4890,-820,784821,674447,-110374
IN,1016,1011,-5,152653,152045,-608
KS,2810,206,-2604,235572,12851,-222721
KY,1760,0,-1760,274885,0,-274885
LA,629,31,-598,87123,5178,-81945
MA,563,550,-13,60321,58197,-2124
MD,1419,1398,-21,119188,118048,-1140
ME,578,9,-569,13119,1407,-11712
MI,1360,103,-1257,219530,13164,-206366
MN,986,969,-17,42757,42460,-297
MO,577,384,-193,96833,64139,-32694
MS,142,142,0,14722,14722,0
MT,45,43,-2,3897,3879,-18
NC,1206,1199,-7,122915,122298,-617
ND,54,54,0,6137,6137,0
NE,988,933,-55,46305,41342,-4963
NJ,2422,2327,-95,361904,350533,-11371
NM,116,115,-1,14917,14842,-75
NV,304,296,-8,36382,35892,-490
NY,6360,4240,-2120,464452,435051,-29401
OH,2780,2438,-342,427299,371554,-55745
OK,807,200,-607,64495,0,-64495
OR,1199,876,-323,179178,154460,-24718
PA,302,291,-11,44525,43177,-1348
RI,135,125,-10,16259,13765,-2494
SC,615,599,-16,81084,80701,-383
SD,79,79,0,8758,8758,0
TN,1109,231,-878,128194,30764,-97430
TX,7401,7330,-71,703907,695528,-8379
UT,282,280,-2,36703,35677,-1026
VA,1125,1114,-11,131283,129932,-1351
VT,342,29,-313,14129,1340,-12789
WA,2870,1459,-1411,453549,232208,-221341
WI,3671,3242,-429,336492,293476,-43016
