state,source,notice_year,reason,rows
AL,backfill/bln_integrated.csv,1998,superseded_source_row,4
AL,backfill/bln_integrated.csv,1999,superseded_source_row,14
AL,backfill/bln_integrated.csv,2000,superseded_source_row,11
AL,backfill/bln_integrated.csv,2001,superseded_source_row,19
AL,backfill/bln_integrated.csv,2002,superseded_source_row,13
AL,backfill/bln_integrated.csv,2003,superseded_source_row,9
AL,backfill/bln_integrated.csv,2004,superseded_source_row,5
AL,backfill/bln_integrated.csv,2005,superseded_source_row,14
AL,backfill/bln_integrated.csv,2006,superseded_source_row,14
AL,backfill/bln_integrated.csv,2007,superseded_source_row,9
AL,backfill/bln_integrated.csv,2008,superseded_source_row,10
AL,backfill/bln_integrated.csv,2009,superseded_source_row,122
AL,backfill/bln_integrated.csv,2010,superseded_source_row,91
AL,backfill/bln_integrated.csv,2011,superseded_source_row,16
AL,backfill/bln_integrated.csv,2012,superseded_source_row,14
AL,backfill/bln_integrated.csv,2013,superseded_source_row,17
AL,backfill/bln_integrated.csv,2014,superseded_source_row,10
AL,backfill/bln_integrated.csv,2015,superseded_source_row,22
AL,backfill/bln_integrated.csv,2016,superseded_source_row,13
AL,backfill/bln_integrated.csv,2017,superseded_source_row,8
AL,backfill/bln_integrated.csv,2018,superseded_source_row,88
AL,backfill/bln_integrated.csv,2019,superseded_source_row,7
AL,backfill/bln_integrated.csv,2020,superseded_source_row,43
AL,backfill/bln_integrated.csv,2021,superseded_source_row,8
AL,backfill/bln_integrated.csv,2022,superseded_source_row,9
AL,backfill/bln_integrated.csv,2023,superseded_source_row,31
AL,backfill/bln_integrated.csv,2024,superseded_source_row,22
AL,backfill/bln_integrated.csv,2024,unmatched_after_conservative_fill,1
AL,backfill/bln_integrated.csv,2025,superseded_source_row,31
AL,backfill/bln_integrated.csv,2025,unmatched_after_conservative_fill,1
AL,backfill/bln_integrated.csv,2026,superseded_source_row,17
AL,backfill/bln_integrated.csv,2026,unmatched_after_conservative_fill,3
AZ,backfill/bln_integrated.csv,2012,unmatched_after_conservative_fill,8
AZ,backfill/bln_integrated.csv,2013,unmatched_after_conservative_fill,2
AZ,backfill/bln_integrated.csv,2015,unmatched_after_conservative_fill,2
AZ,backfill/bln_integrated.csv,2020,superseded_source_row,1
AZ,backfill/bln_integrated.csv,2020,unmatched_after_conservative_fill,4
AZ,backfill/bln_integrated.csv,2021,superseded_source_row,9
AZ,backfill/bln_integrated.csv,2022,superseded_source_row,30
AZ,backfill/bln_integrated.csv,2023,superseded_source_row,87
AZ,backfill/bln_integrated.csv,2024,superseded_source_row,91
AZ,backfill/bln_integrated.csv,2025,superseded_source_row,109
AZ,backfill/bln_integrated.csv,2025,unmatched_after_conservative_fill,24
AZ,backfill/bln_integrated.csv,2026,superseded_source_row,40
AZ,backfill/bln_integrated.csv,2026,unmatched_after_conservative_fill,2
AZ,backfill/raw/az.csv,2012,conflicting_same_key,9
AZ,backfill/raw/az.csv,2013,conflicting_same_key,2
AZ,backfill/raw/az.csv,2015,conflicting_same_key,2
AZ,backfill/raw/az.csv,2020,conflicting_same_key,4
CA,agency-cache:CA,unknown,conflicting_same_key,908
CA,agency-cache:CA,unknown,occupied_source_month,218
CA,backfill/bln_integrated.csv,2019,superseded_source_row,18
CA,backfill/bln_integrated.csv,2020,superseded_source_row,1975
CA,backfill/bln_integrated.csv,2020,unmatched_after_conservative_fill,233
CA,backfill/bln_integrated.csv,2021,superseded_source_row,377
CA,backfill/bln_integrated.csv,2021,unmatched_after_conservative_fill,192
CA,backfill/bln_integrated.csv,2022,superseded_source_row,902
CA,backfill/bln_integrated.csv,2022,unmatched_after_conservative_fill,385
CA,backfill/bln_integrated.csv,2023,superseded_source_row,1800
CA,backfill/bln_integrated.csv,2023,unmatched_after_conservative_fill,972
CA,backfill/bln_integrated.csv,2024,superseded_source_row,1661
CA,backfill/bln_integrated.csv,2024,unmatched_after_conservative_fill,816
CA,backfill/bln_integrated.csv,2025,superseded_source_row,1687
CA,backfill/bln_integrated.csv,2025,unmatched_after_conservative_fill,708
CA,backfill/bln_integrated.csv,2026,superseded_source_row,847
CA,backfill/bln_integrated.csv,2026,unmatched_after_conservative_fill,198
CO,backfill/bln_integrated.csv,2014,superseded_source_row,1
CO,backfill/bln_integrated.csv,2018,superseded_source_row,1
CO,backfill/bln_integrated.csv,2019,superseded_source_row,3
CO,backfill/bln_integrated.csv,2019,unmatched_after_conservative_fill,9
CO,backfill/bln_integrated.csv,2020,missing_employer,1
CO,backfill/bln_integrated.csv,2020,superseded_source_row,27
CO,backfill/bln_integrated.csv,2020,unmatched_after_conservative_fill,2
CO,backfill/bln_integrated.csv,2021,superseded_source_row,44
CO,backfill/bln_integrated.csv,2021,unmatched_after_conservative_fill,30
CO,backfill/bln_integrated.csv,2022,superseded_source_row,16
CO,backfill/bln_integrated.csv,2022,unmatched_after_conservative_fill,13
CO,backfill/bln_integrated.csv,2023,superseded_source_row,32
CO,backfill/bln_integrated.csv,2023,unmatched_after_conservative_fill,17
CO,backfill/bln_integrated.csv,2024,superseded_source_row,29
CO,backfill/bln_integrated.csv,2024,unmatched_after_conservative_fill,10
CO,backfill/bln_integrated.csv,2025,superseded_source_row,13
CO,backfill/bln_integrated.csv,2025,unmatched_after_conservative_fill,12
CO,backfill/bln_integrated.csv,2026,superseded_source_row,7
CO,backfill/bln_integrated.csv,2026,unmatched_after_conservative_fill,5
CO,backfill/bln_integrated.csv,unknown,missing_employer,5
CO,backfill/bln_integrated.csv,unknown,superseded_source_row,2
CO,backfill/bln_integrated.csv,unknown,unmatched_after_conservative_fill,3
CT,backfill/bln_integrated.csv,2019,superseded_source_row,1
CT,backfill/bln_integrated.csv,2020,superseded_source_row,40
CT,backfill/bln_integrated.csv,2021,superseded_source_row,5
CT,backfill/bln_integrated.csv,2022,superseded_source_row,2
CT,backfill/bln_integrated.csv,2023,superseded_source_row,3
CT,backfill/bln_integrated.csv,2024,superseded_source_row,9
CT,backfill/bln_integrated.csv,2025,superseded_source_row,8
CT,backfill/bln_integrated.csv,2026,unmatched_after_conservative_fill,1
CT,backfill/bln_integrated.csv,unknown,missing_employer,1
CT,backfill/bln_integrated.csv,unknown,unmatched_after_conservative_fill,7
DC,backfill/bln_integrated.csv,2020,superseded_source_row,1
DC,backfill/bln_integrated.csv,2022,superseded_source_row,3
DC,backfill/bln_integrated.csv,2025,superseded_source_row,7
DC,backfill/bln_integrated.csv,2025,unmatched_after_conservative_fill,2
DC,backfill/bln_integrated.csv,2026,superseded_source_row,2
DC,backfill/bln_integrated.csv,2026,unmatched_after_conservative_fill,2
DE,backfill/bln_integrated.csv,2009,unmatched_after_conservative_fill,3
DE,backfill/bln_integrated.csv,2022,superseded_source_row,1
DE,backfill/bln_integrated.csv,2023,superseded_source_row,1
DE,backfill/bln_integrated.csv,2025,superseded_source_row,2
DE,backfill/raw/de.csv,2009,conflicting_same_key,3
DE,backfill/raw/de.csv,2018,conflicting_same_key,2
FL,agency-cache:FL,2007,conflicting_same_key,3
FL,agency-cache:FL,2011,conflicting_same_key,4
FL,agency-cache:FL,2015,occupied_source_month,83
FL,backfill/bln_integrated.csv,2020,superseded_source_row,1
FL,backfill/bln_integrated.csv,2021,superseded_source_row,7
FL,backfill/bln_integrated.csv,2022,superseded_source_row,11
FL,backfill/bln_integrated.csv,2023,superseded_source_row,19
FL,backfill/bln_integrated.csv,2024,superseded_source_row,45
