state,current_notices,candidate_notices,notice_delta,current_workers,candidate_workers,worker_delta,current_notice_dates,candidate_notice_dates,notice_date_delta,current_effective_starts,candidate_effective_starts,effective_start_delta,current_effective_ends,candidate_effective_ends,effective_end_delta
AK,66,66,0,9609,9609,0,66,66,0,61,61,0,0,0,0
AL,1043,1034,-9,179912,179272,-640,1043,1034,-9,1043,1034,-9,0,0,0
AZ,1078,964,-114,124195,90049,-34146,1078,964,-114,0,0,0,0,0,0
CA,25353,25035,-318,2171650,2154562,-17088,14366,14400,34,25351,25033,-318,0,0,0
CO,890,828,-62,90689,84914,-5775,878,818,-60,601,545,-56,0,285,285
CT,656,617,-39,78700,77520,-1180,656,617,-39,638,600,-38,0,0,0
DC,168,167,-1,28245,27061,-1184,168,167,-1,163,162,-1,0,0,0
DE,103,101,-2,13506,13531,25,103,101,-2,0,0,0,0,0,0
FL,5379,5354,-25,637116,635124,-1992,5379,5354,-25,4120,5341,1221,0,1711,1711
GA,4165,4617,452,502458,590912,88454,0,0,0,4165,4617,452,0,0,0
HI,453,453,0,0,0,0,453,453,0,0,0,0,0,0,0
IA,965,375,-590,59711,27053,-32658,965,375,-590,965,375,-590,0,0,0
ID,193,193,0,21779,21779,0,193,193,0,193,193,0,0,0,0
IL,5710,4863,-847,784821,668002,-116819,5710,4863,-847,3116,2837,-279,0,0,0
IN,1016,1011,-5,152653,152045,-608,1016,1011,-5,1013,1008,-5,0,35,35
KS,2810,2206,-604,235572,153092,-82480,2810,2206,-604,0,0,0,0,0,0
KY,1760,1287,-473,274885,214798,-60087,1748,1275,-473,1489,1016,-473,0,83,83
LA,629,613,-16,87123,83991,-3132,628,612,-16,627,612,-15,0,1,1
MA,563,550,-13,60321,58197,-2124,559,546,-13,529,528,-1,0,111,111
MD,1419,1398,-21,119188,118048,-1140,1419,1398,-21,1413,1392,-21,0,25,25
ME,578,552,-26,13119,14672,1553,578,552,-26,0,0,0,0,0,0
MI,1360,892,-468,219530,131292,-88238,786,772,-14,574,120,-454,0,0,0
MN,986,969,-17,42757,42460,-297,340,323,-17,800,783,-17,0,0,0
MO,577,508,-69,96833,81058,-15775,577,508,-69,576,505,-71,0,0,0
MS,142,142,0,14722,14722,0,142,142,0,112,112,0,0,0,0
MT,45,43,-2,3897,3879,-18,45,43,-2,44,42,-2,0,0,0
NC,1206,1199,-7,122915,122298,-617,1200,1193,-7,1198,1191,-7,0,0,0
ND,54,54,0,6137,6137,0,54,54,0,42,42,0,0,0,0
NE,988,986,-2,46305,46179,-126,988,986,-2,0,0,0,0,0,0
NJ,2422,2327,-95,361904,350533,-11371,2267,0,-2267,2413,2318,-95,0,63,63
NM,116,115,-1,14917,14842,-75,115,114,-1,116,115,-1,0,0,0
NV,304,296,-8,36382,35892,-490,303,295,-8,294,287,-7,0,0,0
NY,6360,5889,-471,464452,436296,-28156,6360,5889,-471,4966,4716,-250,0,2,2
OH,2779,2667,-112,427292,411671,-15621,2778,2666,-112,2704,2595,-109,0,215,215
OK,807,566,-241,64495,39473,-25022,807,566,-241,0,0,0,0,0,0
OR,1199,1187,-12,179178,178337,-841,1199,1187,-12,1135,1126,-9,0,0,0
PA,302,291,-11,44525,43177,-1348,0,0,0,300,289,-11,0,77,77
RI,135,126,-9,16259,14794,-1465,125,125,0,134,125,-9,0,0,0
SC,615,599,-16,81084,80701,-383,612,199,-413,0,595,595,0,33,33
SD,79,79,0,8758,8758,0,79,79,0,0,0,0,0,0,0
TN,1109,1086,-23,128194,125515,-2679,1109,1086,-23,1106,1083,-23,0,6,6
TX,7401,7319,-82,703907,695691,-8216,7401,7319,-82,7386,7305,-81,0,0,0
UT,282,280,-2,36703,35677,-1026,282,280,-2,0,0,0,0,0,0
VA,1125,1114,-11,131283,129932,-1351,1125,1114,-11,1124,1113,-11,0,0,0
VT,342,337,-5,14129,14210,81,342,337,-5,0,0,0,0,0,0
WA,2868,1459,-1409,453170,232208,-220962,2868,1459,-1409,2868,1459,-1409,0,0,0
WI,3671,3622,-49,336492,336080,-412,3671,3622,-49,3636,3587,-49,0,0,0
